a0_min        Y1_intercept  Y2_intercept  Y3_intercept  LogPost       
  0.100907E+03  0.578432E-03  0.322558E-04  0.641821E-03  0.146833E+03
  0.100907E+03  0.120716E-02  0.322558E-04  0.641821E-03  0.144449E+03
  0.100907E+03  0.120716E-02  0.322558E-04  0.641821E-03  0.144449E+03
  0.100907E+03  0.120716E-02  0.322558E-04  0.641821E-03  0.144449E+03
  0.100907E+03  0.120716E-02  0.322558E-04  0.641821E-03  0.144449E+03
  0.100907E+03  0.120716E-02  0.322558E-04  0.641821E-03  0.144449E+03
  0.100907E+03  0.120716E-02  0.322558E-04  0.641821E-03  0.144449E+03
  0.100907E+03  0.120716E-02  0.322558E-04  0.641821E-03  0.144449E+03
  0.100907E+03  0.120716E-02  0.322558E-04  0.641821E-03  0.144449E+03
  0.101281E+03  0.120716E-02  0.322558E-04  0.641821E-03  0.144785E+03
  0.101281E+03  0.120716E-02  0.322558E-04  0.641821E-03  0.144785E+03
  0.101281E+03  0.120716E-02  0.322558E-04  0.641821E-03  0.144785E+03
  0.101281E+03  0.120716E-02  0.322558E-04  0.641821E-03  0.144785E+03
  0.101281E+03  0.120716E-02  0.322558E-04  0.641821E-03  0.144785E+03
  0.101281E+03  0.120716E-02  0.239309E-03  0.641821E-03  0.144327E+03
  0.101281E+03  0.120716E-02  0.239309E-03  0.641821E-03  0.144327E+03
  0.101281E+03  0.120716E-02  0.239309E-03  0.641821E-03  0.144327E+03
  0.101281E+03  0.120716E-02  0.239309E-03  0.641821E-03  0.144327E+03
  0.101281E+03  0.120716E-02  0.239309E-03  0.641821E-03  0.144327E+03
  0.101281E+03  0.120716E-02  0.239309E-03  0.641821E-03  0.144327E+03
  0.101281E+03  0.120716E-02  0.239309E-03  0.641821E-03  0.144327E+03
  0.101281E+03  0.120716E-02  0.239309E-03  0.641821E-03  0.144327E+03
  0.101281E+03  0.120716E-02  0.239309E-03  0.641821E-03  0.144327E+03
  0.997616E+02  0.120716E-02  0.239309E-03  0.641821E-03  0.141430E+03
  0.997616E+02  0.120716E-02  0.239309E-03  0.641821E-03  0.141430E+03
  0.997616E+02  0.769890E-03  0.239309E-03  0.641821E-03  0.142991E+03
  0.997616E+02  0.769890E-03  0.239309E-03  0.641821E-03  0.142991E+03
  0.997616E+02  0.769890E-03  0.239309E-03  0.641821E-03  0.142991E+03
  0.997616E+02  0.769890E-03  0.239309E-03  0.641821E-03  0.142991E+03
  0.997616E+02  0.769890E-03  0.239309E-03  0.641821E-03  0.142991E+03
  0.100424E+03  0.769890E-03  0.239309E-03  0.641821E-03  0.144952E+03
  0.100424E+03  0.769890E-03  0.495355E-03  0.641821E-03  0.144100E+03
  0.100424E+03  0.769890E-03  0.495355E-03  0.641821E-03  0.144100E+03
  0.100424E+03  0.769890E-03  0.495355E-03  0.641821E-03  0.144100E+03
  0.100424E+03  0.769890E-03  0.495355E-03  0.641821E-03  0.144100E+03
  0.100424E+03  0.769890E-03  0.495355E-03  0.641821E-03  0.144100E+03
  0.102710E+03  0.769890E-03  0.495355E-03  0.641821E-03  0.142991E+03
  0.102710E+03  0.769890E-03  0.495355E-03  0.641821E-03  0.142991E+03
  0.102710E+03  0.769890E-03  0.495355E-03  0.641821E-03  0.142991E+03
  0.102710E+03  0.769890E-03  0.369649E-03  0.641821E-03  0.143660E+03
  0.102710E+03  0.769890E-03  0.369649E-03  0.641821E-03  0.143660E+03
  0.102710E+03  0.769890E-03  0.369649E-03  0.957166E-04  0.144933E+03
  0.101281E+03  0.769890E-03  0.369649E-03  0.957166E-04  0.148637E+03
  0.101281E+03  0.769890E-03  0.378544E-03  0.957166E-04  0.148591E+03
  0.101281E+03  0.769890E-03  0.378544E-03  0.957166E-04  0.148591E+03
  0.101281E+03  0.769890E-03  0.378544E-03  0.957166E-04  0.148591E+03
  0.101281E+03  0.123907E-02  0.378544E-03  0.957166E-04  0.146774E+03
  0.101281E+03  0.154469E-02  0.449299E-03  0.957166E-04  0.145250E+03
  0.101281E+03  0.154469E-02  0.449299E-03  0.957166E-04  0.145250E+03
  0.101281E+03  0.154469E-02  0.449299E-03  0.957166E-04  0.145250E+03
  0.101281E+03  0.154469E-02  0.449299E-03  0.957166E-04  0.145250E+03
  0.101281E+03  0.263943E-02  0.449299E-03  0.957166E-04  0.141850E+03
  0.101281E+03  0.263943E-02  0.449299E-03  0.957166E-04  0.141850E+03
  0.101281E+03  0.263943E-02  0.449299E-03  0.957166E-04  0.141850E+03
  0.101281E+03  0.263943E-02  0.449299E-03  0.957166E-04  0.141850E+03
  0.101281E+03  0.263943E-02  0.104188E-03  0.957166E-04  0.143232E+03
  0.101281E+03  0.263943E-02  0.104188E-03  0.957166E-04  0.143232E+03
  0.101281E+03  0.263943E-02  0.104188E-03  0.957166E-04  0.143232E+03
  0.101281E+03  0.263943E-02  0.104188E-03  0.957166E-04  0.143232E+03
  0.101281E+03  0.263943E-02  0.104188E-03  0.957166E-04  0.143232E+03
