a0_min        a1_min        a2_min        a3_min        a4_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.101759E+03  0.605266E+01  0.569924E+01  0.603574E+01  0.863474E+01  0.360468E-02  0.879058E-03  0.359697E-03  0.207147E-03  0.549112E-03  0.211677E-03  0.334959E-03  0.710089E-03  0.142373E+03
  0.101759E+03 -0.160100E+01  0.394346E+01 -0.353564E+01  0.533443E+01  0.360468E-02  0.879058E-03  0.359697E-03  0.207147E-03  0.549112E-03  0.211677E-03  0.334959E-03  0.710089E-03  0.142156E+03
  0.102418E+03 -0.160100E+01  0.452553E+01 -0.353564E+01  0.195311E+01  0.360468E-02  0.879058E-03  0.359697E-03  0.207147E-03  0.549112E-03  0.211677E-03  0.334959E-03  0.710089E-03  0.141862E+03
  0.102418E+03 -0.125554E+01  0.452553E+01 -0.233753E+01 -0.337288E+01  0.360468E-02  0.118159E-02  0.359697E-03  0.207147E-03  0.549112E-03  0.211677E-03  0.334959E-03  0.710089E-03  0.140914E+03
  0.102418E+03 -0.798384E+00  0.452553E+01 -0.233753E+01  0.681058E+01  0.360468E-02  0.118159E-02  0.359697E-03  0.207147E-03  0.549112E-03  0.935717E-03  0.334959E-03  0.710089E-03  0.140517E+03
  0.102418E+03 -0.798384E+00  0.452553E+01 -0.692450E+01  0.119185E+01  0.360468E-02  0.118159E-02  0.359697E-03  0.207147E-03  0.549112E-03  0.340476E-03  0.334959E-03  0.710089E-03  0.141106E+03
  0.102418E+03 -0.798384E+00  0.452553E+01 -0.321834E+01  0.119185E+01  0.360468E-02  0.118159E-02  0.359697E-03  0.207147E-03  0.549112E-03  0.340476E-03  0.334959E-03  0.710089E-03  0.141199E+03
  0.102418E+03 -0.798384E+00  0.452553E+01 -0.242762E+01 -0.274410E+01  0.267862E-02  0.118159E-02  0.454186E-03  0.207147E-03  0.549112E-03  0.340476E-03  0.334959E-03  0.710089E-03  0.141591E+03
  0.102418E+03 -0.798384E+00  0.452553E+01 -0.114984E+01 -0.274410E+01  0.267862E-02  0.118159E-02  0.454186E-03  0.207147E-03  0.549112E-03  0.340476E-03  0.334959E-03  0.710089E-03  0.141547E+03
  0.102418E+03 -0.263394E+01  0.452553E+01 -0.704667E+01  0.156146E+02  0.267862E-02  0.118159E-02  0.454186E-03  0.207147E-03  0.549112E-03  0.340476E-03  0.334959E-03  0.710089E-03  0.141814E+03
