a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        
   0.102554E+03   0.601212E-03   0.101853E-02   0.100241E-02   0.316539E-03   0.298915E-03   0.388539E-03   0.826104E-03   0.401239E-03   0.143447E+03
   0.102554E+03   0.601212E-03   0.855824E-03   0.617598E-03   0.316539E-03   0.401742E-03   0.103404E-02   0.826104E-03   0.401239E-03   0.143039E+03
   0.101888E+03   0.601212E-03   0.961985E-03   0.617598E-03   0.316539E-03   0.401742E-03   0.103404E-02   0.826104E-03   0.401239E-03   0.143867E+03
   0.101888E+03   0.601212E-03   0.104053E-02   0.243737E-02   0.316539E-03   0.401742E-03   0.167536E-03   0.826104E-03   0.401239E-03   0.142369E+03
   0.101888E+03   0.601212E-03   0.104053E-02   0.243737E-02   0.316539E-03   0.401742E-03   0.167536E-03   0.826104E-03   0.401239E-03   0.142369E+03
   0.101888E+03   0.601212E-03   0.104053E-02   0.426912E-04   0.316539E-03   0.401742E-03   0.167536E-03   0.826104E-03   0.146434E-03   0.145821E+03
   0.101888E+03   0.601212E-03   0.104053E-02   0.426912E-04   0.316539E-03   0.401742E-03   0.148791E-04   0.801256E-03   0.146434E-03   0.145890E+03
   0.101877E+03   0.601212E-03   0.900439E-03   0.252234E-03   0.316539E-03   0.401742E-03   0.338070E-03   0.801256E-03   0.146434E-03   0.146009E+03
   0.101877E+03   0.601212E-03   0.900439E-03   0.788587E-03   0.316539E-03   0.401742E-03   0.338070E-03   0.198757E-02   0.265787E-03   0.143176E+03
   0.101877E+03   0.601212E-03   0.931934E-03   0.788587E-03   0.316539E-03   0.401742E-03   0.416281E-03   0.198757E-02   0.265787E-03   0.143023E+03
   0.101877E+03   0.601212E-03   0.931934E-03   0.245185E-03   0.316539E-03   0.401742E-03   0.416281E-03   0.350410E-02   0.265787E-03   0.142157E+03
   0.101877E+03   0.601212E-03   0.931934E-03   0.245185E-03   0.316539E-03   0.436623E-03   0.163726E-02   0.435499E-02   0.265787E-03   0.139336E+03
   0.101877E+03   0.601212E-03   0.931934E-03   0.245185E-03   0.316539E-03   0.126758E-02   0.237542E-02   0.435499E-02   0.265787E-03   0.136628E+03
   0.100152E+03   0.601212E-03   0.707934E-03   0.245185E-03   0.316539E-03   0.126758E-02   0.181849E-02   0.446162E-02   0.265787E-03   0.137885E+03
   0.101767E+03   0.576935E-04   0.707934E-03   0.245185E-03   0.316539E-03   0.220013E-03   0.181849E-02   0.446162E-02   0.265787E-03   0.140936E+03
   0.101767E+03   0.908995E-03   0.122679E-02   0.245185E-03   0.161443E-03   0.220013E-03   0.181849E-02   0.133050E-02   0.265787E-03   0.141735E+03
   0.101767E+03   0.250581E-02   0.122679E-02   0.245185E-03   0.161443E-03   0.220013E-03   0.181849E-02   0.133050E-02   0.265787E-03   0.139337E+03
   0.101767E+03   0.250581E-02   0.122679E-02   0.245185E-03   0.104084E-02   0.220013E-03   0.294331E-02   0.977987E-03   0.102579E-02   0.135662E+03
   0.101767E+03   0.250581E-02   0.122679E-02   0.245185E-03   0.104084E-02   0.220013E-03   0.294331E-02   0.977987E-03   0.102579E-02   0.135662E+03
   0.101767E+03   0.466451E-03   0.122679E-02   0.245185E-03   0.129560E-03   0.749014E-03   0.294331E-02   0.977987E-03   0.102579E-02   0.139476E+03
   0.100200E+03   0.466451E-03   0.122679E-02   0.662941E-03   0.129560E-03   0.749014E-03   0.294331E-02   0.697668E-03   0.102579E-02   0.138776E+03
   0.100200E+03   0.536944E-03   0.122679E-02   0.662941E-03   0.129560E-03   0.784426E-03   0.174314E-02   0.697668E-03   0.102579E-02   0.139981E+03
   0.101010E+03   0.536944E-03   0.122679E-02   0.662941E-03   0.129560E-03   0.784426E-03   0.174314E-02   0.697668E-03   0.102579E-02   0.140832E+03
   0.101010E+03   0.534889E-03   0.122679E-02   0.662941E-03   0.129560E-03   0.784426E-03   0.174314E-02   0.697668E-03   0.102579E-02   0.140837E+03
   0.101010E+03   0.534889E-03   0.122679E-02   0.662941E-03   0.129560E-03   0.784426E-03   0.146929E-02   0.697668E-03   0.538766E-03   0.142253E+03
   0.101010E+03   0.534889E-03   0.122679E-02   0.662941E-03   0.129560E-03   0.784426E-03   0.142804E-03   0.697668E-03   0.225263E-03   0.145098E+03
   0.101010E+03   0.534889E-03   0.122679E-02   0.131297E-02   0.129560E-03   0.784426E-03   0.142804E-03   0.697668E-03   0.225263E-03   0.143818E+03
   0.101010E+03   0.534889E-03   0.122679E-02   0.131297E-02   0.129560E-03   0.849094E-03   0.142804E-03   0.697668E-03   0.225263E-03   0.143690E+03
   0.101010E+03   0.534889E-03   0.122679E-02   0.131297E-02   0.129560E-03   0.849094E-03   0.123868E-03   0.122129E-02   0.225263E-03   0.142718E+03
   0.101010E+03   0.534889E-03   0.122679E-02   0.115988E-02   0.129560E-03   0.146413E-04   0.123868E-03   0.122129E-02   0.225263E-03   0.144265E+03
   0.101010E+03   0.534889E-03   0.122679E-02   0.873487E-03   0.129560E-03   0.146413E-04   0.883301E-04   0.122129E-02   0.225263E-03   0.144842E+03
   0.101010E+03   0.534889E-03   0.122679E-02   0.873487E-03   0.129560E-03   0.146413E-04   0.883301E-04   0.122129E-02   0.225263E-03   0.144842E+03
   0.102505E+03   0.534889E-03   0.122679E-02   0.873487E-03   0.129560E-03   0.146413E-04   0.883301E-04   0.175602E-04   0.225263E-03   0.145465E+03
   0.102505E+03   0.534889E-03   0.122679E-02   0.131993E-02   0.135970E-02   0.146413E-04   0.858494E-03   0.175602E-04   0.237685E-03   0.142131E+03
   0.102505E+03   0.534889E-03   0.861462E-04   0.123080E-02   0.135970E-02   0.146413E-04   0.858494E-03   0.175602E-04   0.659495E-04   0.144163E+03
   0.102505E+03   0.534889E-03   0.861462E-04   0.123080E-02   0.135970E-02   0.146413E-04   0.858494E-03   0.175602E-04   0.659495E-04   0.144163E+03
   0.102505E+03   0.534889E-03   0.861462E-04   0.611971E-03   0.135970E-02   0.146413E-04   0.858494E-03   0.175602E-04   0.104322E-02   0.143294E+03
   0.102505E+03   0.534889E-03   0.861462E-04   0.611971E-03   0.135970E-02   0.146413E-04   0.858494E-03   0.175602E-04   0.104322E-02   0.143294E+03
   0.102505E+03   0.534889E-03   0.861462E-04   0.109764E-02   0.135970E-02   0.146413E-04   0.858494E-03   0.175602E-04   0.104322E-02   0.142671E+03
   0.102505E+03   0.664407E-04   0.861462E-04   0.109764E-02   0.135970E-02   0.146413E-04   0.858494E-03   0.175602E-04   0.104322E-02   0.143232E+03
   0.102505E+03   0.664407E-04   0.114041E-03   0.277639E-03   0.135970E-02   0.146413E-04   0.858494E-03   0.175602E-04   0.190520E-02   0.142549E+03
   0.102505E+03   0.149378E-03   0.114041E-03   0.915548E-03   0.135970E-02   0.146413E-04   0.663025E-03   0.175602E-04   0.190520E-02   0.142335E+03
   0.102505E+03   0.149378E-03   0.806925E-03   0.915548E-03   0.135970E-02   0.146413E-04   0.663025E-03   0.175602E-04   0.223823E-02   0.140875E+03
   0.102505E+03   0.149378E-03   0.330476E-02   0.915548E-03   0.135970E-02   0.146413E-04   0.951759E-03   0.175602E-04   0.308215E-02   0.136301E+03
   0.102505E+03   0.149378E-03   0.330476E-02   0.455686E-03   0.135970E-02   0.146413E-04   0.595019E-03   0.175602E-04   0.308215E-02   0.137379E+03
   0.102255E+03   0.307647E-03   0.502367E-03   0.455686E-03   0.135970E-02   0.146413E-04   0.595019E-03   0.175602E-04   0.142824E-02   0.143595E+03
   0.102255E+03   0.307647E-03   0.502367E-03   0.455686E-03   0.734861E-03   0.146413E-04   0.723256E-03   0.175602E-04   0.142824E-02   0.144557E+03
   0.102255E+03   0.307647E-03   0.502367E-03   0.184734E-03   0.628718E-03   0.146413E-04   0.723256E-03   0.175602E-04   0.142824E-02   0.144848E+03
   0.102255E+03   0.722159E-03   0.502367E-03   0.184734E-03   0.763693E-03   0.146413E-04   0.723256E-03   0.223378E-03   0.142824E-02   0.143687E+03
   0.102255E+03   0.722159E-03   0.134734E-03   0.184734E-03   0.763693E-03   0.146413E-04   0.723256E-03   0.223378E-03   0.142824E-02   0.144234E+03
   0.102255E+03   0.836935E-03   0.510914E-03   0.650908E-03   0.846239E-03   0.146413E-04   0.723256E-03   0.100834E-02   0.142824E-02   0.141491E+03
   0.102255E+03   0.836935E-03   0.510914E-03   0.650908E-03   0.846239E-03   0.146413E-04   0.641764E-03   0.100834E-02   0.291568E-02   0.139740E+03
   0.100401E+03   0.836935E-03   0.510914E-03   0.650908E-03   0.846239E-03   0.146413E-04   0.641764E-03   0.100834E-02   0.291568E-02   0.139970E+03
