a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.104466E+03   0.330088E+00   0.137422E+02  -0.157194E+01   0.454999E+02   0.192722E-03   0.119169E-02   0.514840E-03   0.141101E+03
   0.104466E+03   0.330088E+00   0.157850E+02  -0.157194E+01   0.455496E+02   0.192722E-03   0.119169E-02   0.514840E-03   0.141257E+03
   0.104466E+03   0.330088E+00   0.157850E+02  -0.157194E+01   0.450259E+02   0.192722E-03   0.100291E-02   0.514840E-03   0.142199E+03
   0.103895E+03   0.201899E+01   0.214585E+02  -0.157194E+01   0.257617E+02   0.192722E-03   0.100291E-02   0.514840E-03   0.143613E+03
   0.103895E+03  -0.446047E+01   0.220406E+02  -0.930614E+01   0.335727E+02   0.192722E-03   0.100291E-02   0.514840E-03   0.142298E+03
   0.105204E+03  -0.446047E+01   0.215922E+02  -0.118457E+02   0.472053E+02   0.192722E-03   0.100291E-02   0.514840E-03   0.141485E+03
   0.105204E+03  -0.446047E+01   0.158422E+02  -0.108760E+02   0.472053E+02   0.192722E-03   0.100291E-02   0.514840E-03   0.141467E+03
   0.105204E+03  -0.360695E+01   0.123639E+02  -0.178199E+02   0.472053E+02   0.192722E-03   0.100291E-02   0.514840E-03   0.139495E+03
   0.105204E+03  -0.360695E+01   0.137580E+02  -0.134864E+02   0.306830E+02   0.192722E-03   0.100291E-02   0.514840E-03   0.141469E+03
   0.105204E+03  -0.360695E+01   0.234249E+02  -0.134864E+02   0.306830E+02   0.192722E-03   0.100291E-02   0.514840E-03   0.142424E+03
   0.104853E+03  -0.360695E+01   0.271514E+02  -0.510623E+01   0.306830E+02   0.192722E-03   0.100291E-02   0.514840E-03   0.142534E+03
   0.104462E+03   0.251314E+01   0.264547E+02  -0.809861E+01   0.228774E+02   0.192722E-03   0.100291E-02   0.514840E-03   0.140737E+03
   0.105021E+03   0.251314E+01   0.250946E+02   0.323652E+01   0.319756E+02   0.192722E-03   0.100291E-02   0.514840E-03   0.143909E+03
   0.105021E+03   0.251314E+01   0.234690E+02   0.101305E+01   0.416233E+02   0.192722E-03   0.100291E-02   0.514840E-03   0.143418E+03
   0.105021E+03   0.251314E+01   0.284124E+02  -0.270331E+00   0.451039E+02   0.192722E-03   0.100291E-02   0.390832E-03   0.142375E+03
   0.106633E+03   0.452761E+00   0.269444E+02   0.106831E+02   0.521995E+02   0.192722E-03   0.100291E-02   0.390832E-03   0.141754E+03
   0.106117E+03   0.587826E+01   0.234733E+02   0.206503E+02   0.521995E+02   0.515641E-04   0.100291E-02   0.390832E-03   0.141554E+03
   0.106117E+03   0.113118E+02   0.220889E+02   0.179041E+02   0.493262E+02   0.515641E-04   0.100291E-02   0.390832E-03   0.143083E+03
   0.106117E+03   0.550492E+01   0.220889E+02   0.179041E+02   0.346850E+02   0.515641E-04   0.100291E-02   0.390832E-03   0.143643E+03
   0.106117E+03   0.796520E+01   0.220889E+02   0.179041E+02   0.346850E+02   0.515641E-04   0.100291E-02   0.126407E-03   0.145066E+03
   0.106117E+03   0.446053E+01   0.258206E+02   0.678495E+01   0.407688E+02   0.515641E-04   0.100291E-02   0.126407E-03   0.145769E+03
   0.106117E+03   0.552552E+01   0.279966E+02   0.722354E+01   0.464252E+02   0.515641E-04   0.100291E-02   0.126407E-03   0.145447E+03
   0.106117E+03   0.539329E+01   0.310319E+02   0.722354E+01   0.473052E+02   0.843154E-03   0.100291E-02   0.126407E-03   0.143179E+03
   0.106117E+03   0.515045E+01   0.230794E+02   0.722354E+01   0.483325E+02   0.843154E-03   0.100291E-02   0.126407E-03   0.142396E+03
   0.106117E+03   0.515045E+01   0.349440E+02   0.722354E+01   0.510357E+02   0.843154E-03   0.100291E-02   0.126407E-03   0.141250E+03
   0.106117E+03   0.515045E+01   0.349440E+02   0.722354E+01   0.510357E+02   0.843154E-03   0.100291E-02   0.126407E-03   0.141250E+03
   0.107746E+03   0.462971E+01   0.369716E+02   0.376371E+00   0.510357E+02   0.175867E-03   0.100291E-02   0.126407E-03   0.143114E+03
   0.107912E+03   0.620479E+01   0.369716E+02   0.758304E+01   0.469895E+02   0.175867E-03   0.100291E-02   0.126407E-03   0.145079E+03
   0.107912E+03  -0.129008E+01   0.344592E+02  -0.145277E+01   0.469895E+02   0.938906E-03   0.100291E-02   0.126407E-03   0.142316E+03
   0.107912E+03  -0.577158E+00   0.371632E+02  -0.145277E+01   0.469895E+02   0.938906E-03   0.100291E-02   0.126407E-03   0.142572E+03
   0.107912E+03  -0.577158E+00   0.371632E+02   0.549870E+01   0.469895E+02   0.145808E-02   0.406505E-03   0.126407E-03   0.142728E+03
   0.107912E+03  -0.577158E+00   0.353568E+02   0.555560E+01   0.456284E+02   0.687524E-03   0.208512E-03   0.126407E-03   0.145360E+03
   0.107912E+03   0.241952E+01   0.259701E+02   0.628942E+01   0.456284E+02   0.687524E-03   0.301997E-03   0.126407E-03   0.143619E+03
   0.107912E+03   0.168331E+01   0.260366E+02   0.766543E+01   0.431084E+02   0.602242E-03   0.280325E-03   0.126407E-03   0.142944E+03
   0.107912E+03   0.168331E+01   0.355842E+02   0.228026E+01   0.521561E+02   0.602242E-03   0.280325E-03   0.261444E-03   0.146404E+03
   0.109994E+03   0.232467E+01   0.413797E+02   0.228026E+01   0.535160E+02   0.602242E-03   0.280325E-03   0.261444E-03   0.144669E+03
   0.109994E+03   0.232467E+01   0.413797E+02   0.483230E+01   0.535160E+02   0.602242E-03   0.620166E-03   0.315602E-03   0.143617E+03
   0.109848E+03   0.232467E+01   0.413797E+02   0.483230E+01   0.555256E+02   0.602242E-03   0.620166E-03   0.315602E-03   0.144234E+03
   0.109848E+03   0.644771E+01   0.278487E+02   0.483230E+01   0.598525E+02   0.602242E-03   0.203238E-03   0.315602E-03   0.138278E+03
   0.109848E+03   0.113119E+01   0.346076E+02   0.483230E+01   0.661184E+02   0.280173E-03   0.203238E-03   0.315602E-03   0.143796E+03
   0.110156E+03   0.113119E+01   0.346076E+02   0.483230E+01   0.661184E+02   0.280173E-03   0.203238E-03   0.315602E-03   0.143452E+03
   0.110156E+03   0.113119E+01   0.396167E+02   0.483230E+01   0.661184E+02   0.280173E-03   0.203238E-03   0.315602E-03   0.144605E+03
   0.110156E+03   0.113119E+01   0.396167E+02   0.483230E+01   0.579475E+02   0.280173E-03   0.203238E-03   0.315602E-03   0.144868E+03
   0.110156E+03   0.747608E+01   0.396167E+02   0.616664E+01   0.611419E+02   0.280173E-03   0.203238E-03   0.315602E-03   0.144793E+03
   0.110156E+03   0.747608E+01   0.396167E+02   0.131556E+02   0.624743E+02   0.280173E-03   0.203238E-03   0.315602E-03   0.146762E+03
   0.110156E+03   0.113241E+02   0.396167E+02   0.131556E+02   0.624743E+02   0.280173E-03   0.203238E-03   0.475133E-03   0.145161E+03
   0.110156E+03   0.113241E+02   0.396167E+02   0.131556E+02   0.572472E+02   0.280173E-03   0.203238E-03   0.475133E-03   0.145212E+03
   0.108789E+03   0.104127E+02   0.325437E+02   0.198961E+02   0.572472E+02   0.280173E-03   0.203238E-03   0.475133E-03   0.146711E+03
   0.108789E+03   0.104127E+02   0.295101E+02   0.190929E+02   0.572472E+02   0.280173E-03   0.487937E-03   0.475133E-03   0.144934E+03
   0.108789E+03   0.104127E+02   0.349714E+02   0.190929E+02   0.572472E+02   0.280173E-03   0.487937E-03   0.397556E-03   0.146548E+03
   0.108789E+03   0.101150E+02   0.349714E+02   0.170643E+02   0.572472E+02   0.280173E-03   0.487937E-03   0.397556E-03   0.146451E+03
   0.108789E+03   0.134733E+02   0.398028E+02   0.261921E+02   0.446249E+02   0.280173E-03   0.487937E-03   0.397556E-03   0.147247E+03
   0.108789E+03   0.134733E+02   0.398028E+02   0.248484E+02   0.467471E+02   0.280173E-03   0.337973E-04   0.397556E-03   0.148884E+03
   0.108789E+03   0.134733E+02   0.313535E+02   0.320747E+02   0.467471E+02   0.280173E-03   0.337973E-04   0.397556E-03   0.146960E+03
   0.108574E+03   0.143599E+02   0.311706E+02   0.320747E+02   0.399202E+02   0.304358E-03   0.337973E-04   0.397556E-03   0.147131E+03
   0.107853E+03   0.199705E+02   0.309297E+02   0.298587E+02   0.367117E+02   0.304358E-03   0.337973E-04   0.397556E-03   0.147351E+03
   0.107853E+03   0.190898E+02   0.346598E+02   0.278374E+02   0.382722E+02   0.304358E-03   0.337973E-04   0.397556E-03   0.148292E+03
   0.107853E+03   0.110866E+02   0.346598E+02   0.267540E+02   0.382722E+02   0.304358E-03   0.367399E-04   0.355776E-03   0.147809E+03
   0.107853E+03   0.110866E+02   0.381833E+02   0.267540E+02   0.338424E+02   0.304358E-03   0.367399E-04   0.355776E-03   0.146052E+03
   0.107477E+03   0.110866E+02   0.381833E+02   0.164562E+02   0.345367E+02   0.304358E-03   0.367399E-04   0.355776E-03   0.147471E+03
   0.107477E+03   0.120209E+02   0.381833E+02   0.196258E+02   0.372226E+02   0.304358E-03   0.367399E-04   0.355776E-03   0.148231E+03
   0.108209E+03   0.120209E+02   0.381833E+02   0.196258E+02   0.372226E+02   0.596614E-03   0.367399E-04   0.355776E-03   0.147378E+03
