<CdSiteHydro>;<CdStationHydro>;<CdCapteur>;<GrdSerieObsHydro>;<DtObsHydro>;<StObsHydro>;<ResObsHydro>;<QualifObsHydro>;<MethObsHydro>;<ContObsHydro>;<FLG>
"Code du site hydrométrique";"Code de la station hydrométrique";"Code du capteur";"Grandeur observée de la série";"Date d'observation hydrométrique";"Résultat de l'observation hydro";"Résultat de l'observation hydrométrique";"Qualification de la donnée de l'observation hydrométrique";"Méthode d'obtention du résultat de l'observation hydrométrique";"Continuité de la donnée de l'observation hydrométrique";<FLG>
V2942010;V294201001;;Q;"2001-01-19 20:42:00";16;194503;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-19 21:12:00";16;199984;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-19 23:00:00";16;206097;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-20 00:00:00";16;206097;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-20 01:39:00";16;199773;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-20 03:54:00";16;159423;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-20 05:45:00";16;142263;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-20 07:39:00";16;111337;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-20 09:12:00";16;102279;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-20 10:48:00";16;100891;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-20 11:09:00";16;102418;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-20 12:24:00";16;117937;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-20 13:30:00";16;123594;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-20 21:18:00";16;124726;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-20 23:27:00";16;107377;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-21 02:30:00";16;97975;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-21 06:48:00";16;92143;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-21 08:18:00";16;81313;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-21 09:30:00";16;76593;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-21 13:15:00";16;72566;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-21 14:12:00";16;74371;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-21 15:54:00";16;92838;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-21 17:30:00";16;96170;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-21 22:30:00";16;98530;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-22 03:36:00";16;92005;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-22 04:12:00";16;97420;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-22 05:21:00";16;118880;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-22 06:24:00";16;133023;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-22 10:03:00";16;141131;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-22 10:48:00";16;146223;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-22 11:45:00";16;164891;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-22 13:09:00";16;209470;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-22 13:48:00";16;216427;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-22 14:15:00";16;215584;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-22 15:12:00";16;198297;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-22 16:54:00";16;158291;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-22 17:54:00";16;149051;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-22 19:06:00";16;146600;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-22 19:45:00";16;148109;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-22 20:42:00";16;156594;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-23 02:00:00";16;159611;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-23 04:00:00";16;153954;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-23 05:36:00";16;139434;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-23 07:06:00";16;121709;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-23 08:06:00";16;116806;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-23 08:48:00";16;117937;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-23 09:15:00";16;123217;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-23 11:12:00";16;169040;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-23 11:54:00";16;179746;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-23 13:30:00";16;191551;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-23 16:30:00";16;195978;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-23 18:30:00";16;193659;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-23 19:45:00";16;186914;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-23 21:45:00";16;182908;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-24 02:15:00";16;177638;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-24 04:06:00";16;157537;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-24 05:12:00";16;151503;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-24 07:30:00";16;145091;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-24 08:45:00";16;138491;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-24 10:15:00";16;138491;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-24 11:24:00";16;146789;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-24 12:51:00";16;173843;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-24 13:42:00";16;186703;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-24 18:54:00";16;221276;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-24 21:03:00";16;263354;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-24 21:57:00";16;274131;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-24 23:18:00";16;284120;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-25 03:30:00";16;301469;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-25 06:45:00";16;305937;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-25 10:48:00";16;301994;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-25 12:18:00";16;290954;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-25 14:21:00";16;260989;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-25 17:00:00";16;249314;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-25 18:30:00";16;251526;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-25 20:57:00";16;269137;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-25 22:45:00";16;274131;20;10;0;<FLG>
