a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.992333E+02   0.309007E+00  -0.934486E+01   0.752599E-01   0.135690E-03   0.926967E-03   0.286022E-02   0.494538E-03   0.385692E-03   0.716317E-03   0.867773E-03   0.196349E-02   0.177606E+03   0.000000E+00   0.000000E+00   0.177606E+03  -0.355212E+03
   0.996315E+02   0.131943E+01  -0.934486E+01   0.922632E+00   0.135690E-03   0.926967E-03   0.776719E-03   0.494538E-03   0.385692E-03   0.163106E-02   0.867773E-03   0.196349E-02   0.180031E+03   0.000000E+00   0.000000E+00   0.180031E+03  -0.360062E+03
   0.996315E+02   0.131943E+01  -0.934486E+01  -0.131028E+02   0.135690E-03   0.926967E-03   0.819782E-03   0.200192E-02   0.385692E-03   0.163106E-02   0.867773E-03   0.196349E-02   0.178209E+03   0.000000E+00   0.000000E+00   0.178209E+03  -0.356418E+03
   0.101575E+03   0.853555E+00  -0.934486E+01  -0.131028E+02   0.135690E-03   0.926967E-03   0.132207E-03   0.200192E-02   0.110263E-02   0.273902E-02   0.122206E-03   0.196349E-02   0.175444E+03   0.000000E+00   0.000000E+00   0.175444E+03  -0.350888E+03
   0.101575E+03   0.853555E+00  -0.133637E+02  -0.183738E+02   0.135690E-03   0.926967E-03   0.132207E-03   0.200192E-02   0.110263E-02   0.102279E-02   0.122206E-03   0.196349E-02   0.177403E+03   0.000000E+00   0.000000E+00   0.177403E+03  -0.354806E+03
   0.102613E+03   0.853555E+00  -0.164046E+02  -0.152619E+02   0.135690E-03   0.926967E-03   0.132207E-03   0.200192E-02   0.202189E-02   0.102279E-02   0.122206E-03   0.196349E-02   0.172541E+03   0.000000E+00   0.000000E+00   0.172541E+03  -0.345082E+03
   0.102613E+03   0.853555E+00  -0.168374E+02  -0.141484E+02   0.135690E-03   0.926967E-03   0.132207E-03   0.200192E-02   0.278189E-02   0.102279E-02   0.122206E-03   0.291560E-02   0.169900E+03   0.000000E+00   0.000000E+00   0.169900E+03  -0.339800E+03
   0.102613E+03   0.853555E+00  -0.202754E+02  -0.141484E+02   0.135690E-03   0.926967E-03   0.132207E-03   0.200192E-02   0.481372E-03   0.102279E-02   0.122206E-03   0.855877E-03   0.173556E+03   0.000000E+00   0.000000E+00   0.173556E+03  -0.347112E+03
   0.102613E+03   0.853555E+00  -0.888398E+00  -0.157418E+02   0.135690E-03   0.926967E-03   0.132207E-03   0.200192E-02   0.481372E-03   0.102279E-02   0.218904E-03   0.855877E-03   0.177110E+03   0.000000E+00   0.000000E+00   0.177110E+03  -0.354220E+03
   0.102613E+03   0.131669E+01   0.122803E+02  -0.233801E+02   0.330883E-03   0.926967E-03   0.132207E-03   0.200192E-02   0.481372E-03   0.102279E-02   0.305162E-02   0.855877E-03   0.176447E+03   0.000000E+00   0.000000E+00   0.176447E+03  -0.352894E+03
   0.103512E+03  -0.405201E+01   0.122803E+02  -0.233801E+02   0.330883E-03   0.926967E-03   0.129388E-03   0.200192E-02   0.481372E-03   0.102279E-02   0.305162E-02   0.912315E-03   0.174726E+03   0.000000E+00   0.000000E+00   0.174726E+03  -0.349452E+03
   0.103512E+03   0.561489E+01   0.608331E+01  -0.141060E+02   0.330883E-03   0.117393E-02   0.129388E-03   0.200192E-02   0.481372E-03   0.351751E-02   0.305162E-02   0.695254E-03   0.172483E+03   0.000000E+00   0.000000E+00   0.172483E+03  -0.344966E+03
   0.100859E+03   0.561489E+01   0.512849E+01  -0.141060E+02   0.274713E-02   0.117393E-02   0.129388E-03   0.200192E-02   0.481372E-03   0.657755E-02   0.270328E-02   0.695254E-03   0.168206E+03   0.000000E+00   0.000000E+00   0.168206E+03  -0.336412E+03
   0.100859E+03   0.561489E+01  -0.623375E+01  -0.141060E+02   0.274713E-02   0.117393E-02   0.129388E-03   0.200192E-02   0.481372E-03   0.657755E-02   0.270328E-02   0.695254E-03   0.169281E+03   0.000000E+00   0.000000E+00   0.169281E+03  -0.338562E+03
   0.100859E+03   0.561489E+01  -0.127073E+02  -0.189480E+02   0.274713E-02   0.363164E-03   0.129388E-03   0.126794E-02   0.481372E-03   0.657755E-02   0.975665E-03   0.695254E-03   0.172812E+03   0.000000E+00   0.000000E+00   0.172812E+03  -0.345624E+03
