a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.114045E+03   0.404758E+02   0.254476E-03   0.136383E+02   0.753466E+01   0.172889E+02   0.111370E+02   0.452743E+02
   0.114045E+03   0.404758E+02   0.254476E-03   0.106423E+02   0.753466E+01   0.172889E+02   0.111370E+02   0.466774E+02
   0.114045E+03   0.404758E+02   0.254476E-03   0.106423E+02   0.753466E+01   0.172889E+02   0.151847E+02   0.474739E+02
   0.114045E+03   0.383616E+02   0.254476E-03   0.106423E+02   0.121150E+02   0.172889E+02   0.104756E+02   0.478716E+02
   0.114045E+03   0.383616E+02   0.254476E-03   0.962520E+01   0.121150E+02   0.172889E+02   0.116075E+02   0.486889E+02
   0.114045E+03   0.383616E+02   0.254476E-03   0.959369E+01   0.104045E+02   0.187092E+02   0.139050E+02   0.494137E+02
   0.114045E+03   0.383616E+02   0.254476E-03   0.959369E+01   0.104045E+02   0.160175E+02   0.175691E+02   0.496510E+02
   0.114045E+03   0.383616E+02   0.254476E-03   0.959369E+01   0.104045E+02   0.190530E+02   0.175691E+02   0.488163E+02
   0.114045E+03   0.383616E+02   0.465330E-03   0.866575E+01   0.930715E+01   0.193432E+02   0.175691E+02   0.474331E+02
   0.114045E+03   0.389542E+02   0.341151E-03   0.979617E+01   0.120417E+02   0.193432E+02   0.175691E+02   0.477918E+02
   0.114045E+03   0.389542E+02   0.341151E-03   0.981151E+01   0.120417E+02   0.184280E+02   0.197622E+02   0.473628E+02
   0.114045E+03   0.389542E+02   0.341151E-03   0.102640E+02   0.894064E+01   0.184280E+02   0.128158E+02   0.489600E+02
   0.114045E+03   0.389542E+02   0.341151E-03   0.102640E+02   0.903795E+01   0.184296E+02   0.227037E+02   0.465678E+02
   0.114045E+03   0.389542E+02   0.341151E-03   0.130859E+02   0.116510E+02   0.184296E+02   0.227037E+02   0.450113E+02
   0.114045E+03   0.380800E+02   0.341151E-03   0.127674E+02   0.901596E+01   0.100414E+02   0.228635E+02   0.444082E+02
   0.113486E+03   0.380800E+02   0.341151E-03   0.127674E+02   0.120448E+02   0.121704E+02   0.228635E+02   0.444120E+02
   0.113880E+03   0.382192E+02   0.754060E-04   0.114563E+02   0.124317E+02   0.121704E+02   0.240743E+02   0.456931E+02
   0.113880E+03   0.412934E+02   0.754060E-04   0.103826E+02   0.124317E+02   0.173509E+02   0.181610E+02   0.450848E+02
   0.113880E+03   0.412934E+02   0.365080E-03   0.113400E+02   0.114469E+02   0.131922E+02   0.181610E+02   0.459233E+02
   0.111795E+03   0.411671E+02   0.365080E-03   0.113400E+02   0.101565E+02   0.118269E+02   0.153331E+02   0.489114E+02
   0.111795E+03   0.411671E+02   0.365080E-03   0.113400E+02   0.938640E+01   0.160917E+02   0.168426E+02   0.490239E+02
   0.111795E+03   0.411367E+02   0.365080E-03   0.942458E+01   0.938640E+01   0.132325E+02   0.140662E+02   0.497107E+02
   0.111795E+03   0.411367E+02   0.365080E-03   0.942458E+01   0.938640E+01   0.181996E+02   0.140662E+02   0.491211E+02
   0.111795E+03   0.411367E+02   0.365080E-03   0.942458E+01   0.110819E+02   0.178860E+02   0.140662E+02   0.489709E+02
   0.111795E+03   0.433489E+02   0.365080E-03   0.942458E+01   0.906033E+01   0.174415E+02   0.146366E+02   0.479482E+02
   0.111795E+03   0.433286E+02   0.365080E-03   0.942458E+01   0.111911E+02   0.174415E+02   0.170118E+02   0.473897E+02
   0.108340E+03   0.463434E+02   0.365080E-03   0.982486E+01   0.106458E+02   0.174415E+02   0.170118E+02   0.489184E+02
   0.108340E+03   0.463434E+02   0.365080E-03   0.982486E+01   0.100113E+02   0.174415E+02   0.185901E+02   0.485625E+02
   0.108340E+03   0.439851E+02   0.365080E-03   0.982486E+01   0.100568E+02   0.174415E+02   0.129206E+02   0.475785E+02
   0.108340E+03   0.455322E+02   0.365080E-03   0.982486E+01   0.942521E+01   0.193119E+02   0.163556E+02   0.484855E+02
   0.107476E+03   0.451400E+02   0.365080E-03   0.982486E+01   0.942521E+01   0.196297E+02   0.111643E+02   0.461692E+02
   0.109863E+03   0.445928E+02   0.365080E-03   0.845261E+01   0.139815E+02   0.139542E+02   0.111643E+02   0.469571E+02
   0.109863E+03   0.454240E+02   0.365080E-03   0.845261E+01   0.897758E+01   0.139542E+02   0.111643E+02   0.480280E+02
   0.109863E+03   0.454240E+02   0.365080E-03   0.845261E+01   0.704943E+01   0.139542E+02   0.114302E+02   0.470305E+02
