a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.993215E+02   0.273521E+01  -0.617765E+01   0.269798E-03   0.994039E+01   0.897401E+01   0.114631E+02   0.147882E+02   0.400363E+02
   0.100085E+03  -0.283955E+01   0.101156E+02   0.473381E-03   0.844828E+01   0.106912E+02   0.164713E+02   0.181373E+02   0.377721E+02
   0.983624E+02   0.556500E+01  -0.181331E+02   0.101651E-03   0.912585E+01   0.985137E+01   0.141500E+02   0.181051E+02   0.393987E+02
   0.983624E+02   0.733306E+01  -0.907864E+01   0.794526E-03   0.131496E+02   0.979323E+01   0.167140E+02   0.173171E+02   0.367677E+02
   0.101836E+03  -0.289903E+01   0.182637E+02   0.213003E-03   0.728924E+01   0.991621E+01   0.169873E+02   0.176009E+02   0.367310E+02
   0.979412E+02   0.792959E+01  -0.891927E+01   0.261419E-03   0.994797E+01   0.137616E+02   0.131109E+02   0.149468E+02   0.382997E+02
   0.990008E+02   0.210949E+01  -0.913497E+01   0.339570E-03   0.133409E+02   0.919961E+01   0.125190E+02   0.203093E+02   0.375238E+02
   0.989307E+02   0.210949E+01  -0.102358E+02   0.582418E-03   0.111567E+02   0.870288E+01   0.169553E+02   0.141967E+02   0.390715E+02
   0.104120E+03  -0.134662E+02   0.237227E+02   0.141975E-02   0.133377E+02   0.152118E+02   0.110452E+02   0.152675E+02   0.296697E+02
   0.102686E+03  -0.635181E+00   0.263506E+02   0.955443E-03   0.856937E+01   0.779416E+01   0.216411E+02   0.123725E+02   0.335740E+02
