a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100406E+03  -0.193400E+01   0.341361E-03   0.982649E+01   0.970180E+01   0.183559E+03  -0.185124E+01   0.000000E+00   0.185410E+03  -0.370820E+03
   0.100406E+03  -0.193400E+01   0.341361E-03   0.914578E+01   0.102720E+02   0.183200E+03  -0.221009E+01   0.000000E+00   0.185410E+03  -0.370820E+03
   0.100406E+03   0.248757E+01   0.341361E-03   0.969812E+01   0.970636E+01   0.185509E+03  -0.186881E+01   0.000000E+00   0.187378E+03  -0.374756E+03
   0.100406E+03   0.248757E+01   0.341361E-03   0.980214E+01   0.970636E+01   0.185526E+03  -0.185247E+01   0.000000E+00   0.187378E+03  -0.374757E+03
   0.100406E+03   0.248757E+01   0.341361E-03   0.980214E+01   0.970636E+01   0.185526E+03  -0.185247E+01   0.000000E+00   0.187378E+03  -0.374757E+03
   0.100406E+03   0.248757E+01   0.457078E-03   0.105503E+02   0.970636E+01   0.185907E+03  -0.204954E+01   0.000000E+00   0.187957E+03  -0.375913E+03
   0.100406E+03   0.248757E+01   0.404567E-03   0.106880E+02   0.100820E+02   0.185686E+03  -0.213727E+01   0.000000E+00   0.187823E+03  -0.375647E+03
   0.100406E+03   0.248757E+01   0.404567E-03   0.101986E+02   0.100820E+02   0.185935E+03  -0.188838E+01   0.000000E+00   0.187823E+03  -0.375647E+03
   0.100406E+03   0.248757E+01   0.404567E-03   0.101986E+02   0.100820E+02   0.185935E+03  -0.188838E+01   0.000000E+00   0.187823E+03  -0.375647E+03
   0.100406E+03   0.248757E+01   0.404567E-03   0.111979E+02   0.100820E+02   0.185221E+03  -0.260257E+01   0.000000E+00   0.187824E+03  -0.375647E+03
   0.100406E+03   0.266338E+01   0.404567E-03   0.910450E+01   0.111002E+02   0.184965E+03  -0.283325E+01   0.000000E+00   0.187798E+03  -0.375597E+03
   0.100406E+03   0.266338E+01   0.404567E-03   0.796105E+01   0.111002E+02   0.182940E+03  -0.485872E+01   0.000000E+00   0.187799E+03  -0.375597E+03
   0.100406E+03   0.266338E+01   0.404567E-03   0.906950E+01   0.912958E+01   0.185258E+03  -0.254074E+01   0.000000E+00   0.187799E+03  -0.375597E+03
   0.100406E+03   0.266338E+01   0.404567E-03   0.896979E+01   0.947313E+01   0.185386E+03  -0.241254E+01   0.000000E+00   0.187799E+03  -0.375597E+03
   0.100406E+03   0.266338E+01   0.404567E-03   0.896979E+01   0.102781E+02   0.185413E+03  -0.238524E+01   0.000000E+00   0.187798E+03  -0.375596E+03
   0.100406E+03   0.266338E+01   0.404567E-03   0.896979E+01   0.104697E+02   0.185327E+03  -0.247143E+01   0.000000E+00   0.187798E+03  -0.375597E+03
   0.100406E+03   0.266338E+01   0.404567E-03   0.992523E+01   0.104697E+02   0.185814E+03  -0.198443E+01   0.000000E+00   0.187798E+03  -0.375597E+03
   0.100406E+03   0.266338E+01   0.404567E-03   0.992523E+01   0.104697E+02   0.185814E+03  -0.198443E+01   0.000000E+00   0.187798E+03  -0.375597E+03
   0.100406E+03   0.266338E+01   0.404567E-03   0.992523E+01   0.100311E+02   0.185962E+03  -0.183678E+01   0.000000E+00   0.187799E+03  -0.375598E+03
   0.100406E+03   0.266338E+01   0.665041E-03   0.967025E+01   0.100311E+02   0.184912E+03  -0.186415E+01   0.000000E+00   0.186776E+03  -0.373552E+03
   0.100406E+03   0.266338E+01   0.581427E-03   0.101249E+02   0.921543E+01   0.185404E+03  -0.211008E+01   0.000000E+00   0.187514E+03  -0.375028E+03
   0.100406E+03   0.266338E+01   0.581427E-03   0.101249E+02   0.921543E+01   0.185404E+03  -0.211008E+01   0.000000E+00   0.187514E+03  -0.375028E+03
   0.100406E+03   0.266338E+01   0.581427E-03   0.101249E+02   0.987223E+01   0.185661E+03  -0.185340E+01   0.000000E+00   0.187514E+03  -0.375029E+03
   0.100406E+03   0.266338E+01   0.581427E-03   0.983622E+01   0.938420E+01   0.185541E+03  -0.197342E+01   0.000000E+00   0.187514E+03  -0.375029E+03
   0.990224E+02   0.312349E+01   0.581427E-03   0.108342E+02   0.938420E+01   0.184054E+03  -0.237740E+01   0.000000E+00   0.186431E+03  -0.372863E+03
