a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.100323E+03   0.293748E+01   0.502397E-03   0.101040E+02   0.976234E+01   0.186064E+03
   0.100323E+03   0.293748E+01   0.502397E-03   0.101040E+02   0.109693E+02   0.185549E+03
   0.100323E+03   0.293748E+01   0.502397E-03   0.106508E+02   0.898656E+01   0.185359E+03
   0.100323E+03   0.293748E+01   0.510568E-03   0.106508E+02   0.836500E+01   0.184385E+03
   0.100323E+03   0.293748E+01   0.510568E-03   0.106508E+02   0.836500E+01   0.184385E+03
   0.100323E+03   0.293748E+01   0.510568E-03   0.106508E+02   0.936775E+01   0.185652E+03
   0.100323E+03   0.713977E+01   0.604096E-03   0.106508E+02   0.854136E+01   0.182149E+03
   0.100323E+03   0.507435E+01   0.604096E-03   0.899037E+01   0.854136E+01   0.183332E+03
   0.100323E+03   0.507435E+01   0.604096E-03   0.899037E+01   0.807792E+01   0.182352E+03
   0.100323E+03   0.507435E+01   0.696249E-03   0.105836E+02   0.807792E+01   0.181795E+03
   0.100323E+03   0.507435E+01   0.696249E-03   0.101406E+02   0.807792E+01   0.181989E+03
   0.100323E+03   0.390751E+01   0.514945E-03   0.104145E+02   0.807792E+01   0.183613E+03
   0.100323E+03   0.390751E+01   0.514945E-03   0.101129E+02   0.791152E+01   0.183274E+03
   0.100323E+03   0.240445E+01   0.546134E-03   0.102478E+02   0.927637E+01   0.185703E+03
   0.100323E+03   0.240445E+01   0.546134E-03   0.102478E+02   0.100713E+02   0.185900E+03
   0.100323E+03   0.135327E+01   0.546134E-03   0.102478E+02   0.100713E+02   0.185842E+03
   0.100323E+03   0.723570E+00   0.720222E-03   0.102478E+02   0.816836E+01   0.182277E+03
   0.100323E+03   0.723570E+00   0.720222E-03   0.102478E+02   0.843974E+01   0.182853E+03
   0.100487E+03   0.723570E+00   0.720222E-03   0.116097E+02   0.843974E+01   0.181581E+03
   0.100487E+03   0.723570E+00   0.487950E-03   0.118860E+02   0.843974E+01   0.182908E+03
   0.100487E+03   0.723570E+00   0.487950E-03   0.111908E+02   0.953911E+01   0.185033E+03
   0.100487E+03   0.723570E+00   0.487950E-03   0.951711E+01   0.112487E+02   0.184960E+03
   0.997843E+02   0.723570E+00   0.487950E-03   0.951711E+01   0.106925E+02   0.185622E+03
   0.997843E+02   0.723570E+00   0.487950E-03   0.100022E+02   0.106925E+02   0.185695E+03
   0.997843E+02   0.723570E+00   0.487950E-03   0.993207E+01   0.106925E+02   0.185699E+03
   0.100765E+03   0.723570E+00   0.487950E-03   0.993207E+01   0.106925E+02   0.185168E+03
   0.100765E+03   0.723570E+00   0.487950E-03   0.993207E+01   0.867962E+01   0.184598E+03
   0.100765E+03   0.723570E+00   0.487950E-03   0.972961E+01   0.936800E+01   0.185297E+03
   0.100765E+03   0.723570E+00   0.487950E-03   0.972961E+01   0.936800E+01   0.185297E+03
   0.100765E+03   0.723570E+00   0.487950E-03   0.948913E+01   0.936800E+01   0.185222E+03
   0.100765E+03   0.723570E+00   0.487950E-03   0.843594E+01   0.948879E+01   0.184093E+03
   0.100765E+03   0.723570E+00   0.487950E-03   0.843594E+01   0.948879E+01   0.184093E+03
   0.100765E+03   0.723570E+00   0.487950E-03   0.107521E+02   0.948879E+01   0.185034E+03
   0.100765E+03   0.723570E+00   0.399075E-03   0.107521E+02   0.948879E+01   0.184758E+03
   0.100765E+03   0.723570E+00   0.399075E-03   0.968909E+01   0.112835E+02   0.184310E+03
   0.100765E+03   0.305062E+00   0.399075E-03   0.103908E+02   0.107811E+02   0.184568E+03
   0.100765E+03   0.305062E+00   0.399075E-03   0.103908E+02   0.108847E+02   0.184482E+03
   0.100765E+03   0.305062E+00   0.399075E-03   0.111239E+02   0.110387E+02   0.183777E+03
   0.992877E+02  -0.671805E+00   0.385450E-03   0.105312E+02   0.110387E+02   0.183669E+03
   0.992877E+02   0.351854E+00   0.385450E-03   0.105312E+02   0.982408E+01   0.184915E+03
   0.998924E+02   0.351854E+00   0.385450E-03   0.944722E+01   0.100835E+02   0.185698E+03
   0.998924E+02   0.351854E+00   0.385450E-03   0.944722E+01   0.100835E+02   0.185698E+03
   0.100372E+03   0.351854E+00   0.385450E-03   0.944722E+01   0.100835E+02   0.185499E+03
   0.100372E+03   0.351854E+00   0.385450E-03   0.944722E+01   0.118718E+02   0.183868E+03
   0.100184E+03   0.351854E+00   0.385450E-03   0.944722E+01   0.117211E+02   0.184249E+03
   0.994379E+02   0.351854E+00   0.385450E-03   0.912722E+01   0.117211E+02   0.183632E+03
