a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100329E+03   0.440377E-03   0.266996E-03   0.267337E-03   0.781244E-03   0.216349E+03   0.000000E+00   0.000000E+00   0.216349E+03  -0.432698E+03
   0.100329E+03   0.440377E-03   0.266996E-03   0.124289E-03   0.781244E-03   0.217105E+03   0.000000E+00   0.000000E+00   0.217105E+03  -0.434210E+03
   0.100329E+03   0.440377E-03   0.266996E-03   0.124289E-03   0.781244E-03   0.217105E+03   0.000000E+00   0.000000E+00   0.217105E+03  -0.434210E+03
   0.100329E+03   0.440377E-03   0.266996E-03   0.124289E-03   0.781244E-03   0.217105E+03   0.000000E+00   0.000000E+00   0.217105E+03  -0.434210E+03
   0.100329E+03   0.440377E-03   0.266996E-03   0.124289E-03   0.970287E-03   0.217199E+03   0.000000E+00   0.000000E+00   0.217199E+03  -0.434398E+03
   0.100329E+03   0.183021E-03   0.266996E-03   0.124289E-03   0.970287E-03   0.217774E+03   0.000000E+00   0.000000E+00   0.217774E+03  -0.435548E+03
   0.100329E+03   0.183021E-03   0.266996E-03   0.124289E-03   0.970287E-03   0.217774E+03   0.000000E+00   0.000000E+00   0.217774E+03  -0.435548E+03
   0.100329E+03   0.183021E-03   0.266996E-03   0.124289E-03   0.970287E-03   0.217774E+03   0.000000E+00   0.000000E+00   0.217774E+03  -0.435548E+03
   0.100329E+03   0.183021E-03   0.266996E-03   0.124289E-03   0.970287E-03   0.217774E+03   0.000000E+00   0.000000E+00   0.217774E+03  -0.435548E+03
   0.100329E+03   0.183021E-03   0.266996E-03   0.124289E-03   0.970287E-03   0.217774E+03   0.000000E+00   0.000000E+00   0.217774E+03  -0.435548E+03
   0.100329E+03   0.183021E-03   0.266996E-03   0.124289E-03   0.970287E-03   0.217774E+03   0.000000E+00   0.000000E+00   0.217774E+03  -0.435548E+03
   0.100329E+03   0.183021E-03   0.266996E-03   0.124289E-03   0.970287E-03   0.217774E+03   0.000000E+00   0.000000E+00   0.217774E+03  -0.435548E+03
   0.100329E+03   0.183021E-03   0.266996E-03   0.124289E-03   0.970287E-03   0.217774E+03   0.000000E+00   0.000000E+00   0.217774E+03  -0.435548E+03
   0.100329E+03   0.183021E-03   0.266996E-03   0.124289E-03   0.970287E-03   0.217774E+03   0.000000E+00   0.000000E+00   0.217774E+03  -0.435548E+03
   0.100329E+03   0.183021E-03   0.266996E-03   0.124289E-03   0.970287E-03   0.217774E+03   0.000000E+00   0.000000E+00   0.217774E+03  -0.435548E+03
   0.100329E+03   0.183021E-03   0.266996E-03   0.124289E-03   0.970287E-03   0.217774E+03   0.000000E+00   0.000000E+00   0.217774E+03  -0.435548E+03
   0.100329E+03   0.183021E-03   0.266996E-03   0.124289E-03   0.970287E-03   0.217774E+03   0.000000E+00   0.000000E+00   0.217774E+03  -0.435548E+03
   0.101234E+03   0.183021E-03   0.266996E-03   0.124289E-03   0.970287E-03   0.217734E+03   0.000000E+00   0.000000E+00   0.217734E+03  -0.435468E+03
   0.101234E+03   0.183021E-03   0.266996E-03   0.124289E-03   0.970287E-03   0.217734E+03   0.000000E+00   0.000000E+00   0.217734E+03  -0.435468E+03
