a0_min        a1_min        a2_min        a3_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.101374E+03  0.340467E+01  0.467709E+01  0.832196E+00  0.402552E-03  0.210333E-03  0.302244E-03  0.177148E-02  0.100006E-02  0.482811E-03  0.133220E-02  0.182298E-03  0.143281E+03
  0.101374E+03  0.340467E+01  0.100160E+02 -0.357940E+01  0.402552E-03  0.210333E-03  0.299326E-03  0.177148E-02  0.100006E-02  0.482811E-03  0.133220E-02  0.182298E-03  0.141845E+03
  0.101374E+03  0.340467E+01  0.100160E+02  0.149327E+02  0.402552E-03  0.210333E-03  0.422111E-03  0.275715E-02  0.100006E-02  0.482811E-03  0.133220E-02  0.182298E-03  0.140860E+03
  0.101374E+03  0.340467E+01  0.731374E+01  0.149327E+02  0.402552E-03  0.210333E-03  0.422111E-03  0.275715E-02  0.100006E-02  0.482811E-03  0.133220E-02  0.227528E-03  0.141215E+03
  0.101374E+03  0.734645E+00  0.482331E+01  0.137751E+02  0.402552E-03  0.210333E-03  0.422111E-03  0.275715E-02  0.100006E-02  0.482811E-03  0.233930E-03  0.227528E-03  0.141709E+03
  0.101374E+03  0.179417E+01  0.850334E+01  0.227657E+01  0.402552E-03  0.210333E-03  0.422111E-03  0.275715E-02  0.100006E-02  0.482811E-03  0.233930E-03  0.227528E-03  0.144031E+03
  0.101374E+03  0.179417E+01  0.109381E+00  0.227657E+01  0.402552E-03  0.210333E-03  0.422111E-03  0.279110E-02  0.288505E-02  0.482811E-03  0.233930E-03  0.227528E-03  0.141471E+03
  0.101374E+03  0.179417E+01 -0.281437E+01  0.227657E+01  0.402552E-03  0.107404E-04  0.422111E-03  0.279110E-02  0.114417E-02  0.394521E-03  0.233930E-03  0.227528E-03  0.143776E+03
  0.101374E+03  0.179417E+01 -0.281437E+01  0.208767E+01  0.402552E-03  0.107404E-04  0.801200E-04  0.279110E-02  0.114417E-02  0.394521E-03  0.233930E-03  0.227528E-03  0.144052E+03
  0.101374E+03  0.179417E+01  0.106690E+02  0.208767E+01  0.402552E-03  0.107404E-04  0.801200E-04  0.279110E-02  0.114417E-02  0.109296E-02  0.233930E-03  0.227528E-03  0.142923E+03
  0.101374E+03  0.179417E+01  0.106690E+02 -0.789310E+01  0.402552E-03  0.107404E-04  0.801200E-04  0.224148E-02  0.114417E-02  0.109296E-02  0.822145E-03  0.227528E-03  0.141014E+03
  0.101374E+03  0.179417E+01 -0.647346E+01  0.345979E+01  0.402552E-03  0.107404E-04  0.801200E-04  0.224148E-02  0.419800E-02  0.440572E-03  0.822145E-03  0.556872E-03  0.138535E+03
  0.101374E+03  0.237625E+01 -0.647346E+01  0.784708E-01  0.402552E-03  0.107404E-04  0.801200E-04  0.224148E-02  0.419800E-02  0.440572E-03  0.822145E-03  0.556872E-03  0.138836E+03
  0.101374E+03  0.272171E+01 -0.647346E+01  0.127658E+01  0.402552E-03  0.107404E-04  0.801200E-04  0.254401E-02  0.235180E-02  0.440572E-03  0.822145E-03  0.556872E-03  0.140010E+03
  0.101374E+03  0.272171E+01 -0.334773E+01  0.328188E+01  0.402552E-03  0.107404E-04  0.801200E-04  0.254401E-02  0.235180E-02  0.440572E-03  0.822145E-03  0.128091E-02  0.139085E+03
  0.101374E+03  0.272171E+01 -0.334773E+01  0.328188E+01  0.402552E-03  0.107404E-04  0.801200E-04  0.254401E-02  0.235180E-02  0.440572E-03  0.822145E-03  0.128091E-02  0.139085E+03
  0.100183E+03  0.272171E+01 -0.523695E+01 -0.129302E+01  0.402552E-03  0.107404E-04  0.801200E-04  0.254401E-02  0.235180E-02  0.440572E-03  0.822145E-03  0.128091E-02  0.138816E+03
  0.100183E+03 -0.541602E+00 -0.523695E+01 -0.626154E+01  0.402552E-03  0.107404E-04  0.475482E-03  0.576039E-03  0.142574E-02  0.440572E-03  0.916633E-03  0.128091E-02  0.142842E+03
  0.100183E+03 -0.541602E+00 -0.141264E+00  0.154280E+01  0.402552E-03  0.107404E-04  0.475482E-03  0.576039E-03  0.142574E-02  0.107946E-02  0.916633E-03  0.128091E-02  0.141610E+03
  0.100183E+03 -0.541602E+00 -0.141264E+00 -0.138929E+01  0.402552E-03  0.107404E-04  0.475482E-03  0.576039E-03  0.142574E-02  0.107946E-02  0.916633E-03  0.128091E-02  0.141633E+03
  0.100183E+03 -0.429322E+01 -0.141264E+00 -0.138929E+01  0.402552E-03  0.107404E-04  0.475482E-03  0.576039E-03  0.142574E-02  0.107946E-02  0.916633E-03  0.128091E-02  0.140524E+03
