a0_min_r_1     a0_flood_r_1   a1_flood_r_1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.115843E+03   0.340388E+02   0.251952E+01   0.106934E-03   0.107102E+02   0.109115E+02   0.113518E+02   0.145639E+02   0.497343E+02  -0.824252E+01   0.000000E+00   0.579768E+02  -0.115954E+03
   0.115843E+03   0.340388E+02   0.251952E+01   0.106934E-03   0.892529E+01   0.114965E+02   0.113518E+02   0.146356E+02   0.496121E+02  -0.836476E+01   0.000000E+00   0.579769E+02  -0.115954E+03
   0.115843E+03   0.340388E+02   0.199604E+01   0.106934E-03   0.111647E+02   0.114965E+02   0.115266E+02   0.152428E+02   0.494562E+02  -0.852681E+01   0.000000E+00   0.579830E+02  -0.115966E+03
   0.115843E+03   0.340388E+02   0.211113E+01   0.106934E-03   0.111647E+02   0.114965E+02   0.132975E+02   0.181870E+02   0.494153E+02  -0.862130E+01   0.000000E+00   0.580366E+02  -0.116073E+03
   0.115843E+03   0.340388E+02   0.167437E+01   0.106934E-03   0.111647E+02   0.100843E+02   0.143371E+02   0.181982E+02   0.494876E+02  -0.817098E+01   0.000000E+00   0.576586E+02  -0.115317E+03
   0.115843E+03   0.340388E+02   0.109926E+01   0.106934E-03   0.110406E+02   0.991946E+01   0.130831E+02   0.186091E+02   0.480810E+02  -0.836710E+01   0.000000E+00   0.564481E+02  -0.112896E+03
   0.115843E+03   0.340388E+02   0.175727E+01   0.106934E-03   0.106678E+02   0.984897E+01   0.134938E+02   0.186091E+02   0.495707E+02  -0.819463E+01   0.000000E+00   0.577653E+02  -0.115531E+03
   0.115843E+03   0.340388E+02   0.174688E+01   0.106934E-03   0.113470E+02   0.977373E+01   0.101201E+02   0.186091E+02   0.478438E+02  -0.990782E+01   0.000000E+00   0.577516E+02  -0.115503E+03
   0.115843E+03   0.340388E+02   0.191763E+01   0.106934E-03   0.128302E+02   0.120295E+02   0.105581E+02   0.193747E+02   0.467646E+02  -0.111612E+02   0.000000E+00   0.579258E+02  -0.115852E+03
   0.115843E+03   0.340388E+02   0.175552E+01   0.106934E-03   0.126448E+02   0.121054E+02   0.105581E+02   0.193747E+02   0.466654E+02  -0.110945E+02   0.000000E+00   0.577599E+02  -0.115520E+03
   0.115843E+03   0.340388E+02   0.175552E+01   0.106934E-03   0.125238E+02   0.108138E+02   0.105581E+02   0.181245E+02   0.476607E+02  -0.100991E+02   0.000000E+00   0.577598E+02  -0.115520E+03
   0.115843E+03   0.340388E+02   0.175552E+01   0.106934E-03   0.125238E+02   0.107331E+02   0.133541E+02   0.191323E+02   0.484730E+02  -0.928677E+01   0.000000E+00   0.577598E+02  -0.115520E+03
   0.115843E+03   0.340388E+02   0.986187E+00   0.106934E-03   0.125879E+02   0.942456E+01   0.127962E+02   0.174722E+02   0.473725E+02  -0.873640E+01   0.000000E+00   0.561089E+02  -0.112218E+03
   0.115843E+03   0.340388E+02   0.883559E+00   0.106934E-03   0.123883E+02   0.910733E+01   0.115660E+02   0.188124E+02   0.462533E+02  -0.951502E+01   0.000000E+00   0.557683E+02  -0.111537E+03
