a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        
   0.102578E+03   0.660727E+01   0.176879E+02   0.211749E+02   0.164918E+02   0.359387E-03   0.114139E-02   0.694685E-03   0.658464E-03   0.401939E-03   0.136355E-02   0.615982E-03   0.360297E-03   0.184706E+03
   0.102578E+03   0.814592E+01   0.176879E+02   0.188204E+02   0.284702E+02   0.359387E-03   0.114139E-02   0.694685E-03   0.658464E-03   0.401939E-03   0.136355E-02   0.615982E-03   0.153342E-02   0.182850E+03
   0.102578E+03   0.814592E+01   0.176879E+02   0.704659E+01   0.656216E+01   0.359387E-03   0.126834E-02   0.141191E-02   0.658464E-03   0.401939E-03   0.136355E-02   0.615982E-03   0.840112E-03   0.181975E+03
   0.102578E+03   0.126151E+02   0.221812E+02   0.165685E+02   0.135587E+02   0.359387E-03   0.126834E-02   0.141191E-02   0.658464E-03   0.401939E-03   0.146052E-02   0.615982E-03   0.840112E-03   0.181869E+03
   0.103209E+03   0.126151E+02   0.156323E+02   0.165685E+02   0.162037E+02   0.359387E-03   0.326859E-03   0.141191E-02   0.658464E-03   0.401939E-03   0.146052E-02   0.615982E-03   0.240876E-03   0.183356E+03
   0.103209E+03   0.706356E+01   0.156323E+02   0.188295E+02   0.162037E+02   0.106378E-02   0.326859E-03   0.141191E-02   0.658464E-03   0.401939E-03   0.119000E-02   0.615982E-03   0.564067E-03   0.184474E+03
   0.103209E+03   0.706356E+01   0.125172E+02   0.188295E+02   0.177096E+02   0.106378E-02   0.326859E-03   0.141191E-02   0.791078E-03   0.401939E-03   0.673726E-03   0.615982E-03   0.564067E-03   0.184949E+03
   0.103209E+03   0.104336E+02   0.101159E+02   0.128602E+02   0.293374E+02   0.106378E-02   0.572641E-03   0.141191E-02   0.791078E-03   0.401939E-03   0.673726E-03   0.615982E-03   0.998653E-05   0.181748E+03
   0.103287E+03   0.104336E+02   0.101159E+02   0.362157E+02   0.222194E+02   0.106378E-02   0.572641E-03   0.141191E-02   0.791078E-03   0.234094E-02   0.634227E-03   0.615982E-03   0.998653E-05   0.179971E+03
   0.103287E+03   0.144177E+02   0.928619E+01   0.391186E+02   0.171449E+02   0.106378E-02   0.296098E-03   0.141191E-02   0.791078E-03   0.234094E-02   0.634227E-03   0.333531E-03   0.998653E-05   0.180670E+03
   0.103287E+03   0.144177E+02   0.145378E+02   0.276615E+02   0.171449E+02   0.106378E-02   0.296098E-03   0.390494E-04   0.392020E-02   0.234094E-02   0.634227E-03   0.333531E-03   0.998653E-05   0.178089E+03
   0.103287E+03   0.144177E+02   0.940770E+01   0.246918E+02   0.195986E+02   0.106378E-02   0.296098E-03   0.390494E-04   0.392020E-02   0.234094E-02   0.165562E-02   0.333531E-03   0.998653E-05   0.176398E+03
   0.103287E+03   0.144177E+02   0.112771E+02   0.255699E+02   0.224111E+02   0.106378E-02   0.296098E-03   0.390494E-04   0.476465E-02   0.234094E-02   0.165562E-02   0.333531E-03   0.998653E-05   0.176820E+03
   0.103287E+03   0.144177E+02   0.171456E+02   0.255699E+02   0.385089E+02   0.106378E-02   0.296098E-03   0.390494E-04   0.476465E-02   0.234094E-02   0.230871E-02   0.333531E-03   0.998653E-05   0.173782E+03
   0.103287E+03   0.133345E+02   0.777131E+01   0.186221E+02   0.236748E+02   0.138835E-02   0.296098E-03   0.390494E-04   0.480837E-02   0.406893E-03   0.123417E-02   0.333531E-03   0.998653E-05   0.176799E+03
   0.103287E+03   0.133345E+02   0.916544E+01   0.194047E+02   0.315545E+02   0.138835E-02   0.296098E-03   0.390494E-04   0.360630E-02   0.348791E-02   0.123417E-02   0.333531E-03   0.998653E-05   0.176814E+03
   0.103287E+03   0.133345E+02   0.916544E+01   0.253444E+02   0.288685E+02   0.138835E-02   0.296098E-03   0.390494E-04   0.360630E-02   0.348510E-02   0.123417E-02   0.333531E-03   0.998653E-05   0.177558E+03
