a0_min         a0_flood       a1_flood       a2_flood       a3_flood       a4_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.272203E+03   0.121667E+02   0.756497E+00   0.179319E+01   0.986831E-02  -0.210738E+01   0.424608E-02   0.118435E+02   0.110632E+02   0.808963E+01   0.936439E+01   0.709403E+02
   0.272203E+03   0.121667E+02   0.900797E+00   0.182383E+01   0.166465E-01  -0.176916E+01   0.424608E-02   0.126892E+02   0.981195E+01   0.874457E+01   0.882753E+01   0.708588E+02
   0.267093E+03   0.127329E+02   0.846415E+00   0.151697E+01   0.158028E+00  -0.166408E+01   0.295100E-02   0.133097E+02   0.111432E+02   0.864100E+01   0.855735E+01   0.703997E+02
   0.256701E+03   0.159174E+02   0.817332E+00   0.136946E+01  -0.170286E+00  -0.178030E+01   0.361656E-02   0.133097E+02   0.116448E+02   0.894218E+01   0.889556E+01   0.701783E+02
   0.263472E+03   0.118258E+02   0.112162E+01   0.136076E+01  -0.442049E+00  -0.173968E+01   0.361656E-02   0.140577E+02   0.108513E+02   0.100234E+02   0.978473E+01   0.704126E+02
   0.258272E+03   0.101356E+02   0.139499E+01   0.177490E+01  -0.408388E+00  -0.189772E+01   0.361656E-02   0.144135E+02   0.107256E+02   0.104120E+02   0.978473E+01   0.704462E+02
   0.227883E+03   0.101356E+02   0.110866E+01   0.167868E+01  -0.185582E+00  -0.199406E+01   0.657233E-02   0.142642E+02   0.794348E+01   0.100216E+02   0.978473E+01   0.701904E+02
   0.250009E+03   0.797757E+01   0.112230E+01   0.186457E+01  -0.406620E+00  -0.191035E+01   0.207575E-02   0.123318E+02   0.849969E+01   0.960814E+01   0.114948E+02   0.721188E+02
   0.250009E+03   0.637697E+01   0.121647E+01   0.161968E+01  -0.445725E+00  -0.182620E+01   0.207575E-02   0.135531E+02   0.106129E+02   0.106662E+02   0.108347E+02   0.717788E+02
   0.260140E+03   0.637697E+01   0.120727E+01   0.147033E+01  -0.358580E+00  -0.188292E+01   0.266399E-02   0.129796E+02   0.952258E+01   0.103190E+02   0.119086E+02   0.717043E+02
   0.268389E+03   0.303775E+01   0.117873E+01   0.136091E+01  -0.592730E+00  -0.174366E+01   0.457150E-03   0.126710E+02   0.103274E+02   0.111333E+02   0.127670E+02   0.718068E+02
   0.269664E+03   0.454298E+01   0.110386E+01   0.152898E+01  -0.605020E-01  -0.192843E+01   0.457150E-03   0.120591E+02   0.104738E+02   0.984713E+01   0.119964E+02   0.724917E+02
   0.254002E+03   0.292255E+01   0.137761E+01   0.166263E+01  -0.558904E-01  -0.215657E+01   0.271254E-02   0.118157E+02   0.106031E+02   0.932825E+01   0.107398E+02   0.731728E+02
   0.264097E+03   0.278009E+01   0.120107E+01   0.160567E+01  -0.287970E+00  -0.217359E+01   0.219776E-02   0.114289E+02   0.125855E+02   0.914762E+01   0.117647E+02   0.722262E+02
   0.262219E+03   0.278009E+01   0.166616E+01   0.149960E+01  -0.269095E+00  -0.187961E+01   0.219776E-02   0.106073E+02   0.125855E+02   0.974922E+01   0.130849E+02   0.718390E+02
