a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.969050E+02   0.447564E+01   0.492055E-03   0.971372E+01   0.116949E+02   0.138443E+02   0.210346E+02   0.171942E+03  -0.947111E+01   0.000000E+00   0.181413E+03  -0.362826E+03
   0.969050E+02   0.447564E+01   0.492055E-03   0.971372E+01   0.116949E+02   0.138443E+02   0.210346E+02   0.171942E+03  -0.947111E+01   0.000000E+00   0.181413E+03  -0.362826E+03
   0.969050E+02   0.447564E+01   0.492055E-03   0.666246E+01   0.116949E+02   0.978405E+01   0.132476E+02   0.170112E+03  -0.113013E+02   0.000000E+00   0.181413E+03  -0.362827E+03
   0.969050E+02   0.447564E+01   0.492055E-03   0.107966E+02   0.117307E+02   0.100356E+02   0.196504E+02   0.170727E+03  -0.106863E+02   0.000000E+00   0.181413E+03  -0.362827E+03
   0.969050E+02  -0.144279E+01   0.492055E-03   0.750526E+01   0.107252E+02   0.140321E+02   0.204458E+02   0.172409E+03  -0.963083E+01   0.000000E+00   0.182040E+03  -0.364080E+03
   0.969050E+02   0.517895E+01   0.419960E-03   0.144146E+02   0.117745E+02   0.140321E+02   0.174343E+02   0.169517E+03  -0.102151E+02   0.000000E+00   0.179732E+03  -0.359464E+03
   0.969050E+02   0.380936E+01   0.724679E-03   0.102392E+02   0.117745E+02   0.140321E+02   0.124761E+02   0.174042E+03  -0.801575E+01   0.000000E+00   0.182058E+03  -0.364116E+03
   0.969050E+02   0.523819E+01   0.724679E-03   0.102392E+02   0.112152E+02   0.140321E+02   0.121732E+02   0.173434E+03  -0.789413E+01   0.000000E+00   0.181328E+03  -0.362656E+03
   0.969050E+02  -0.261752E-01   0.724679E-03   0.102392E+02   0.112152E+02   0.140321E+02   0.162542E+02   0.174680E+03  -0.771881E+01   0.000000E+00   0.182399E+03  -0.364798E+03
   0.969050E+02  -0.261752E-01   0.724679E-03   0.108707E+02   0.112152E+02   0.158201E+02   0.162542E+02   0.174441E+03  -0.795853E+01   0.000000E+00   0.182400E+03  -0.364799E+03
   0.969050E+02  -0.261752E-01   0.665418E-03   0.874802E+01   0.110326E+02   0.158201E+02   0.169354E+02   0.174773E+03  -0.796223E+01   0.000000E+00   0.182735E+03  -0.365470E+03
   0.969050E+02  -0.261752E-01   0.665418E-03   0.874802E+01   0.116751E+02   0.135074E+02   0.159820E+02   0.174785E+03  -0.795004E+01   0.000000E+00   0.182735E+03  -0.365470E+03
   0.969050E+02   0.469512E+01   0.665418E-03   0.874802E+01   0.136753E+02   0.135074E+02   0.159820E+02   0.172819E+03  -0.903301E+01   0.000000E+00   0.181852E+03  -0.363704E+03
   0.969050E+02   0.469512E+01   0.665418E-03   0.874802E+01   0.103916E+02   0.171911E+02   0.138867E+02   0.174080E+03  -0.777194E+01   0.000000E+00   0.181852E+03  -0.363704E+03
