IDTRANS;DIST;pk;ALTI_MOY
2493;12507,5;49440;191,1862
2494;12512,5;49435;191,1866
2495;12517,5;49430;191,1948
2496;12522,5;49425;191,1920
2498;12532,5;49415;191,1733
2499;12537,5;49410;191,1669
2500;12542,5;49405;191,1696
2501;12547,5;49400;191,1723
2503;12557,5;49390;191,1880
2504;12562,5;49385;191,1576
2505;12567,5;49380;191,1525
2506;12572,5;49375;191,1482
2508;12582,5;49365;191,1682
2509;12587,5;49360;191,1635
2510;12592,5;49355;191,1714
2511;12597,5;49350;191,1544
2513;12607,5;49340;191,1376
2514;12612,5;49335;191,1318
2515;12617,5;49330;191,1383
2516;12622,5;49325;191,1213
2517;12627,5;49320;191,1242
2519;12637,5;49310;191,1367
2520;12642,5;49305;191,1466
2521;12647,5;49300;191,1627
2522;12652,5;49295;191,1424
2524;12662,5;49285;191,1203
2525;12667,5;49280;191,1017
2527;12677,5;49270;191,1262
2528;12682,5;49265;191,1048
2529;12687,5;49260;191,0808
2531;12697,5;49250;191,0721
2532;12702,5;49245;191,0942
2533;12707,5;49240;191,1169
2535;12717,5;49230;191,1191
2536;12722,5;49225;191,1061
2537;12727,5;49220;191,0994
2538;12732,5;49215;191,0767
2540;12742,5;49205;191,0628
2541;12747,5;49200;191,0590
2543;12757,5;49190;191,0518
2544;12762,5;49185;191,0634
2545;12767,5;49180;191,0325
2547;12777,5;49170;191,0225
2548;12782,5;49165;191,0507
2550;12792,5;49155;191,0557
2551;12797,5;49150;191,0453
2552;12802,5;49145;191,0346
2554;12812,5;49135;191,0355
2555;12817,5;49130;191,0205
2557;12827,5;49120;191,0132
2558;12832,5;49115;191,0079
2560;12842,5;49105;191,0247
2561;12847,5;49100;191,0130
2562;12852,5;49095;191,0160
2564;12862,5;49085;191,0258
2565;12867,5;49080;191,0315
2566;12872,5;49075;191,0280
2568;12882,5;49065;191,0114
2569;12887,5;49060;191,0151
2571;12897,5;49050;191,0222
2572;12902,5;49045;191,0137
2573;12907,5;49040;191,0221
2575;12917,5;49030;191,0126
2576;12922,5;49025;191,0116
2578;12932,5;49015;191,0115
2579;12937,5;49010;191,0238
2580;12942,5;49005;191,0175
2582;12952,5;48995;191,0163
2583;12957,5;48990;191,0045
2584;12962,5;48985;191,0093
2586;12972,5;48975;190,9931
2587;12977,5;48970;191,0016
2589;12987,5;48960;190,9972
2590;12992,5;48955;190,9983
2591;12997,5;48950;190,9913
2592;13002,5;48945;190,9846
2594;13012,5;48935;190,9887
2595;13017,5;48930;190,9710
2596;13022,5;48925;190,9917
2597;13027,5;48920;190,9814
2599;13037,5;48910;190,9772
2600;13042,5;48905;190,9711
2601;13047,5;48900;190,9584
2603;13057,5;48890;190,9594
2604;13062,5;48885;190,9600
2605;13067,5;48880;190,9522
2606;13072,5;48875;190,9511
2608;13082,5;48865;190,9492
2609;13087,5;48860;190,9517
2610;13092,5;48855;190,9370
2611;13097,5;48850;190,9512
2613;13107,5;48840;190,9356
2614;13112,5;48835;190,9426
2615;13117,5;48830;190,9423
2616;13122,5;48825;190,9227
2618;13132,5;48815;190,9217
2619;13137,5;48810;190,9177
2620;13142,5;48805;190,9188
2621;13147,5;48800;190,8863
2622;13152,5;48795;190,8812
2624;13162,5;48785;190,9025
2625;13167,5;48780;190,9023
2626;13172,5;48775;190,8933
2627;13177,5;48770;190,8961
2629;13187,5;48760;190,8869
2630;13192,5;48755;190,8794
2631;13197,5;48750;190,8821
2632;13202,5;48745;190,8843
2633;13207,5;48740;190,8761
2635;13217,5;48730;190,8757
2636;13222,5;48725;190,8858
2637;13227,5;48720;190,8780
2638;13232,5;48715;190,8878
2640;13242,5;48705;190,8765
2641;13247,5;48700;190,8643
2642;13252,5;48695;190,8724
2644;13262,5;48685;190,8669
2645;13267,5;48680;190,8652
2646;13272,5;48675;190,8657
2648;13282,5;48665;190,8647
2649;13287,5;48660;190,8636
2650;13292,5;48655;190,8651
2651;13297,5;48650;190,8585
2653;13307,5;48640;190,8528
2654;13312,5;48635;190,8457
2655;13317,5;48630;190,8378
2656;13322,5;48625;190,8347
2658;13332,5;48615;190,8304
2659;13337,5;48610;190,8419
2660;13342,5;48605;190,8313
2661;13347,5;48600;190,8352
2663;13357,5;48590;190,8393
2664;13362,5;48585;190,8312
2665;13367,5;48580;190,8344
2666;13372,5;48575;190,8110
2667;13377,5;48570;190,8111
2668;13382,5;48565;190,8194
2669;13387,5;48560;190,7924
2671;13397,5;48550;190,7921
2672;13402,5;48545;190,8014
2673;13407,5;48540;190,8065
2674;13412,5;48535;190,7995
2675;13417,5;48530;190,8090
2676;13422,5;48525;190,8103
2678;13432,5;48515;190,7964
2679;13437,5;48510;190,7807
2680;13442,5;48505;190,7869
2681;13447,5;48500;190,7920
2683;13457,5;48490;190,7926
2684;13462,5;48485;190,7929
2685;13467,5;48480;190,7919
2687;13477,5;48470;190,7847
2688;13482,5;48465;190,7823
2689;13487,5;48460;190,7824
2691;13497,5;48450;190,7866
2692;13502,5;48445;190,7794
2693;13507,5;48440;190,7802
2694;13512,5;48435;190,7620
2696;13522,5;48425;190,7612
2697;13527,5;48420;190,7663
2698;13532,5;48415;190,7772
2700;13542,5;48405;190,7730
2701;13547,5;48400;190,7768
2702;13552,5;48395;190,7711
2704;13562,5;48385;190,7670
2705;13567,5;48380;190,7726
2706;13572,5;48375;190,7634
2707;13577,5;48370;190,7464
2709;13587,5;48360;190,7762
2710;13592,5;48355;190,7665
2711;13597,5;48350;190,7674
2712;13602,5;48345;190,7681
2714;13612,5;48335;190,7725
2715;13617,5;48330;190,7660
2716;13622,5;48325;190,7562
2717;13627,5;48320;190,7547
2719;13637,5;48310;190,7517
2720;13642,5;48305;190,7498
2721;13647,5;48300;190,7534
2723;13657,5;48290;190,7332
2724;13662,5;48285;190,7463
2725;13667,5;48280;190,7533
