Km_a0         Km_a1         Km_a2         Km_a3         Km_a4         Km_a5         Km_a6         Km_a7         Km_a8         Km_a9         Km_a10        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.300835E+02  0.326405E+01 -0.301332E+01  0.882173E+01  0.131790E+02  0.835002E+01 -0.345996E+01  0.422519E+01 -0.222743E+01 -0.246740E+02  0.288529E+01  0.696884E-02  0.179899E-01  0.308668E-02  0.143031E-01  0.213180E-01  0.281951E+03
  0.300835E+02  0.326405E+01 -0.301332E+01  0.882173E+01  0.132607E+02  0.835002E+01 -0.345996E+01  0.283345E+01 -0.222743E+01 -0.301550E+02  0.288529E+01  0.881891E-02  0.183952E-01  0.227187E-02  0.138208E-01  0.228340E-01  0.279123E+03
  0.300835E+02  0.326405E+01 -0.301332E+01  0.882173E+01  0.132607E+02  0.586881E+01 -0.345996E+01  0.283345E+01 -0.150347E+01 -0.305902E+02 -0.882579E+00  0.860277E-02  0.192105E-01  0.458563E-02  0.135592E-01  0.240511E-01  0.284934E+03
  0.300835E+02  0.418558E+01 -0.301332E+01  0.882173E+01  0.132607E+02  0.586881E+01 -0.297975E+01  0.158314E+01 -0.240993E+01 -0.305902E+02 -0.146600E+01  0.820390E-02  0.193806E-01  0.369353E-02  0.141855E-01  0.227826E-01  0.286754E+03
  0.300835E+02  0.418558E+01 -0.301332E+01  0.882173E+01  0.132607E+02  0.554439E+01 -0.297975E+01  0.209601E+01 -0.240993E+01 -0.292322E+02 -0.146600E+01  0.865262E-02  0.190157E-01  0.357790E-02  0.119361E-01  0.227826E-01  0.286854E+03
  0.300835E+02  0.418558E+01 -0.301332E+01  0.882173E+01  0.132607E+02  0.554439E+01 -0.297975E+01  0.209601E+01 -0.240993E+01 -0.292322E+02 -0.146600E+01  0.798667E-02  0.167685E-01  0.272106E-02  0.108347E-01  0.239083E-01  0.287409E+03
  0.297196E+02  0.418558E+01 -0.301332E+01  0.826038E+01  0.156108E+02  0.554439E+01 -0.166047E+01  0.209601E+01 -0.240993E+01 -0.289625E+02 -0.146600E+01  0.891537E-02  0.172849E-01  0.199118E-02  0.103617E-01  0.241436E-01  0.289478E+03
  0.297196E+02  0.418558E+01 -0.301332E+01  0.826038E+01  0.156108E+02  0.554439E+01 -0.166047E+01  0.209601E+01 -0.395926E+01 -0.289625E+02 -0.946789E+00  0.810049E-02  0.182591E-01  0.585450E-03  0.111097E-01  0.233501E-01  0.288736E+03
  0.297196E+02  0.418558E+01 -0.301332E+01  0.593233E+01  0.156108E+02  0.554439E+01 -0.895446E+00 -0.149582E+01 -0.395926E+01 -0.261678E+02 -0.127400E+01  0.743179E-02  0.196892E-01  0.292340E-03  0.121225E-01  0.238829E-01  0.288999E+03
  0.297196E+02  0.418558E+01 -0.301332E+01  0.497481E+01  0.144339E+02  0.441714E+01 -0.895446E+00 -0.149582E+01 -0.204579E+01 -0.261678E+02 -0.101763E+01  0.714922E-02  0.192181E-01  0.292340E-03  0.106236E-01  0.219506E-01  0.287812E+03
