a0_min        a1_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.995898E+02  0.178292E+01  0.286051E-03  0.851116E+01  0.885670E+01  0.179974E+02  0.126966E+02  0.395150E+02
  0.995898E+02  0.402598E+01  0.602856E-04  0.851116E+01  0.885670E+01  0.186579E+02  0.128053E+02  0.396102E+02
  0.995898E+02  0.453821E+01  0.602856E-04  0.903665E+01  0.990151E+01  0.174303E+02  0.157294E+02  0.402405E+02
  0.995898E+02  0.855079E+01  0.602856E-04  0.999094E+01  0.993951E+01  0.169442E+02  0.159271E+02  0.396616E+02
  0.995898E+02 -0.170690E+01  0.602856E-04  0.958478E+01  0.938165E+01  0.153153E+02  0.162710E+02  0.402521E+02
  0.995898E+02 -0.130460E+01  0.602856E-04  0.878890E+01  0.105018E+02  0.153153E+02  0.134023E+02  0.402571E+02
  0.995898E+02 -0.130460E+01  0.205094E-03  0.853002E+01  0.105018E+02  0.141631E+02  0.176113E+02  0.396437E+02
  0.995898E+02  0.558350E+01  0.916196E-05  0.936233E+01  0.103782E+02  0.109157E+02  0.174148E+02  0.392523E+02
  0.995898E+02  0.392098E+01  0.916196E-05  0.936233E+01  0.111796E+02  0.115272E+02  0.143162E+02  0.399864E+02
  0.995898E+02  0.138522E+01  0.386961E-03  0.980724E+01  0.108207E+02  0.115272E+02  0.134964E+02  0.394707E+02
  0.995898E+02  0.210513E+01  0.386961E-03  0.937429E+01  0.106169E+02  0.105782E+02  0.133638E+02  0.389559E+02
  0.995898E+02  0.210513E+01  0.386961E-03  0.102328E+02  0.101482E+02  0.118303E+02  0.114630E+02  0.391258E+02
  0.100740E+03  0.210513E+01  0.386961E-03  0.769906E+01  0.114020E+02  0.130656E+02  0.109792E+02  0.375872E+02
  0.100740E+03 -0.517763E+01  0.386961E-03  0.735200E+01  0.114020E+02  0.106785E+02  0.149339E+02  0.364970E+02
  0.100740E+03  0.314098E+00  0.386961E-03  0.735200E+01  0.114020E+02  0.106528E+02  0.116029E+02  0.366129E+02
  0.100740E+03 -0.381033E+01  0.386961E-03  0.724257E+01  0.114020E+02  0.106528E+02  0.130200E+02  0.365403E+02
  0.100740E+03  0.676185E+01  0.386961E-03  0.695618E+01  0.110064E+02  0.101863E+02  0.122481E+02  0.357960E+02
  0.100740E+03  0.676185E+01  0.386961E-03  0.695618E+01  0.938176E+01  0.102697E+02  0.122481E+02  0.360896E+02
  0.100740E+03  0.250941E+01  0.386961E-03  0.714566E+01  0.930312E+01  0.108993E+02  0.122481E+02  0.371842E+02
  0.100740E+03  0.567411E+01  0.386961E-03  0.570272E+01  0.864987E+01  0.120938E+02  0.139237E+02  0.353921E+02
  0.999411E+02  0.567411E+01  0.386961E-03  0.570272E+01  0.898625E+01  0.129113E+02  0.131165E+02  0.362912E+02
  0.999411E+02  0.567411E+01  0.386961E-03  0.540425E+01  0.103314E+02  0.129113E+02  0.131165E+02  0.355441E+02
  0.999411E+02  0.283641E+01  0.386961E-03  0.517893E+01  0.927530E+01  0.135656E+02  0.125278E+02  0.351313E+02
  0.999411E+02  0.445465E+01  0.386961E-03  0.517893E+01  0.103156E+02  0.130029E+02  0.125278E+02  0.349153E+02
  0.990159E+02  0.440870E+01  0.386961E-03  0.517893E+01  0.103156E+02  0.130029E+02  0.125278E+02  0.351845E+02
  0.990159E+02  0.440870E+01  0.386961E-03  0.564466E+01  0.100284E+02  0.121880E+02  0.125866E+02  0.362597E+02
  0.990159E+02  0.866718E+01  0.386961E-03  0.564466E+01  0.967021E+01  0.122853E+02  0.118197E+02  0.354497E+02
  0.990159E+02  0.866718E+01  0.386961E-03  0.564466E+01  0.875910E+01  0.113076E+02  0.136777E+02  0.353836E+02
  0.990159E+02  0.866718E+01  0.386961E-03  0.742931E+01  0.872047E+01  0.113076E+02  0.127979E+02  0.379405E+02
