a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.986217E+02  0.606338E+00 -0.217327E+01  0.123699E-02  0.324293E-03  0.122893E-02  0.117994E-02  0.373580E-03  0.732060E-03  0.453685E-03  0.114371E-02  0.181450E+03
  0.986217E+02  0.606338E+00 -0.338379E+01  0.123699E-02  0.130996E-02  0.122893E-02  0.117994E-02  0.373580E-03  0.732060E-03  0.453685E-03  0.114371E-02  0.180098E+03
  0.986217E+02  0.606338E+00 -0.338379E+01  0.123699E-02  0.429886E-03  0.122893E-02  0.117994E-02  0.128738E-02  0.777290E-03  0.453685E-03  0.114371E-02  0.180567E+03
  0.986217E+02  0.606338E+00 -0.338379E+01  0.123699E-02  0.116834E-02  0.122893E-02  0.117994E-02  0.128738E-02  0.777290E-03  0.453685E-03  0.114371E-02  0.179382E+03
  0.996813E+02  0.428637E+01 -0.338379E+01  0.123699E-02  0.116834E-02  0.122893E-02  0.117994E-02  0.128738E-02  0.777290E-03  0.453685E-03  0.114371E-02  0.180163E+03
  0.996813E+02 -0.306464E+01 -0.338379E+01  0.123699E-02  0.116834E-02  0.485194E-03  0.117994E-02  0.128738E-02  0.777290E-03  0.453685E-03  0.114371E-02  0.179580E+03
  0.996813E+02 -0.306464E+01 -0.488236E+01  0.123699E-02  0.116834E-02  0.485194E-03  0.980348E-03  0.128738E-02  0.777290E-03  0.453685E-03  0.114371E-02  0.179665E+03
  0.995047E+02 -0.306464E+01 -0.365756E+01  0.123699E-02  0.116834E-02  0.485194E-03  0.835540E-03  0.128738E-02  0.435299E-03  0.453685E-03  0.114371E-02  0.179781E+03
  0.995047E+02  0.139863E+01 -0.365756E+01  0.278920E-02  0.116834E-02  0.485194E-03  0.835540E-03  0.128738E-02  0.435299E-03  0.453685E-03  0.114371E-02  0.179162E+03
  0.995047E+02  0.139863E+01 -0.365756E+01  0.278920E-02  0.116834E-02  0.485194E-03  0.835540E-03  0.128738E-02  0.435299E-03  0.453685E-03  0.594092E-03  0.180441E+03
  0.995047E+02  0.139863E+01 -0.365756E+01  0.278920E-02  0.290454E-03  0.485194E-03  0.835540E-03  0.128738E-02  0.435299E-03  0.453685E-03  0.227560E-03  0.182427E+03
  0.995047E+02  0.750628E+01 -0.496233E+01  0.278920E-02  0.619798E-03  0.485194E-03  0.835540E-03  0.128738E-02  0.435299E-03  0.453685E-03  0.227560E-03  0.179129E+03
  0.995047E+02  0.750628E+01 -0.496233E+01  0.278920E-02  0.619798E-03  0.485194E-03  0.100827E-02  0.128738E-02  0.435299E-03  0.453685E-03  0.227560E-03  0.178868E+03
  0.995047E+02  0.750628E+01 -0.496233E+01  0.278920E-02  0.619798E-03  0.485194E-03  0.100827E-02  0.151596E-02  0.435299E-03  0.453685E-03  0.227560E-03  0.178413E+03
  0.995047E+02  0.750628E+01  0.392780E+01  0.278920E-02  0.619798E-03  0.120923E-02  0.100827E-02  0.151596E-02  0.435299E-03  0.453685E-03  0.227560E-03  0.177069E+03
  0.995047E+02  0.750628E+01  0.196848E+01  0.278920E-02  0.576842E-04  0.120923E-02  0.100827E-02  0.920719E-03  0.435299E-03  0.453685E-03  0.227560E-03  0.177749E+03
  0.995047E+02  0.750628E+01  0.196848E+01  0.614971E-02  0.576842E-04  0.120923E-02  0.100827E-02  0.920719E-03  0.232429E-02  0.453685E-03  0.227560E-03  0.173016E+03
  0.995047E+02  0.750628E+01 -0.641851E+01  0.614971E-02  0.453046E-03  0.120923E-02  0.100827E-02  0.920719E-03  0.172247E-02  0.538725E-03  0.227560E-03  0.175447E+03
  0.995047E+02  0.750628E+01 -0.132282E+01  0.614971E-02  0.453046E-03  0.120923E-02  0.100827E-02  0.920719E-03  0.172247E-02  0.111372E-02  0.227560E-03  0.174297E+03
  0.995047E+02  0.750628E+01 -0.132282E+01  0.614971E-02  0.453046E-03  0.120923E-02  0.100827E-02  0.920719E-03  0.804689E-03  0.111372E-02  0.227560E-03  0.175422E+03
  0.995047E+02  0.750628E+01 -0.132282E+01  0.844670E-03  0.453046E-03  0.120923E-02  0.100827E-02  0.920719E-03  0.804689E-03  0.111372E-02  0.227560E-03  0.181204E+03
  0.995047E+02  0.750628E+01 -0.132282E+01  0.844670E-03  0.453046E-03  0.120923E-02  0.100827E-02  0.920719E-03  0.804689E-03  0.111372E-02  0.227560E-03  0.181204E+03
  0.995047E+02  0.490273E+01 -0.491917E+01  0.844670E-03  0.453046E-03  0.120923E-02  0.100827E-02  0.920719E-03  0.754307E-03  0.111372E-02  0.227560E-03  0.183226E+03
  0.995047E+02  0.490273E+01 -0.441371E+01  0.844670E-03  0.512399E-02  0.120923E-02  0.100827E-02  0.920719E-03  0.754307E-03  0.111372E-02  0.227560E-03  0.177004E+03
  0.995047E+02  0.107401E+02 -0.441371E+01  0.844670E-03  0.512399E-02  0.120923E-02  0.100827E-02  0.920719E-03  0.754307E-03  0.111372E-02  0.227560E-03  0.172002E+03
  0.995047E+02  0.985265E+01 -0.441371E+01  0.844670E-03  0.174893E-02  0.120923E-02  0.100827E-02  0.920719E-03  0.754307E-03  0.895024E-03  0.227560E-03  0.177146E+03
  0.995047E+02  0.985265E+01 -0.131766E+02  0.844670E-03  0.174893E-02  0.120923E-02  0.100827E-02  0.920719E-03  0.754307E-03  0.895024E-03  0.227560E-03  0.174928E+03
  0.995047E+02  0.985265E+01 -0.131766E+02  0.844670E-03  0.266839E-02  0.120923E-02  0.100827E-02  0.920719E-03  0.754307E-03  0.895024E-03  0.227560E-03  0.173650E+03
  0.995047E+02  0.882464E+01 -0.132288E+02  0.844670E-03  0.266839E-02  0.436944E-03  0.100827E-02  0.103429E-02  0.754307E-03  0.422790E-02  0.227560E-03  0.171714E+03
  0.995047E+02  0.882464E+01 -0.132288E+02  0.844670E-03  0.266839E-02  0.436944E-03  0.100827E-02  0.103429E-02  0.200346E-02  0.422790E-02  0.379957E-03  0.171415E+03
  0.995047E+02  0.935907E+01 -0.579325E+01  0.844670E-03  0.258452E-02  0.436944E-03  0.100827E-02  0.103429E-02  0.200346E-02  0.422790E-02  0.379957E-03  0.172496E+03
  0.995047E+02  0.935907E+01  0.266750E+01  0.844670E-03  0.103279E-02  0.436944E-03  0.100827E-02  0.103429E-02  0.200346E-02  0.422790E-02  0.379957E-03  0.174175E+03
  0.995047E+02  0.935907E+01  0.586816E+01  0.844670E-03  0.103279E-02  0.436944E-03  0.100827E-02  0.103429E-02  0.200346E-02  0.422790E-02  0.379957E-03  0.173191E+03
  0.995047E+02  0.791574E+01  0.586816E+01  0.844670E-03  0.281374E-03  0.436944E-03  0.100827E-02  0.103429E-02  0.200346E-02  0.422790E-02  0.379957E-03  0.174350E+03
  0.995047E+02  0.791574E+01 -0.290367E+00  0.597758E-03  0.281374E-03  0.436944E-03  0.100827E-02  0.103429E-02  0.200346E-02  0.422790E-02  0.379957E-03  0.176063E+03
  0.995047E+02  0.791574E+01 -0.290367E+00  0.597758E-03  0.281374E-03  0.436944E-03  0.100827E-02  0.103429E-02  0.379512E-03  0.422790E-02  0.379957E-03  0.176602E+03
  0.995047E+02  0.791574E+01 -0.290367E+00  0.597758E-03  0.281374E-03  0.436944E-03  0.100827E-02  0.103429E-02  0.379512E-03  0.374700E-04  0.379957E-03  0.181005E+03
  0.995047E+02  0.655607E+01 -0.290367E+00  0.597758E-03  0.281374E-03  0.436944E-03  0.100827E-02  0.103429E-02  0.379512E-03  0.374700E-04  0.379957E-03  0.183187E+03
  0.995047E+02 -0.131645E+01 -0.290367E+00  0.597758E-03  0.100870E-02  0.166566E-02  0.100827E-02  0.129213E-02  0.379512E-03  0.374700E-04  0.379957E-03  0.182099E+03
  0.995047E+02 -0.131645E+01 -0.290367E+00  0.597758E-03  0.109041E-02  0.166566E-02  0.100827E-02  0.129213E-02  0.379512E-03  0.374700E-04  0.379957E-03  0.181913E+03
  0.995047E+02 -0.131645E+01 -0.290367E+00  0.597758E-03  0.109041E-02  0.166566E-02  0.100827E-02  0.129213E-02  0.379512E-03  0.374700E-04  0.379957E-03  0.181913E+03
