"X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15"
1 -0.683494728033228 0.200747564873825 0.226979981594206 -0.422055010035627 0 0 0 0 0 0 0 0 0
1 -0.697293865148255 0.229328101560089 0.198347446225593 -0.414032376656693 0 0 0 0 0 0 0 0 0
1 -0.711093002263282 0.258479886801711 0.167723270291351 -0.402576891787846 0 0 0 0 0 0 0 0 0
1 -0.724892139378307 0.288202920598689 0.135068040105771 -0.387494271418355 0 0 0 0 0 0 0 0 0
1 -0.738691276493334 0.318497202951027 0.100342341983138 -0.368586424413517 0 0 0 0 0 0 0 0 0
1 -0.752490413608361 0.349362733858723 0.0635067622377438 -0.345651452514656 0 0 0 0 0 0 0 0 0
1 -0.766289550723387 0.380799513321775 0.0245218871838792 -0.318483650339124 0 0 0 0 0 0 0 0 0
1 -0.780088687838413 0.412807541340186 -0.0166516968641705 -0.286873505380296 0 0 0 0 0 0 0 0 0
1 -0.79388782495344 0.445386817913956 -0.0600534035921136 -0.250607698007577 0 0 0 0 0 0 0 0 0
1 -0.807686962068467 0.478537343043083 -0.105722646685661 -0.209469101466398 0 0 0 0 0 0 0 0 0
1 -0.821486099183493 0.512259116727568 -0.153698839830524 -0.163236781878216 0 0 0 0 0 0 0 0 0
1 -0.835285236298519 0.54655213896741 -0.20402139671241 -0.111685998240518 0 0 0 0 0 0 0 0 0
1 -0.849046335079684 0.581319518668364 -0.256581121339645 -0.054753432734166 0 0 0 0 0 0 0 0 0
1 -0.862769395526985 0.616556544786999 -0.311397265405485 0.0077446446843828 0 0 0 0 0 0 0 0 0
1 -0.876492455974286 0.652358538069754 -0.368650591364731 0.0761901553355655 0 0 0 0 0 0 0 0 0
1 -0.890215516421588 0.688725498516633 -0.428379864610109 0.150819080309896 0 0 0 0 0 0 0 0 0
1 -0.90393857686889 0.72565742612763 -0.490623850534326 0.23187112455666 0 0 0 0 0 0 0 0 0
1 -0.917661637316191 0.763154320902748 -0.555421314530108 0.319589716883956 0 0 0 0 0 0 0 0 0
