a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   LogPost        
   0.983847E+02   0.983353E-03   0.209786E-03   0.231899E-02   0.359860E-02   0.126570E-03   0.309371E-03   0.314398E-02   0.250776E-03   0.428211E-03   0.196372E+03
   0.983847E+02   0.983353E-03   0.112904E-02   0.231899E-02   0.253242E-02   0.126570E-03   0.309371E-03   0.807105E-03   0.250776E-03   0.428211E-03   0.200453E+03
   0.998094E+02   0.983353E-03   0.112904E-02   0.344382E-02   0.217991E-02   0.886575E-03   0.309371E-03   0.807105E-03   0.250776E-03   0.428211E-03   0.201709E+03
   0.998094E+02   0.983353E-03   0.112904E-02   0.344382E-02   0.886641E-03   0.886575E-03   0.309371E-03   0.807105E-03   0.250776E-03   0.428211E-03   0.203726E+03
   0.100867E+03   0.983353E-03   0.112904E-02   0.344382E-02   0.886641E-03   0.886575E-03   0.309371E-03   0.807105E-03   0.250776E-03   0.428211E-03   0.203335E+03
   0.100867E+03   0.983353E-03   0.112904E-02   0.265177E-02   0.886641E-03   0.886575E-03   0.309371E-03   0.838976E-03   0.250776E-03   0.428211E-03   0.204215E+03
   0.100867E+03   0.983353E-03   0.112904E-02   0.265177E-02   0.886641E-03   0.886575E-03   0.309371E-03   0.838976E-03   0.250776E-03   0.757977E-03   0.203653E+03
   0.100867E+03   0.143317E-02   0.112904E-02   0.265177E-02   0.886641E-03   0.886575E-03   0.309371E-03   0.838976E-03   0.250776E-03   0.757977E-03   0.202682E+03
   0.100863E+03   0.585482E-03   0.112904E-02   0.265177E-02   0.886641E-03   0.886575E-03   0.309371E-03   0.838976E-03   0.250776E-03   0.224242E-04   0.204943E+03
   0.100473E+03   0.585482E-03   0.824765E-03   0.265177E-02   0.399615E-03   0.886575E-03   0.152970E-02   0.838976E-03   0.250776E-03   0.224242E-04   0.205267E+03
   0.100473E+03   0.585482E-03   0.511262E-03   0.901363E-03   0.399615E-03   0.886575E-03   0.233221E-02   0.838976E-03   0.530090E-03   0.224242E-04   0.207172E+03
   0.100473E+03   0.585482E-03   0.459098E-03   0.901363E-03   0.399615E-03   0.886575E-03   0.233221E-02   0.897177E-03   0.530090E-03   0.224242E-04   0.207101E+03
   0.100473E+03   0.585482E-03   0.459098E-03   0.901363E-03   0.399615E-03   0.886575E-03   0.604592E-03   0.880135E-03   0.954221E-03   0.975610E-03   0.207653E+03
   0.100473E+03   0.432385E-03   0.459098E-03   0.669103E-04   0.399615E-03   0.886575E-03   0.604592E-03   0.880135E-03   0.954221E-03   0.975610E-03   0.207008E+03
   0.100473E+03   0.396847E-03   0.459098E-03   0.669103E-04   0.399615E-03   0.886575E-03   0.604592E-03   0.622385E-03   0.122231E-03   0.975610E-03   0.208844E+03
   0.100473E+03   0.396847E-03   0.459098E-03   0.176274E-02   0.399615E-03   0.886575E-03   0.604592E-03   0.117747E-03   0.122231E-03   0.975610E-03   0.208284E+03
   0.100473E+03   0.396847E-03   0.459098E-03   0.176274E-02   0.150674E-02   0.886575E-03   0.155541E-02   0.366314E-03   0.122231E-03   0.975610E-03   0.206243E+03
   0.998200E+02   0.396847E-03   0.360071E-03   0.220918E-02   0.150674E-02   0.886575E-03   0.155541E-02   0.227209E-03   0.132293E-03   0.975610E-03   0.205437E+03
   0.998200E+02   0.396847E-03   0.360071E-03   0.220918E-02   0.150674E-02   0.886575E-03   0.155541E-02   0.227209E-03   0.132293E-03   0.975610E-03   0.205437E+03
   0.100317E+03   0.396847E-03   0.360071E-03   0.220918E-02   0.676130E-03   0.886575E-03   0.155541E-02   0.227209E-03   0.132293E-03   0.975610E-03   0.206732E+03
   0.100317E+03   0.396847E-03   0.855309E-04   0.220918E-02   0.676130E-03   0.886575E-03   0.155541E-02   0.227209E-03   0.132293E-03   0.975610E-03   0.206544E+03
   0.100317E+03   0.396847E-03   0.855309E-04   0.220918E-02   0.121577E-02   0.886575E-03   0.155541E-02   0.227209E-03   0.132293E-03   0.975610E-03   0.205901E+03
   0.100317E+03   0.396847E-03   0.855309E-04   0.220918E-02   0.121577E-02   0.886575E-03   0.155541E-02   0.635117E-03   0.132293E-03   0.975610E-03   0.205594E+03
   0.992786E+02   0.396847E-03   0.855309E-04   0.220918E-02   0.121577E-02   0.886575E-03   0.640066E-03   0.420560E-03   0.132293E-03   0.154973E-02   0.205167E+03
   0.992786E+02   0.396847E-03   0.855309E-04   0.220918E-02   0.121577E-02   0.886575E-03   0.640066E-03   0.112709E-02   0.132293E-03   0.154973E-02   0.203995E+03
   0.992786E+02   0.396847E-03   0.455562E-03   0.719638E-03   0.121577E-02   0.886575E-03   0.640066E-03   0.138695E-02   0.132293E-03   0.154973E-02   0.206394E+03
