KP,Cote,ID_Cal,Date
58000,192.9532,158,13/02/11
57995,192.9459,158,13/02/11
57990,192.9589,158,13/02/11
57985,192.9547,158,13/02/11
57980,192.9428,158,13/02/11
57975,192.9459,158,13/02/11
57970,192.9518,158,13/02/11
57965,192.9394,158,13/02/11
57960,192.9411,158,13/02/11
57955,192.9413,158,13/02/11
57950,192.9392,158,13/02/11
57945,192.9365,158,13/02/11
57940,192.938,158,13/02/11
57935,192.9304,158,13/02/11
57930,192.928,158,13/02/11
57925,192.9294,158,13/02/11
57920,192.9364,158,13/02/11
57915,192.9228,158,13/02/11
57910,192.9296,158,13/02/11
57905,192.9188,158,13/02/11
57900,192.9298,158,13/02/11
57895,192.9175,158,13/02/11
57890,192.9146,158,13/02/11
57885,192.9142,158,13/02/11
57880,192.9169,158,13/02/11
57875,192.9083,158,13/02/11
57870,192.9105,158,13/02/11
57865,192.9032,158,13/02/11
57860,192.9145,158,13/02/11
57855,192.9062,158,13/02/11
57850,192.896,158,13/02/11
57845,192.8972,158,13/02/11
57840,192.8953,158,13/02/11
57835,192.8994,158,13/02/11
57830,192.8926,158,13/02/11
57825,192.8769,158,13/02/11
57820,192.8879,158,13/02/11
57815,192.8877,158,13/02/11
57810,192.8762,158,13/02/11
57805,192.8732,158,13/02/11
57800,192.8752,158,13/02/11
57795,192.8731,158,13/02/11
57790,192.8673,158,13/02/11
57785,192.8685,158,13/02/11
57780,192.8572,158,13/02/11
57775,192.8544,158,13/02/11
57770,192.855,158,13/02/11
57765,192.8533,158,13/02/11
