a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.100000E+03   0.587665E+02   0.419148E-03   0.135442E+02   0.936937E+01   0.700249E-03   0.138493E+02   0.643429E+02
   0.100000E+03   0.587665E+02   0.419148E-03   0.108416E+02   0.645393E+01   0.681955E-03   0.168707E+02   0.634160E+02
   0.100000E+03   0.600109E+02   0.419148E-03   0.108416E+02   0.614331E+01   0.681955E-03   0.168707E+02   0.627673E+02
   0.100000E+03   0.592155E+02   0.419148E-03   0.108416E+02   0.784912E+01   0.324233E-03   0.168707E+02   0.659282E+02
   0.100000E+03   0.585507E+02   0.419148E-03   0.847411E+01   0.784912E+01   0.372429E-03   0.114901E+02   0.652057E+02
   0.100000E+03   0.585507E+02   0.419148E-03   0.847411E+01   0.889081E+01   0.372429E-03   0.114901E+02   0.656415E+02
   0.100000E+03   0.599047E+02   0.419148E-03   0.829945E+01   0.980375E+01   0.372429E-03   0.164894E+02   0.661239E+02
   0.100000E+03   0.592983E+02   0.419148E-03   0.801844E+01   0.980375E+01   0.372429E-03   0.164941E+02   0.661608E+02
   0.100000E+03   0.592983E+02   0.419148E-03   0.801844E+01   0.980375E+01   0.372429E-03   0.200242E+02   0.650363E+02
   0.100000E+03   0.592983E+02   0.419148E-03   0.801844E+01   0.980375E+01   0.372429E-03   0.154934E+02   0.663230E+02
   0.100000E+03   0.592983E+02   0.419148E-03   0.801844E+01   0.854082E+01   0.536693E-03   0.196923E+02   0.645655E+02
   0.100000E+03   0.592983E+02   0.419148E-03   0.801844E+01   0.102920E+02   0.536693E-03   0.196923E+02   0.646796E+02
   0.100000E+03   0.592983E+02   0.419148E-03   0.801844E+01   0.104756E+02   0.133309E-02   0.201050E+02   0.628107E+02
   0.100000E+03   0.592983E+02   0.419148E-03   0.801844E+01   0.104756E+02   0.120553E-02   0.201050E+02   0.630357E+02
