a0_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.999263E+02   0.146135E-03   0.110500E+02   0.993716E+01   0.182263E+03
   0.999263E+02   0.682772E-03   0.110500E+02   0.993716E+01   0.183779E+03
   0.999263E+02   0.285716E-03   0.110500E+02   0.993716E+01   0.184226E+03
   0.999263E+02   0.600746E-03   0.110609E+02   0.105443E+02   0.184366E+03
   0.999263E+02   0.600746E-03   0.850863E+01   0.105443E+02   0.183833E+03
   0.999263E+02   0.600746E-03   0.850863E+01   0.105443E+02   0.183833E+03
   0.999263E+02   0.600746E-03   0.850863E+01   0.104411E+02   0.183890E+03
   0.999263E+02   0.600746E-03   0.850863E+01   0.948107E+01   0.183938E+03
   0.998147E+02   0.600746E-03   0.850863E+01   0.119217E+02   0.182240E+03
   0.998147E+02   0.600746E-03   0.850863E+01   0.119217E+02   0.182240E+03
   0.998147E+02   0.600746E-03   0.106801E+02   0.119217E+02   0.183100E+03
   0.998147E+02   0.600746E-03   0.106801E+02   0.119217E+02   0.183100E+03
   0.998147E+02   0.600746E-03   0.104086E+02   0.119217E+02   0.183262E+03
   0.998147E+02   0.600746E-03   0.880123E+01   0.119217E+02   0.182695E+03
   0.998147E+02   0.481041E-03   0.880123E+01   0.119217E+02   0.183319E+03
   0.100509E+03   0.481041E-03   0.880123E+01   0.103802E+02   0.184775E+03
   0.100509E+03   0.481041E-03   0.104004E+02   0.102621E+02   0.185394E+03
   0.100509E+03   0.786423E-03   0.101903E+02   0.102621E+02   0.182984E+03
   0.100509E+03   0.441255E-03   0.101903E+02   0.110315E+02   0.184915E+03
   0.100509E+03   0.441255E-03   0.130444E+02   0.863581E+01   0.180805E+03
   0.100509E+03   0.441255E-03   0.125799E+02   0.863581E+01   0.181740E+03
   0.100509E+03   0.529608E-03   0.121485E+02   0.873325E+01   0.182599E+03
   0.100509E+03   0.529608E-03   0.105586E+02   0.906896E+01   0.184888E+03
   0.100509E+03   0.552466E-03   0.105586E+02   0.906896E+01   0.184791E+03
   0.100509E+03   0.552466E-03   0.105586E+02   0.906896E+01   0.184791E+03
   0.100509E+03   0.624870E-03   0.101796E+02   0.906896E+01   0.184472E+03
   0.100509E+03   0.624870E-03   0.107129E+02   0.103296E+02   0.184494E+03
   0.100509E+03   0.624870E-03   0.105318E+02   0.103296E+02   0.184614E+03
   0.998767E+02   0.624870E-03   0.102275E+02   0.959278E+01   0.184844E+03
