Km_SU1_Rh_a0   Km_SU1_Rh_a1   Km_SU1_Rh_a2   Km_SU1_Rh_a3   Km_SU1_Rh_a4   Km_SU2_Rh_a0   Km_SU2_Rh_a1   Km_SU1_Ai_a0   Km_SU1_Ai_a1   Km_SU1_Ai_a2   Km_SU1_Ai_a3   Km_SU1_Ai_a4   Km_SU2_Ai_a0   Km_SU2_Ai_a1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.407779E+02  -0.386428E+00   0.676310E+01   0.502296E+01   0.111597E+02   0.335717E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.111050E+00   0.124117E-02   0.741185E-02   0.188166E-01   0.112882E-01  -0.983865E+03   0.145449E+02   0.000000E+00  -0.998410E+03   0.199682E+04
   0.407779E+02  -0.386428E+00   0.676310E+01   0.502296E+01   0.111597E+02   0.335717E+02  -0.219019E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.111050E+00   0.478678E-03   0.553443E-02   0.188906E-01   0.128888E-01  -0.983733E+03   0.146414E+02   0.000000E+00  -0.998374E+03   0.199675E+04
   0.407779E+02  -0.386428E+00   0.676310E+01   0.502296E+01   0.111597E+02   0.335717E+02  -0.219019E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.111050E+00   0.927359E-03   0.340447E-02   0.190010E-01   0.129144E-01  -0.983578E+03   0.147960E+02   0.000000E+00  -0.998374E+03   0.199675E+04
   0.407779E+02  -0.386428E+00   0.676310E+01   0.638327E+01   0.111597E+02   0.335717E+02  -0.219019E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.111036E+00   0.304715E-02   0.446137E-03   0.194046E-01   0.143906E-01  -0.983186E+03   0.146918E+02   0.000000E+00  -0.997878E+03   0.199576E+04
   0.407779E+02  -0.386428E+00   0.676310E+01   0.559982E+01   0.111597E+02   0.335717E+02  -0.219019E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.111088E+00   0.292239E-02   0.111595E-02   0.201468E-01   0.129823E-01  -0.982063E+03   0.147039E+02   0.000000E+00  -0.996767E+03   0.199353E+04
   0.407779E+02  -0.386428E+00   0.676310E+01   0.559982E+01   0.111597E+02   0.335717E+02  -0.219019E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.111088E+00   0.281280E-02   0.403852E-02   0.217721E-01   0.141293E-01  -0.982622E+03   0.141454E+02   0.000000E+00  -0.996767E+03   0.199353E+04
   0.407779E+02  -0.386428E+00   0.723708E+01   0.559982E+01   0.111597E+02   0.335717E+02  -0.219019E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.112660E+00   0.232586E-02   0.433439E-02   0.215494E-01   0.134135E-01  -0.947331E+03   0.142584E+02   0.000000E+00  -0.961589E+03   0.192318E+04
   0.407779E+02  -0.386428E+00   0.723708E+01   0.488057E+01   0.111597E+02   0.335717E+02  -0.219019E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.112660E+00   0.232586E-02   0.189216E-02   0.226488E-01   0.131013E-01  -0.948095E+03   0.144239E+02   0.000000E+00  -0.962519E+03   0.192504E+04
   0.407779E+02  -0.386428E+00   0.723708E+01   0.488057E+01   0.111597E+02   0.346285E+02  -0.215781E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.112660E+00   0.255409E-02   0.115872E-02   0.231568E-01   0.120806E-01  -0.945762E+03   0.145257E+02   0.000000E+00  -0.960288E+03   0.192058E+04
   0.407779E+02  -0.386428E+00   0.723708E+01   0.667238E+01   0.100994E+02   0.346285E+02  -0.215781E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.113803E+00   0.682388E-03   0.115872E-02   0.231936E-01   0.109837E-01  -0.920186E+03   0.148188E+02   0.000000E+00  -0.935005E+03   0.187001E+04
   0.406792E+02  -0.386428E+00   0.723708E+01   0.667238E+01   0.100994E+02   0.346285E+02  -0.216017E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.113803E+00   0.682388E-03   0.289394E-02   0.259040E-01   0.127422E-01  -0.921268E+03   0.141984E+02   0.000000E+00  -0.935466E+03   0.187093E+04
   0.406792E+02  -0.386428E+00   0.417004E+01   0.475174E+01   0.100994E+02   0.346285E+02  -0.216017E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.114688E+00   0.398914E-03   0.311592E-02   0.241810E-01   0.118821E-01  -0.903880E+03   0.144629E+02   0.000000E+00  -0.918343E+03   0.183669E+04
   0.406792E+02  -0.386428E+00   0.417004E+01   0.475174E+01   0.100994E+02   0.346285E+02  -0.216017E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.114688E+00   0.398914E-03   0.311592E-02   0.243516E-01   0.124748E-01  -0.903956E+03   0.143866E+02   0.000000E+00  -0.918343E+03   0.183669E+04
   0.406792E+02  -0.386428E+00   0.417004E+01   0.475174E+01   0.100994E+02   0.346285E+02  -0.216017E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.115507E+00   0.398914E-03   0.104839E-02   0.253664E-01   0.124857E-01  -0.886740E+03   0.144907E+02   0.000000E+00  -0.901231E+03   0.180246E+04
   0.406792E+02  -0.386428E+00   0.417004E+01   0.475174E+01   0.100994E+02   0.346285E+02  -0.216017E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.115507E+00   0.236954E-02   0.297520E-02   0.248056E-01   0.124573E-01  -0.887070E+03   0.141599E+02   0.000000E+00  -0.901230E+03   0.180246E+04
   0.406792E+02  -0.386428E+00   0.417004E+01   0.475174E+01   0.100994E+02   0.346285E+02  -0.216017E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.115507E+00   0.302396E-02   0.187971E-02   0.263476E-01   0.100150E-01  -0.886936E+03   0.142941E+02   0.000000E+00  -0.901230E+03   0.180246E+04
   0.406792E+02  -0.386428E+00   0.417004E+01   0.594650E+01   0.100994E+02   0.346285E+02  -0.216017E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.115507E+00   0.302396E-02   0.272299E-03   0.279623E-01   0.867668E-02  -0.885602E+03   0.144272E+02   0.000000E+00  -0.900029E+03   0.180006E+04
   0.406792E+02  -0.386428E+00   0.417004E+01   0.594650E+01   0.105282E+02   0.346285E+02  -0.216017E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.115815E+00   0.266036E-02   0.272299E-03   0.289460E-01   0.846655E-02  -0.879782E+03   0.143862E+02   0.000000E+00  -0.894168E+03   0.178834E+04
   0.406792E+02  -0.386428E+00   0.417004E+01   0.594650E+01   0.105282E+02   0.346285E+02  -0.216017E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.115815E+00   0.235984E-02   0.272299E-03   0.286538E-01   0.800209E-02  -0.879676E+03   0.144919E+02   0.000000E+00  -0.894168E+03   0.178834E+04
   0.406792E+02  -0.386428E+00   0.417004E+01   0.648565E+01   0.105282E+02   0.339841E+02  -0.216017E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.115815E+00   0.368966E-02   0.775700E-03   0.289767E-01   0.897189E-02  -0.881357E+03   0.141793E+02   0.000000E+00  -0.895536E+03   0.179107E+04
   0.406792E+02  -0.386428E+00   0.417004E+01   0.648565E+01   0.105282E+02   0.339841E+02  -0.216017E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.116216E+00   0.495027E-02   0.460150E-03   0.301953E-01   0.879083E-02  -0.873386E+03   0.139810E+02   0.000000E+00  -0.887367E+03   0.177473E+04
   0.406792E+02  -0.776966E+00   0.417004E+01   0.648565E+01   0.963155E+01   0.339841E+02  -0.216017E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.116216E+00   0.308069E-02   0.314007E-02   0.293786E-01   0.926493E-02  -0.873030E+03   0.139343E+02   0.000000E+00  -0.886964E+03   0.177393E+04
