Km_a0         Km_a1         Km_a2         Km_a3         Km_a4         Km_a5         Km_a6         Km_a7         Km_a8         Km_a9         Km_a10        Km_a11        Km_a12        Km_a13        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.287141E+02  0.386467E+01 -0.359486E+01  0.183402E+01  0.589734E+01  0.793141E+00 -0.261709E+00 -0.255364E+01 -0.844741E+01 -0.222275E+02  0.528853E+00  0.620789E+01  0.839396E+01  0.160745E+02  0.193001E-02  0.462310E-02  0.120528E-01  0.149356E-01  0.643252E-02  0.271606E+03
  0.287141E+02  0.386467E+01 -0.359486E+01  0.183402E+01  0.589734E+01  0.108770E+01 -0.258563E+01 -0.255364E+01 -0.844741E+01 -0.268079E+02  0.528853E+00  0.268261E+01  0.839396E+01  0.160745E+02  0.229598E-02  0.528126E-02  0.136752E-01  0.149005E-01  0.612217E-02  0.271312E+03
  0.287141E+02  0.386467E+01 -0.409132E+01  0.183402E+01  0.518525E+01  0.108770E+01 -0.258563E+01 -0.417297E+01 -0.844741E+01 -0.268079E+02  0.528853E+00  0.268261E+01  0.839396E+01  0.160745E+02  0.215165E-02  0.293135E-02  0.148772E-01  0.147502E-01  0.638674E-02  0.269459E+03
  0.287141E+02  0.386467E+01 -0.409132E+01  0.183402E+01  0.518525E+01  0.108770E+01 -0.566489E+01 -0.441988E+01 -0.844741E+01 -0.268079E+02  0.528853E+00  0.268261E+01  0.839396E+01  0.160745E+02  0.114221E-02  0.285492E-02  0.139700E-01  0.147502E-01  0.645422E-02  0.268143E+03
  0.287141E+02  0.386467E+01 -0.106589E+01  0.312060E+01  0.518525E+01  0.108770E+01 -0.455871E+01 -0.441988E+01 -0.844741E+01 -0.268079E+02  0.528853E+00  0.268261E+01  0.839396E+01  0.160745E+02  0.149897E-02  0.229377E-02  0.146660E-01  0.137796E-01  0.700732E-02  0.270579E+03
  0.287141E+02  0.386467E+01 -0.106589E+01  0.312060E+01  0.518525E+01  0.108770E+01 -0.455871E+01 -0.441988E+01 -0.844741E+01 -0.268079E+02 -0.146166E+01  0.268261E+01  0.839396E+01  0.160745E+02  0.211988E-02  0.229377E-02  0.139817E-01  0.136227E-01  0.782726E-02  0.270815E+03
  0.287141E+02  0.386467E+01 -0.175374E+01  0.312060E+01  0.518525E+01  0.156182E+01 -0.455871E+01 -0.441988E+01 -0.844741E+01 -0.239778E+02  0.992309E+00  0.478375E+01  0.839396E+01  0.218550E+02  0.165340E-02  0.306218E-02  0.137545E-01  0.145641E-01  0.679629E-02  0.270725E+03
  0.287141E+02  0.386467E+01 -0.175374E+01  0.312060E+01  0.461796E+01  0.156182E+01 -0.455871E+01 -0.441988E+01 -0.844741E+01 -0.252076E+02  0.992309E+00  0.478375E+01  0.839396E+01  0.218550E+02  0.908346E-03  0.659401E-02  0.138111E-01  0.131553E-01  0.684316E-02  0.270350E+03
  0.287141E+02  0.386467E+01 -0.175374E+01  0.312060E+01  0.376666E+01  0.113489E+01 -0.455871E+01 -0.517141E+01 -0.813551E+01 -0.248269E+02  0.992309E+00  0.478375E+01  0.839396E+01  0.218550E+02  0.144549E-02  0.506902E-02  0.147465E-01  0.143666E-01  0.684316E-02  0.270729E+03
  0.287141E+02  0.386467E+01 -0.175374E+01  0.312060E+01  0.376666E+01  0.113489E+01 -0.455871E+01 -0.517141E+01 -0.813551E+01 -0.215474E+02  0.992309E+00  0.493780E+01  0.839396E+01  0.218550E+02  0.229113E-02  0.381781E-02  0.154014E-01  0.138297E-01  0.633216E-02  0.270737E+03
