a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.975054E+02   0.381790E+01  -0.603843E+01   0.645706E-03   0.986249E+01   0.989567E+01   0.155835E+02   0.160745E+02   0.174806E+03  -0.742409E+01   0.000000E+00   0.182230E+03  -0.364460E+03
   0.975054E+02   0.268790E+01   0.410413E+01   0.645706E-03   0.970774E+01   0.989567E+01   0.123606E+02   0.160745E+02   0.175219E+03  -0.763518E+01   0.000000E+00   0.182854E+03  -0.365708E+03
   0.975054E+02   0.268790E+01   0.118098E+01   0.645706E-03   0.112841E+02   0.989567E+01   0.123606E+02   0.160745E+02   0.175305E+03  -0.795709E+01   0.000000E+00   0.183262E+03  -0.366524E+03
   0.975054E+02   0.268790E+01   0.118098E+01   0.645706E-03   0.830229E+01   0.744193E+01   0.157062E+02   0.123011E+02   0.174595E+03  -0.866758E+01   0.000000E+00   0.183263E+03  -0.366525E+03
   0.973417E+02   0.178680E+01   0.692745E+01   0.645706E-03   0.956677E+01   0.797654E+01   0.157062E+02   0.116018E+02   0.173633E+03  -0.829280E+01   0.000000E+00   0.181926E+03  -0.363852E+03
   0.973417E+02   0.423853E+01  -0.245887E+01   0.621782E-03   0.115436E+02   0.797654E+01   0.147672E+02   0.173701E+02   0.174071E+03  -0.847634E+01   0.000000E+00   0.182547E+03  -0.365095E+03
   0.973417E+02   0.423853E+01  -0.393232E+01   0.758866E-03   0.961837E+01   0.809732E+01   0.153873E+02   0.180508E+02   0.173713E+03  -0.823224E+01   0.000000E+00   0.181945E+03  -0.363890E+03
   0.973417E+02   0.423853E+01  -0.393232E+01   0.758866E-03   0.961837E+01   0.144504E+02   0.143036E+02   0.180508E+02   0.172049E+03  -0.989580E+01   0.000000E+00   0.181945E+03  -0.363890E+03
   0.973417E+02   0.264343E+01  -0.434156E+01   0.758866E-03   0.118250E+02   0.118226E+02   0.137137E+02   0.180508E+02   0.173565E+03  -0.892040E+01   0.000000E+00   0.182485E+03  -0.364971E+03
   0.973417E+02   0.446650E+01   0.445756E+01   0.758866E-03   0.992724E+01   0.118226E+02   0.137137E+02   0.138911E+02   0.173663E+03  -0.777822E+01   0.000000E+00   0.181441E+03  -0.362882E+03
