a0_min        a0_flood      Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.102508E+03  0.546770E+02  0.459216E-03  0.112384E+02  0.105880E+02  0.402475E-03  0.127275E+02  0.375824E+02
  0.102508E+03  0.568723E+02  0.459216E-03  0.907164E+01  0.993536E+01  0.402475E-03  0.157890E+02  0.364899E+02
  0.102508E+03  0.568723E+02  0.459216E-03  0.108367E+02  0.993536E+01  0.118174E-02  0.135455E+02  0.357292E+02
  0.102508E+03  0.568723E+02  0.459216E-03  0.944769E+01  0.113846E+02  0.452495E-04  0.108532E+02  0.330889E+02
  0.102508E+03  0.568723E+02  0.459216E-03  0.944769E+01  0.105618E+02  0.452495E-04  0.108532E+02  0.333368E+02
  0.102508E+03  0.543375E+02  0.291987E-03  0.982346E+01  0.988771E+01  0.716877E-03  0.120579E+02  0.373314E+02
  0.102508E+03  0.543375E+02  0.291987E-03  0.863768E+01  0.100950E+02  0.716877E-03  0.120579E+02  0.371756E+02
  0.102508E+03  0.548332E+02  0.291987E-03  0.863768E+01  0.107968E+02  0.478268E-03  0.114529E+02  0.373554E+02
  0.102508E+03  0.550002E+02  0.291987E-03  0.946247E+01  0.979893E+01  0.549890E-03  0.140205E+02  0.382763E+02
  0.102508E+03  0.550002E+02  0.291987E-03  0.102295E+02  0.908277E+01  0.549890E-03  0.138897E+02  0.381878E+02
  0.102508E+03  0.550002E+02  0.291987E-03  0.102295E+02  0.820468E+01  0.549890E-03  0.128429E+02  0.377667E+02
  0.102508E+03  0.550002E+02  0.291987E-03  0.109840E+02  0.741760E+01  0.549890E-03  0.125023E+02  0.369802E+02
  0.102508E+03  0.550002E+02  0.291987E-03  0.108169E+02  0.741760E+01  0.549890E-03  0.137261E+02  0.372514E+02
  0.102508E+03  0.550002E+02  0.291987E-03  0.108169E+02  0.731071E+01  0.107339E-02  0.166430E+02  0.364331E+02
  0.102508E+03  0.550002E+02  0.291987E-03  0.106245E+02  0.731071E+01  0.701089E-04  0.157014E+02  0.358487E+02
