a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100231E+03   0.607971E+02   0.775508E-03   0.106697E+02   0.924007E+01   0.273511E-02   0.109031E+02   0.347331E+02  -0.183470E+01   0.000000E+00   0.365678E+02  -0.731356E+02
   0.100231E+03   0.610295E+02   0.775508E-03   0.823801E+01   0.924007E+01   0.293002E-02   0.176484E+02   0.347709E+02  -0.167362E+01   0.000000E+00   0.364445E+02  -0.728890E+02
   0.100231E+03   0.610295E+02   0.775508E-03   0.823801E+01   0.924007E+01   0.293002E-02   0.120430E+02   0.348809E+02  -0.156362E+01   0.000000E+00   0.364445E+02  -0.728890E+02
   0.100231E+03   0.611023E+02   0.775508E-03   0.823801E+01   0.671372E+01   0.164772E-02   0.120430E+02   0.342826E+02  -0.212175E+01   0.000000E+00   0.364043E+02  -0.728087E+02
   0.988757E+02   0.622055E+02   0.775508E-03   0.863208E+01   0.128350E+02   0.108319E-02   0.143803E+02   0.358929E+02  -0.467733E+00   0.000000E+00   0.363606E+02  -0.727213E+02
   0.988757E+02   0.622055E+02   0.560079E-03   0.863208E+01   0.107532E+02   0.108319E-02   0.151471E+02   0.387296E+02   0.391127E+00   0.000000E+00   0.383385E+02  -0.766769E+02
   0.988757E+02   0.622055E+02   0.560079E-03   0.993983E+01   0.106782E+02   0.108319E-02   0.151471E+02   0.388777E+02   0.539179E+00   0.000000E+00   0.383385E+02  -0.766770E+02
   0.988757E+02   0.621402E+02   0.231478E-03   0.993983E+01   0.967517E+01   0.108319E-02   0.159987E+02   0.373814E+02   0.572571E+00   0.000000E+00   0.368088E+02  -0.736177E+02
   0.988757E+02   0.621402E+02   0.231478E-03   0.993983E+01   0.967517E+01   0.108319E-02   0.159987E+02   0.373814E+02   0.572571E+00   0.000000E+00   0.368088E+02  -0.736177E+02
   0.988757E+02   0.606175E+02   0.456012E-03   0.115906E+02   0.943628E+01   0.651505E-03   0.161211E+02   0.398290E+02   0.542724E+00   0.000000E+00   0.392863E+02  -0.785726E+02
   0.988757E+02   0.606175E+02   0.405888E-03   0.116421E+02   0.906733E+01   0.651505E-03   0.147301E+02   0.402112E+02   0.634887E+00   0.000000E+00   0.395763E+02  -0.791526E+02
