Kmin_a0       Kmin_a1       Kmin_a2       Kmin_a3       Kmin_a4       Kmin_a5       Kmin_a6       Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.297107E+02 -0.915151E-02 -0.581297E+01  0.631434E+01  0.648115E+01  0.579757E+01 -0.474737E+00  0.934314E-02  0.250862E-02  0.174542E-01  0.306358E-02  0.144832E-02 -0.847942E+03
  0.297107E+02 -0.915151E-02 -0.369600E+01  0.631434E+01  0.648115E+01  0.597589E+01 -0.474737E+00  0.982706E-02  0.471289E-02  0.171307E-01  0.273791E-02  0.150723E-02 -0.847602E+03
  0.297107E+02 -0.915151E-02 -0.369600E+01  0.631434E+01  0.648115E+01  0.245062E+01 -0.474737E+00  0.115150E-01  0.507886E-02  0.177888E-01  0.436032E-02  0.147211E-02 -0.848984E+03
  0.297107E+02 -0.915151E-02 -0.369600E+01  0.581788E+01  0.648115E+01  0.173853E+01 -0.474737E+00  0.110141E-01  0.475500E-02  0.180170E-01  0.375787E-02  0.214699E-02 -0.850498E+03
  0.297107E+02 -0.915151E-02 -0.369600E+01  0.509621E+01  0.648115E+01  0.774861E+01 -0.122615E+01  0.112787E-01  0.475500E-02  0.172824E-01  0.314873E-02  0.125503E-02 -0.849779E+03
  0.297107E+02 -0.915151E-02 -0.369600E+01  0.484930E+01  0.648115E+01  0.774861E+01 -0.122615E+01  0.140981E-01  0.350971E-02  0.155981E-01  0.213930E-02  0.117860E-02 -0.849693E+03
  0.297107E+02 -0.915151E-02 -0.335861E+01  0.484930E+01  0.648115E+01  0.774861E+01 -0.122615E+01  0.173966E-01  0.253755E-02  0.157992E-01  0.345466E-02  0.317301E-03 -0.849991E+03
  0.297107E+02 -0.915151E-02 -0.335861E+01  0.484930E+01  0.648115E+01  0.774861E+01 -0.122615E+01  0.180294E-01  0.165514E-02  0.163020E-01  0.417115E-02  0.317301E-03 -0.850053E+03
  0.297107E+02 -0.915151E-02 -0.335861E+01  0.643249E+01  0.648115E+01  0.847593E+01  0.255874E-02  0.183478E-01  0.170671E-02  0.171048E-01  0.339838E-02  0.625961E-03 -0.850067E+03
  0.297107E+02 -0.915151E-02 -0.335861E+01  0.643249E+01  0.648115E+01  0.847593E+01  0.255874E-02  0.196711E-01  0.156914E-02  0.156020E-01  0.326996E-02  0.720786E-03 -0.850088E+03
  0.297107E+02 -0.915151E-02 -0.335861E+01  0.643249E+01  0.893512E+01  0.847593E+01  0.937841E+00  0.208272E-01  0.114507E-02  0.163005E-01  0.306341E-02  0.157663E-02 -0.850938E+03
  0.297107E+02 -0.915151E-02 -0.335861E+01  0.545005E+01  0.893512E+01  0.847593E+01 -0.251237E+00  0.220443E-01  0.114507E-02  0.150746E-01  0.197138E-02  0.130605E-02 -0.850527E+03
