Kmin_a0       Kmin_a1       Kmin_a2       Kmin_a3       Kmin_a4       Kmin_a5       Kmin_a6       Kmin_a7       Kmin_a8       Kmin_a9       Kmin_a10      Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.312951E+02  0.777911E+00 -0.602189E+01  0.298376E+01  0.880687E+01  0.644695E+01  0.411118E+00 -0.804278E+01 -0.475957E+01 -0.123463E+02  0.581734E+01  0.247437E-02  0.165059E-01  0.495865E-02  0.126152E-01  0.108076E-01 -0.822687E+03
  0.312384E+02  0.777911E+00 -0.602189E+01  0.298376E+01  0.880687E+01  0.644695E+01  0.411118E+00 -0.804278E+01 -0.475957E+01 -0.123463E+02  0.581734E+01  0.107759E-02  0.176245E-01  0.472078E-02  0.137810E-01  0.114123E-01 -0.822897E+03
  0.316575E+02 -0.649680E-01 -0.567702E+01  0.298376E+01  0.880687E+01  0.644695E+01  0.542420E+01 -0.804278E+01 -0.595662E+01 -0.123463E+02  0.581734E+01  0.119524E-02  0.168592E-01  0.454521E-02  0.128238E-01  0.110822E-01 -0.825829E+03
  0.316575E+02  0.120950E+01 -0.567702E+01  0.298376E+01  0.880687E+01  0.844829E+01  0.575355E+01 -0.804278E+01 -0.566558E+01 -0.123463E+02  0.581734E+01  0.189088E-03  0.164134E-01  0.253211E-02  0.126372E-01  0.106887E-01 -0.824215E+03
  0.316575E+02  0.138222E+01 -0.567702E+01  0.358282E+01  0.880687E+01  0.844829E+01 -0.566461E+00 -0.804278E+01 -0.369708E+01 -0.118197E+02  0.581734E+01  0.101480E-02  0.167259E-01  0.273264E-02  0.132394E-01  0.102481E-01 -0.823162E+03
  0.316575E+02  0.138222E+01 -0.567702E+01  0.358282E+01  0.880687E+01  0.844829E+01  0.216169E+01 -0.804278E+01 -0.369708E+01 -0.118197E+02  0.581734E+01  0.165105E-02  0.169805E-01  0.214569E-02  0.122809E-01  0.971846E-02 -0.821889E+03
  0.316575E+02  0.138222E+01 -0.567702E+01  0.358282E+01  0.880687E+01  0.844829E+01  0.216169E+01 -0.948355E+01 -0.180809E+01 -0.118197E+02  0.418569E+01  0.893431E-03  0.164836E-01  0.191935E-02  0.123627E-01  0.922200E-02 -0.822708E+03
  0.316575E+02  0.780398E+00 -0.558253E+01  0.358282E+01  0.880687E+01  0.823869E+01  0.262273E+01 -0.808518E+01 -0.180809E+01 -0.137298E+02  0.418569E+01  0.893431E-03  0.153603E-01  0.965540E-03  0.116226E-01  0.949811E-02 -0.823310E+03
  0.316575E+02  0.780398E+00 -0.558253E+01  0.358282E+01  0.100100E+02  0.666113E+01  0.262273E+01 -0.808518E+01 -0.180809E+01 -0.137298E+02  0.730599E+01  0.315307E-02  0.146749E-01  0.134033E-02  0.116070E-01  0.747931E-02 -0.822173E+03
  0.316575E+02  0.780398E+00 -0.558253E+01  0.308542E+01  0.100100E+02  0.666113E+01  0.262273E+01 -0.104738E+02 -0.180809E+01 -0.102884E+02  0.600421E+01  0.279343E-02  0.143922E-01  0.872540E-03  0.980304E-02  0.821766E-02 -0.823094E+03
  0.316575E+02  0.780398E+00 -0.558253E+01  0.308542E+01  0.100100E+02  0.666113E+01  0.262273E+01 -0.104738E+02 -0.180809E+01 -0.102884E+02  0.600421E+01  0.337717E-02  0.161752E-01  0.225523E-02  0.782573E-02  0.690590E-02 -0.823117E+03
  0.316575E+02  0.780398E+00 -0.558253E+01  0.308542E+01  0.100100E+02  0.466011E+01  0.262273E+01 -0.104738E+02 -0.180809E+01 -0.102884E+02  0.576121E+01  0.368208E-02  0.164293E-01  0.225523E-02  0.904856E-02  0.527060E-02 -0.823475E+03
  0.316575E+02  0.780398E+00 -0.719486E+01  0.308542E+01  0.100100E+02  0.466011E+01  0.428478E+01 -0.104738E+02 -0.180809E+01 -0.134969E+02  0.576121E+01  0.462780E-02  0.160883E-01  0.468453E-03  0.894576E-02  0.526537E-02 -0.825512E+03
  0.316575E+02  0.780398E+00 -0.719486E+01  0.308542E+01  0.101236E+02  0.466011E+01  0.798798E+01 -0.104738E+02 -0.180809E+01 -0.637066E+01  0.576121E+01  0.538568E-02  0.171345E-01  0.134733E-02  0.875938E-02  0.551521E-02 -0.832805E+03
  0.316575E+02  0.780398E+00 -0.690030E+01  0.308542E+01  0.101236E+02  0.466011E+01  0.340755E+01 -0.104738E+02 -0.533336E+01 -0.105772E+02  0.576121E+01  0.575166E-02  0.177927E-01  0.296974E-02  0.872426E-02  0.520486E-02 -0.825062E+03
  0.316575E+02  0.780398E+00 -0.739676E+01  0.308542E+01  0.941152E+01  0.466011E+01  0.340755E+01 -0.120931E+02 -0.419224E+01 -0.135894E+02  0.576121E+01  0.461661E-02  0.168155E-01  0.257638E-02  0.857993E-02  0.285495E-02 -0.826819E+03
  0.316575E+02  0.780398E+00 -0.607391E+01  0.308542E+01  0.941152E+01  0.466011E+01  0.340755E+01 -0.670416E+01 -0.419224E+01 -0.135894E+02  0.551430E+01  0.575588E-02  0.182229E-01  0.469717E-04  0.113994E-01  0.160966E-02 -0.823979E+03
