Kmin_a0        Kmin_a1        Kmin_a2        Kmin_a3        Kmin_a4        Kmin_a5        Kmin_a6        Kmin_a7        Kmin_a8        Kmin_a9        Kmin_a10       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.308832E+02   0.161955E+01  -0.349459E+01   0.522064E+01   0.662196E+01   0.744480E+01   0.576686E+01  -0.861939E+01  -0.422683E+01  -0.138389E+02   0.453175E+01   0.401720E-02   0.769824E-02   0.444643E-01   0.513530E-02   0.433692E-02  -0.823598E+03
   0.309231E+02   0.183245E+01  -0.529081E+01   0.481753E+01   0.936126E+01   0.677582E+01   0.502624E+01  -0.714521E+01  -0.652465E+01  -0.125603E+02   0.215835E+01   0.841892E-03   0.834625E-02   0.559471E-02   0.865041E-02   0.641833E-03  -0.820479E+03
   0.309627E+02   0.100056E+01  -0.565566E+01   0.481753E+01   0.678527E+01   0.372471E+01   0.638248E+01  -0.925679E+01  -0.311096E+01  -0.120554E+02   0.719418E+01   0.462956E-02   0.224535E-01   0.766369E-02   0.127112E-01   0.283429E-02  -0.824506E+03
   0.309759E+02   0.118201E+01  -0.619444E+01   0.502647E+01   0.930710E+01   0.343783E+01   0.207584E+01  -0.672522E+01  -0.385290E+01  -0.114984E+02   0.747753E+01   0.334130E-02   0.323489E-01   0.167936E-01   0.128475E-02   0.162842E-01  -0.823156E+03
   0.309759E+02   0.105969E+01  -0.256273E+01   0.566532E+01   0.913473E+01   0.487423E+01   0.216622E+01  -0.882508E+01  -0.352695E+01  -0.989704E+01   0.382663E+01   0.200746E-01   0.166545E-01   0.108141E-01   0.228093E-03   0.240281E-01  -0.828379E+03
   0.301632E+02   0.115307E+01  -0.652651E+01   0.184235E+01   0.463756E+01   0.730038E+01   0.472218E+01  -0.374559E+01  -0.681084E+01  -0.123207E+02   0.943143E+01   0.490513E-02   0.450945E-02   0.329357E-02   0.201645E-02   0.463604E-02  -0.827857E+03
   0.300792E+02   0.210652E+01  -0.466987E+01   0.323539E+01   0.651681E+01   0.490452E+01   0.290002E+01  -0.547558E+01  -0.543253E+01  -0.138402E+02   0.119854E+02   0.262006E-02   0.360167E-02   0.776431E-02   0.335731E-01   0.233195E-02  -0.826711E+03
   0.310513E+02   0.995555E+00  -0.476864E+01   0.385726E+01   0.679795E+01   0.303426E+01   0.347633E+01  -0.866177E+01  -0.655715E+01  -0.117699E+02   0.584854E+01   0.728656E-02   0.309495E-02   0.780343E-02   0.128892E-02   0.165485E-02  -0.819883E+03
   0.308232E+02   0.189156E+01  -0.676629E+01   0.317611E+01   0.714606E+01   0.708273E+01   0.267254E+01  -0.877075E+01  -0.529428E+01  -0.858693E+01   0.844183E+01   0.787619E-02   0.161930E-01   0.155921E-02   0.158124E-01   0.179295E-03  -0.822929E+03
   0.307214E+02   0.663960E+00  -0.362109E+01   0.503271E+01   0.714606E+01   0.568012E+01   0.521388E+01  -0.946687E+01  -0.205561E+01  -0.842926E+01   0.475103E+01   0.827285E-02   0.305152E-02   0.446824E-02   0.550906E-02   0.445854E-02  -0.820273E+03
   0.310956E+02   0.620925E+00  -0.362109E+01   0.420967E+01   0.864051E+01   0.397415E+01   0.871227E+00  -0.112924E+02  -0.279691E+01  -0.103556E+02   0.176337E+01   0.121453E-01   0.484905E-02   0.286678E-02   0.680051E-02   0.170826E-01  -0.825365E+03
   0.312658E+02   0.234640E+01  -0.527952E+01   0.232377E+01   0.759191E+01   0.809879E+01  -0.307955E+00  -0.962910E+01  -0.435005E+01  -0.986635E+01   0.817915E+01   0.150493E-01   0.248088E-02   0.119358E-02   0.813400E-02   0.283511E-01  -0.826281E+03
   0.299111E+02   0.280701E+01  -0.382611E+01   0.309548E+01   0.696351E+01   0.235178E+01   0.486979E+00  -0.755262E+01  -0.581637E+01  -0.102804E+02   0.924172E+01   0.509585E-02   0.116781E-01   0.331903E-03   0.456019E-01   0.318208E-02  -0.829815E+03
   0.299111E+02   0.211714E+01  -0.140824E+01   0.578910E+01   0.712466E+01   0.565319E+01   0.138599E+01  -0.611271E+01  -0.356262E+01  -0.123531E+02   0.299178E+01   0.430525E-03   0.128637E-01   0.331903E-03   0.131995E-02   0.200715E-02  -0.822843E+03
