a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101876E+03  -0.431102E+01  -0.200396E+01  -0.103377E+01   0.230950E-03   0.159968E-03   0.130179E-03   0.146411E+03   0.000000E+00   0.000000E+00   0.146411E+03  -0.292822E+03
   0.101876E+03   0.210183E+01   0.270790E+01  -0.829956E+00   0.422379E-03   0.159968E-03   0.130179E-03   0.150087E+03   0.000000E+00   0.000000E+00   0.150087E+03  -0.300174E+03
   0.101803E+03   0.210183E+01   0.270790E+01   0.110011E+02   0.422379E-03   0.159968E-03   0.130179E-03   0.149292E+03   0.000000E+00   0.000000E+00   0.149292E+03  -0.298584E+03
   0.100715E+03   0.137947E+01  -0.105143E+01   0.981412E+01   0.414426E-03   0.159968E-03   0.130179E-03   0.148951E+03   0.000000E+00   0.000000E+00   0.148951E+03  -0.297902E+03
   0.100715E+03   0.137947E+01  -0.105143E+01   0.981412E+01   0.414426E-03   0.159968E-03   0.130179E-03   0.148951E+03   0.000000E+00   0.000000E+00   0.148951E+03  -0.297902E+03
   0.100715E+03   0.419951E+01   0.553414E+00   0.981412E+01   0.199724E-03   0.159968E-03   0.130179E-03   0.150212E+03   0.000000E+00   0.000000E+00   0.150212E+03  -0.300424E+03
   0.100715E+03   0.419951E+01   0.995879E+01   0.981412E+01   0.199724E-03   0.159968E-03   0.130179E-03   0.146117E+03   0.000000E+00   0.000000E+00   0.146117E+03  -0.292234E+03
   0.100715E+03   0.419951E+01   0.177853E+01   0.981412E+01   0.199724E-03   0.159968E-03   0.130179E-03   0.150184E+03   0.000000E+00   0.000000E+00   0.150184E+03  -0.300368E+03
   0.100715E+03   0.419951E+01   0.177853E+01   0.119606E+01   0.199724E-03   0.159968E-03   0.130179E-03   0.150098E+03   0.000000E+00   0.000000E+00   0.150098E+03  -0.300196E+03
   0.100715E+03   0.338346E+01   0.177853E+01   0.820694E+00   0.199724E-03   0.159968E-03   0.130179E-03   0.150490E+03   0.000000E+00   0.000000E+00   0.150490E+03  -0.300980E+03
   0.100715E+03  -0.142365E+01   0.177853E+01  -0.155363E+01   0.199724E-03   0.429042E-03   0.130179E-03   0.149142E+03   0.000000E+00   0.000000E+00   0.149142E+03  -0.298284E+03
   0.100715E+03  -0.142365E+01   0.177853E+01  -0.155363E+01   0.199724E-03   0.429042E-03   0.130179E-03   0.149142E+03   0.000000E+00   0.000000E+00   0.149142E+03  -0.298284E+03
   0.100715E+03  -0.253959E+01   0.136545E+01  -0.155363E+01   0.199724E-03   0.429042E-03   0.130179E-03   0.148430E+03   0.000000E+00   0.000000E+00   0.148430E+03  -0.296860E+03
   0.102079E+03  -0.253959E+01   0.535427E+01  -0.130041E+02   0.199724E-03   0.429042E-03   0.135052E-03   0.148421E+03   0.000000E+00   0.000000E+00   0.148421E+03  -0.296842E+03
   0.102079E+03  -0.253959E+01   0.535427E+01  -0.130041E+02   0.199724E-03   0.429042E-03   0.135052E-03   0.148421E+03   0.000000E+00   0.000000E+00   0.148421E+03  -0.296842E+03
   0.102079E+03  -0.253959E+01  -0.532303E+01  -0.190008E+02   0.199724E-03   0.429042E-03   0.135052E-03   0.148064E+03   0.000000E+00   0.000000E+00   0.148064E+03  -0.296128E+03
   0.101387E+03  -0.228787E+01  -0.522598E+01  -0.190008E+02   0.145676E-03   0.429042E-03   0.135052E-03   0.148154E+03   0.000000E+00   0.000000E+00   0.148154E+03  -0.296308E+03
   0.100447E+03  -0.204637E+01  -0.522598E+01  -0.716153E+01   0.145676E-03   0.429042E-03   0.135052E-03   0.148793E+03   0.000000E+00   0.000000E+00   0.148793E+03  -0.297586E+03
   0.100447E+03  -0.204637E+01   0.170619E+01  -0.163812E+01   0.627508E-03   0.429042E-03   0.135052E-03   0.147303E+03   0.000000E+00   0.000000E+00   0.147303E+03  -0.294606E+03
