a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100281E+03  -0.122096E+01   0.994210E-03   0.599337E-03   0.393549E-03   0.718860E-03   0.473430E-03   0.581511E-03   0.156134E-02   0.317141E-04   0.133290E-03   0.208415E+03   0.000000E+00   0.000000E+00   0.208415E+03  -0.416830E+03
   0.100281E+03  -0.122096E+01   0.994210E-03   0.599337E-03   0.393549E-03   0.111563E-02   0.473430E-03   0.581511E-03   0.185850E-03   0.317141E-04   0.133290E-03   0.210068E+03   0.000000E+00   0.000000E+00   0.210068E+03  -0.420136E+03
   0.100281E+03  -0.122096E+01   0.994210E-03   0.599337E-03   0.393549E-03   0.178241E-02   0.473430E-03   0.581511E-03   0.185850E-03   0.317141E-04   0.133290E-03   0.208966E+03   0.000000E+00   0.000000E+00   0.208966E+03  -0.417932E+03
   0.100281E+03  -0.795233E-01   0.994210E-03   0.190281E-02   0.393549E-03   0.255174E-02   0.567149E-04   0.122574E-03   0.185850E-03   0.317141E-04   0.133290E-03   0.203655E+03   0.000000E+00   0.000000E+00   0.203655E+03  -0.407310E+03
   0.999880E+02  -0.795233E-01   0.994210E-03   0.201706E-02   0.111077E-02   0.481737E-02   0.567149E-04   0.144627E-02   0.185850E-03   0.137875E-03   0.133290E-03   0.200722E+03   0.000000E+00   0.000000E+00   0.200722E+03  -0.401444E+03
   0.999880E+02  -0.795233E-01   0.994210E-03   0.201706E-02   0.111077E-02   0.436016E-02   0.567149E-04   0.483494E-03   0.185850E-03   0.137875E-03   0.133290E-03   0.202197E+03   0.000000E+00   0.000000E+00   0.202197E+03  -0.404394E+03
   0.999880E+02   0.114414E+00   0.994210E-03   0.201706E-02   0.111077E-02   0.436016E-02   0.567149E-04   0.799146E-03   0.185850E-03   0.137875E-03   0.133290E-03   0.202209E+03   0.000000E+00   0.000000E+00   0.202209E+03  -0.404418E+03
   0.999880E+02   0.114414E+00   0.994210E-03   0.201706E-02   0.111077E-02   0.197637E-02   0.567149E-04   0.799146E-03   0.185850E-03   0.137875E-03   0.133290E-03   0.204981E+03   0.000000E+00   0.000000E+00   0.204981E+03  -0.409962E+03
   0.999880E+02   0.172743E+01   0.994210E-03   0.310262E-03   0.941150E-03   0.271755E-02   0.567149E-04   0.799146E-03   0.655321E-03   0.137875E-03   0.133290E-03   0.207194E+03   0.000000E+00   0.000000E+00   0.207194E+03  -0.414388E+03
   0.999880E+02   0.172743E+01   0.933105E-03   0.906210E-03   0.941150E-03   0.898421E-03   0.289540E-03   0.918499E-03   0.655321E-03   0.461066E-03   0.133290E-03   0.209216E+03   0.000000E+00   0.000000E+00   0.209216E+03  -0.418432E+03
   0.999880E+02   0.172743E+01   0.933105E-03   0.906210E-03   0.112094E-02   0.898421E-03   0.103157E-02   0.918499E-03   0.655321E-03   0.461066E-03   0.133290E-03   0.208094E+03   0.000000E+00   0.000000E+00   0.208094E+03  -0.416188E+03
