a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.995287E+02   0.107760E+01  -0.101823E+01  -0.794867E+01   0.278263E+01   0.604839E-03   0.121595E-02   0.353796E-03   0.740469E-03   0.160152E-02   0.572623E-03   0.743509E-03   0.243222E-03   0.611724E-03   0.207673E+03   0.000000E+00   0.000000E+00   0.207673E+03  -0.415346E+03
   0.995287E+02  -0.455353E+00  -0.111661E+01  -0.794867E+01  -0.911572E+01   0.604839E-03   0.121595E-02   0.353796E-03   0.904188E-03   0.160152E-02   0.106788E-02   0.743509E-03   0.243222E-03   0.611724E-03   0.207069E+03   0.000000E+00   0.000000E+00   0.207069E+03  -0.414138E+03
   0.999444E+02  -0.455353E+00  -0.111661E+01  -0.716548E+01  -0.789018E+01   0.604839E-03   0.121595E-02   0.437551E-03   0.904188E-03   0.160152E-02   0.106788E-02   0.743509E-03   0.243222E-03   0.611724E-03   0.207425E+03   0.000000E+00   0.000000E+00   0.207425E+03  -0.414850E+03
   0.999444E+02  -0.455353E+00  -0.217329E+01  -0.394465E+01  -0.290025E+01   0.245369E-03   0.121595E-02   0.437551E-03   0.904188E-03   0.160152E-02   0.106788E-02   0.557766E-03   0.243222E-03   0.335443E-03   0.208689E+03   0.000000E+00   0.000000E+00   0.208689E+03  -0.417378E+03
   0.995732E+02  -0.455353E+00  -0.131579E+02  -0.635596E+01   0.827364E+01   0.245369E-03   0.833127E-03   0.437551E-03   0.904188E-03   0.160152E-02   0.106788E-02   0.557766E-03   0.243222E-03   0.335443E-03   0.206057E+03   0.000000E+00   0.000000E+00   0.206057E+03  -0.412114E+03
   0.101956E+03  -0.455353E+00   0.135453E+02  -0.836257E+01   0.149969E+02   0.245369E-03   0.833127E-03   0.437551E-03   0.904188E-03   0.160152E-02   0.106788E-02   0.557766E-03   0.243222E-03   0.335443E-03   0.205897E+03   0.000000E+00   0.000000E+00   0.205897E+03  -0.411794E+03
   0.102756E+03   0.103994E+01   0.130574E+02  -0.836257E+01   0.149969E+02   0.245369E-03   0.833127E-03   0.437551E-03   0.130703E-02   0.547439E-03   0.111682E-02   0.557766E-03   0.384400E-03   0.335443E-03   0.206006E+03   0.000000E+00   0.000000E+00   0.206006E+03  -0.412012E+03
   0.101485E+03   0.103994E+01   0.642461E+01  -0.901888E+01   0.149969E+02   0.245369E-03   0.833127E-03   0.437551E-03   0.130703E-02   0.104887E-02   0.111682E-02   0.557766E-03   0.384400E-03   0.335443E-03   0.207929E+03   0.000000E+00   0.000000E+00   0.207929E+03  -0.415858E+03
   0.101485E+03   0.103994E+01   0.642461E+01  -0.675161E+01   0.149969E+02   0.245369E-03   0.833127E-03   0.437551E-03   0.130703E-02   0.104887E-02   0.111682E-02   0.557766E-03   0.384400E-03   0.335443E-03   0.208024E+03   0.000000E+00   0.000000E+00   0.208024E+03  -0.416048E+03
   0.100793E+03   0.103994E+01  -0.188986E+01  -0.171125E+02  -0.687911E+01   0.245369E-03   0.833127E-03   0.437551E-03   0.151870E-02   0.177339E-02   0.191207E-02   0.557766E-03   0.384400E-03   0.335443E-03   0.206216E+03   0.000000E+00   0.000000E+00   0.206216E+03  -0.412432E+03
