a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.100072E+03  -0.311642E+01   0.127434E+02   0.822887E+00   0.494438E-03   0.941672E+01   0.137329E+02   0.148737E+02   0.116182E+02   0.363626E+02
   0.102031E+03   0.141815E+02   0.308006E+01   0.343751E+02   0.255439E-03   0.107933E+02   0.907470E+01   0.146007E+02   0.131964E+02   0.374702E+02
   0.102829E+03   0.186874E+01   0.143728E+02  -0.694162E+01   0.366448E-05   0.116799E+02   0.109697E+02   0.110611E+02   0.162193E+02   0.361053E+02
   0.100507E+03   0.454719E+01   0.487796E+01   0.342224E+01   0.687704E-03   0.868810E+01   0.798553E+01   0.110611E+02   0.193587E+02   0.363760E+02
   0.100062E+03   0.527371E+01  -0.525816E+01  -0.266397E+02   0.596009E-03   0.112589E+02   0.905626E+01   0.126347E+02   0.103638E+02   0.368507E+02
   0.992735E+02   0.715196E+01  -0.210920E+02   0.199146E+02   0.175998E-03   0.141298E+02   0.108592E+02   0.107023E+02   0.143380E+02   0.327482E+02
   0.100697E+03   0.973153E+00  -0.287555E+02   0.163547E+02   0.175998E-03   0.828967E+01   0.104073E+02   0.117959E+02   0.162614E+02   0.352096E+02
   0.102304E+03  -0.426341E+01   0.133300E+02  -0.107825E+02   0.886385E-03   0.680673E+01   0.697402E+01   0.152202E+02   0.156480E+02   0.345605E+02
   0.102304E+03   0.592712E+00  -0.136310E+02  -0.269378E+02   0.488977E-03   0.786771E+01   0.788985E+01   0.170612E+02   0.151902E+02   0.381942E+02
   0.102304E+03   0.267791E+01  -0.139026E+02  -0.294248E+02   0.575516E-03   0.104672E+02   0.750657E+01   0.181108E+02   0.151902E+02   0.378373E+02
   0.990349E+02  -0.870127E+01   0.763307E+01  -0.212899E+02   0.901808E-03   0.102831E+02   0.165713E+02   0.135948E+02   0.172110E+02   0.319067E+02
   0.102748E+03   0.142823E+01  -0.987094E+01  -0.333314E+01   0.293196E-03   0.111915E+02   0.145725E+02   0.123179E+02   0.164880E+02   0.329285E+02
   0.977641E+02   0.437373E+01   0.180526E+01  -0.105674E+02   0.293196E-03   0.719530E+01   0.101334E+02   0.137308E+02   0.132433E+02   0.379143E+02
   0.983890E+02   0.622356E+01   0.567647E+01  -0.377043E+01   0.197080E-02   0.859663E+01   0.108823E+02   0.167480E+02   0.129860E+02   0.334503E+02
   0.969918E+02  -0.750947E-01  -0.149387E+02   0.676711E+01   0.355610E-03   0.681090E+01   0.843554E+01   0.211442E+02   0.119323E+02   0.342507E+02
   0.100900E+03  -0.750947E-01  -0.142670E+02  -0.271779E+02   0.276956E-03   0.150093E+02   0.951132E+01   0.141825E+02   0.163683E+02   0.368696E+02
   0.101227E+03  -0.872224E+00  -0.274760E+02   0.390239E+01   0.276956E-03   0.873618E+01   0.951132E+01   0.146780E+02   0.123596E+02   0.372450E+02
   0.101493E+03   0.490734E+01  -0.112641E+02  -0.345781E+02   0.386716E-03   0.109980E+02   0.140440E+02   0.169713E+02   0.130646E+02   0.367616E+02
   0.101493E+03  -0.147284E+01   0.170402E+02  -0.345781E+02   0.608315E-03   0.680539E+01   0.141801E+02   0.111541E+02   0.116591E+02   0.315760E+02
   0.100682E+03   0.192148E+02   0.893622E+01   0.221728E+02   0.112774E-03   0.103151E+02   0.743809E+01   0.133927E+02   0.191363E+02   0.355253E+02
   0.988014E+02   0.455775E+01   0.276221E+01   0.150163E+02   0.112774E-03   0.904842E+01   0.943015E+01   0.167247E+02   0.134130E+02   0.399750E+02
