a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100014E+03   0.615368E-03   0.204161E-03   0.640192E-04   0.694830E-03   0.191745E+03   0.000000E+00   0.000000E+00   0.191745E+03  -0.383490E+03
   0.100014E+03   0.615368E-03   0.204161E-03   0.640192E-04   0.806537E-03   0.192009E+03   0.000000E+00   0.000000E+00   0.192009E+03  -0.384018E+03
   0.100014E+03   0.615368E-03   0.204161E-03   0.640192E-04   0.806537E-03   0.192009E+03   0.000000E+00   0.000000E+00   0.192009E+03  -0.384018E+03
   0.100014E+03   0.615368E-03   0.204161E-03   0.640192E-04   0.806537E-03   0.192009E+03   0.000000E+00   0.000000E+00   0.192009E+03  -0.384018E+03
   0.101247E+03   0.145559E-02   0.204161E-03   0.640192E-04   0.227615E-02   0.186983E+03   0.000000E+00   0.000000E+00   0.186983E+03  -0.373966E+03
   0.101247E+03   0.145559E-02   0.204161E-03   0.640192E-04   0.227615E-02   0.186983E+03   0.000000E+00   0.000000E+00   0.186983E+03  -0.373966E+03
   0.101247E+03   0.145559E-02   0.204161E-03   0.640192E-04   0.171767E-02   0.188436E+03   0.000000E+00   0.000000E+00   0.188436E+03  -0.376872E+03
   0.101247E+03   0.145559E-02   0.204161E-03   0.640192E-04   0.121024E-02   0.189499E+03   0.000000E+00   0.000000E+00   0.189499E+03  -0.378998E+03
   0.101247E+03   0.145559E-02   0.204161E-03   0.640192E-04   0.121024E-02   0.189499E+03   0.000000E+00   0.000000E+00   0.189499E+03  -0.378998E+03
   0.101247E+03   0.145559E-02   0.204161E-03   0.640192E-04   0.121024E-02   0.189499E+03   0.000000E+00   0.000000E+00   0.189499E+03  -0.378998E+03
   0.100810E+03   0.145559E-02   0.204161E-03   0.640192E-04   0.687401E-03   0.189054E+03   0.000000E+00   0.000000E+00   0.189054E+03  -0.378108E+03
   0.100810E+03   0.145559E-02   0.204161E-03   0.640192E-04   0.687401E-03   0.189054E+03   0.000000E+00   0.000000E+00   0.189054E+03  -0.378108E+03
   0.100810E+03   0.145559E-02   0.204161E-03   0.640192E-04   0.687401E-03   0.189054E+03   0.000000E+00   0.000000E+00   0.189054E+03  -0.378108E+03
   0.998984E+02   0.203756E-03   0.204161E-03   0.640192E-04   0.687401E-03   0.192411E+03   0.000000E+00   0.000000E+00   0.192411E+03  -0.384822E+03
   0.998984E+02   0.203756E-03   0.204161E-03   0.640192E-04   0.687401E-03   0.192411E+03   0.000000E+00   0.000000E+00   0.192411E+03  -0.384822E+03
   0.998984E+02   0.203756E-03   0.204161E-03   0.640192E-04   0.687401E-03   0.192411E+03   0.000000E+00   0.000000E+00   0.192411E+03  -0.384822E+03
   0.998984E+02   0.203756E-03   0.204161E-03   0.640192E-04   0.687401E-03   0.192411E+03   0.000000E+00   0.000000E+00   0.192411E+03  -0.384822E+03
   0.998984E+02   0.203756E-03   0.204161E-03   0.640192E-04   0.687401E-03   0.192411E+03   0.000000E+00   0.000000E+00   0.192411E+03  -0.384822E+03
   0.998984E+02   0.203756E-03   0.792011E-03   0.640192E-04   0.687401E-03   0.190836E+03   0.000000E+00   0.000000E+00   0.190836E+03  -0.381672E+03
   0.998984E+02   0.203756E-03   0.792011E-03   0.640192E-04   0.687401E-03   0.190836E+03   0.000000E+00   0.000000E+00   0.190836E+03  -0.381672E+03
   0.998984E+02   0.203756E-03   0.792011E-03   0.640192E-04   0.687401E-03   0.190836E+03   0.000000E+00   0.000000E+00   0.190836E+03  -0.381672E+03
   0.998984E+02   0.203756E-03   0.792011E-03   0.640192E-04   0.531330E-03   0.189894E+03   0.000000E+00   0.000000E+00   0.189894E+03  -0.379788E+03
   0.998984E+02   0.203756E-03   0.792011E-03   0.640192E-04   0.531330E-03   0.189894E+03   0.000000E+00   0.000000E+00   0.189894E+03  -0.379788E+03
   0.998984E+02   0.203756E-03   0.792011E-03   0.486600E-03   0.531330E-03   0.187462E+03   0.000000E+00   0.000000E+00   0.187462E+03  -0.374924E+03
   0.998984E+02   0.203756E-03   0.792011E-03   0.486600E-03   0.215797E-02   0.185382E+03   0.000000E+00   0.000000E+00   0.185382E+03  -0.370764E+03
   0.100762E+03   0.431948E-03   0.792011E-03   0.486600E-03   0.774784E-03   0.188121E+03   0.000000E+00   0.000000E+00   0.188121E+03  -0.376242E+03
   0.100762E+03   0.431948E-03   0.792011E-03   0.486600E-03   0.103901E-02   0.188462E+03   0.000000E+00   0.000000E+00   0.188462E+03  -0.376924E+03
   0.100762E+03   0.431948E-03   0.401867E-03   0.486600E-03   0.103901E-02   0.190533E+03   0.000000E+00   0.000000E+00   0.190533E+03  -0.381066E+03
   0.100762E+03   0.431948E-03   0.401867E-03   0.486600E-03   0.933209E-03   0.190525E+03   0.000000E+00   0.000000E+00   0.190525E+03  -0.381050E+03
   0.100762E+03   0.431948E-03   0.543063E-03   0.486600E-03   0.933209E-03   0.189830E+03   0.000000E+00   0.000000E+00   0.189830E+03  -0.379660E+03
   0.100762E+03   0.431948E-03   0.543063E-03   0.486600E-03   0.933209E-03   0.189830E+03   0.000000E+00   0.000000E+00   0.189830E+03  -0.379660E+03
   0.100762E+03   0.431948E-03   0.543063E-03   0.486600E-03   0.933209E-03   0.189830E+03   0.000000E+00   0.000000E+00   0.189830E+03  -0.379660E+03
   0.100762E+03   0.431948E-03   0.543063E-03   0.486600E-03   0.933209E-03   0.189830E+03   0.000000E+00   0.000000E+00   0.189830E+03  -0.379660E+03
   0.100762E+03   0.431948E-03   0.543063E-03   0.486600E-03   0.933209E-03   0.189830E+03   0.000000E+00   0.000000E+00   0.189830E+03  -0.379660E+03
   0.100762E+03   0.440086E-03   0.543063E-03   0.486600E-03   0.933209E-03   0.189807E+03   0.000000E+00   0.000000E+00   0.189807E+03  -0.379614E+03
   0.992569E+02   0.440086E-03   0.870623E-03   0.486600E-03   0.933209E-03   0.186870E+03   0.000000E+00   0.000000E+00   0.186870E+03  -0.373740E+03
   0.992569E+02   0.440086E-03   0.870623E-03   0.486600E-03   0.933209E-03   0.186870E+03   0.000000E+00   0.000000E+00   0.186870E+03  -0.373740E+03
   0.100880E+03   0.440086E-03   0.870623E-03   0.486600E-03   0.933209E-03   0.187903E+03   0.000000E+00   0.000000E+00   0.187903E+03  -0.375806E+03
   0.101563E+03   0.440086E-03   0.870623E-03   0.486600E-03   0.933209E-03   0.186903E+03   0.000000E+00   0.000000E+00   0.186903E+03  -0.373806E+03
   0.101563E+03   0.404052E-03   0.870623E-03   0.486600E-03   0.933209E-03   0.186999E+03   0.000000E+00   0.000000E+00   0.186999E+03  -0.373998E+03
   0.101168E+03   0.404052E-03   0.809514E-03   0.486600E-03   0.107984E-02   0.188109E+03   0.000000E+00   0.000000E+00   0.188109E+03  -0.376218E+03
   0.101168E+03   0.404052E-03   0.809514E-03   0.486600E-03   0.107984E-02   0.188109E+03   0.000000E+00   0.000000E+00   0.188109E+03  -0.376218E+03
   0.100368E+03   0.127520E-02   0.809514E-03   0.463062E-03   0.107984E-02   0.185498E+03   0.000000E+00   0.000000E+00   0.185498E+03  -0.370996E+03
   0.100368E+03   0.127520E-02   0.809514E-03   0.463062E-03   0.107984E-02   0.185498E+03   0.000000E+00   0.000000E+00   0.185498E+03  -0.370996E+03
   0.100368E+03   0.127520E-02   0.809514E-03   0.463062E-03   0.107984E-02   0.185498E+03   0.000000E+00   0.000000E+00   0.185498E+03  -0.370996E+03
   0.100368E+03   0.127520E-02   0.480264E-03   0.109796E-02   0.107984E-02   0.182585E+03   0.000000E+00   0.000000E+00   0.182585E+03  -0.365170E+03
   0.100368E+03   0.127520E-02   0.480264E-03   0.949754E-03   0.102668E-02   0.183574E+03   0.000000E+00   0.000000E+00   0.183574E+03  -0.367148E+03
   0.100871E+03   0.127520E-02   0.480264E-03   0.949754E-03   0.102668E-02   0.183736E+03   0.000000E+00   0.000000E+00   0.183736E+03  -0.367472E+03
   0.100871E+03   0.127520E-02   0.480264E-03   0.949754E-03   0.872429E-03   0.183620E+03   0.000000E+00   0.000000E+00   0.183620E+03  -0.367240E+03
   0.100871E+03   0.127520E-02   0.663033E-03   0.949754E-03   0.872429E-03   0.182614E+03   0.000000E+00   0.000000E+00   0.182614E+03  -0.365228E+03
   0.100700E+03   0.127520E-02   0.180575E-03   0.949754E-03   0.872429E-03   0.184749E+03   0.000000E+00   0.000000E+00   0.184749E+03  -0.369498E+03
