a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  Y9_intercept  LogPost       
  0.100000E+03  0.848101E+00 -0.302806E+01  0.568286E-03  0.112669E-02  0.229883E-02  0.503997E-03  0.186336E-03  0.154063E-02  0.832408E-03  0.305034E-03  0.475583E-03  0.205677E+03
  0.100000E+03  0.848101E+00 -0.302806E+01  0.568286E-03  0.112669E-02  0.229883E-02  0.503997E-03  0.186336E-03  0.135360E-02  0.832408E-03  0.305034E-03  0.475583E-03  0.206002E+03
  0.100000E+03  0.848101E+00  0.462114E+01  0.568286E-03  0.112669E-02  0.229883E-02  0.503997E-03  0.186336E-03  0.135360E-02  0.832408E-03  0.305034E-03  0.475583E-03  0.204733E+03
  0.100000E+03  0.363495E+01  0.462114E+01  0.568286E-03  0.112669E-02  0.229883E-02  0.503997E-03  0.186336E-03  0.135360E-02  0.832408E-03  0.163971E-02  0.475583E-03  0.202406E+03
  0.100000E+03  0.630619E+01  0.462114E+01  0.568286E-03  0.112669E-02  0.229883E-02  0.503997E-03  0.884924E-03  0.135360E-02  0.832408E-03  0.163971E-02  0.475583E-03  0.201387E+03
  0.100000E+03  0.630619E+01  0.462114E+01  0.568286E-03  0.112669E-02  0.229883E-02  0.503997E-03  0.884924E-03  0.135360E-02  0.832408E-03  0.163971E-02  0.475583E-03  0.201387E+03
  0.100000E+03  0.630619E+01  0.132593E+01  0.568286E-03  0.112669E-02  0.229883E-02  0.503997E-03  0.884924E-03  0.135360E-02  0.832408E-03  0.163971E-02  0.475583E-03  0.201875E+03
  0.100000E+03  0.463389E+01  0.132593E+01  0.568286E-03  0.112669E-02  0.229883E-02  0.503997E-03  0.884924E-03  0.135360E-02  0.832408E-03  0.163971E-02  0.475583E-03  0.202448E+03
  0.100000E+03  0.463389E+01  0.132593E+01  0.568286E-03  0.112669E-02  0.671303E-03  0.503997E-03  0.884924E-03  0.135360E-02  0.832408E-03  0.163971E-02  0.705642E-03  0.205338E+03
  0.100000E+03  0.463389E+01 -0.774525E+01  0.893841E-03  0.112669E-02  0.671303E-03  0.503997E-03  0.884924E-03  0.135360E-02  0.832408E-03  0.163971E-02  0.705642E-03  0.204035E+03
  0.100000E+03  0.207821E-01 -0.774525E+01  0.893841E-03  0.112669E-02  0.671303E-03  0.503997E-03  0.884924E-03  0.135360E-02  0.832408E-03  0.163971E-02  0.705642E-03  0.204036E+03
  0.100000E+03  0.207821E-01 -0.774525E+01  0.933670E-03  0.112669E-02  0.671303E-03  0.503997E-03  0.884924E-03  0.594077E-03  0.832408E-03  0.163971E-02  0.705642E-03  0.204595E+03
  0.100000E+03  0.207821E-01 -0.886877E+01  0.933670E-03  0.640833E-03  0.671303E-03  0.503997E-03  0.884924E-03  0.594077E-03  0.832408E-03  0.163971E-02  0.705642E-03  0.205459E+03
  0.100000E+03  0.207821E-01 -0.115613E+02  0.933670E-03  0.640833E-03  0.671303E-03  0.380629E-02  0.884924E-03  0.594077E-03  0.832408E-03  0.197114E-02  0.705642E-03  0.200854E+03
  0.100000E+03  0.121309E+01 -0.221561E+02  0.933670E-03  0.925329E-03  0.671303E-03  0.380629E-02  0.884924E-03  0.594077E-03  0.832408E-03  0.197114E-02  0.705642E-03  0.197123E+03
  0.100000E+03  0.121309E+01 -0.221561E+02  0.933670E-03  0.925329E-03  0.943046E-03  0.380629E-02  0.884924E-03  0.594077E-03  0.832408E-03  0.197114E-02  0.705642E-03  0.196895E+03
  0.100000E+03  0.371596E+01 -0.186818E+02  0.933670E-03  0.925329E-03  0.943046E-03  0.661303E-03  0.101686E-02  0.133136E-02  0.832408E-03  0.197114E-02  0.705642E-03  0.200398E+03
  0.100000E+03  0.258859E+01 -0.186818E+02  0.970924E-03  0.925329E-03  0.943046E-03  0.661303E-03  0.101686E-02  0.133136E-02  0.158204E-03  0.117747E-02  0.705642E-03  0.202382E+03
  0.100000E+03  0.398276E+01 -0.160947E+02  0.981905E-03  0.925329E-03  0.943046E-03  0.661303E-03  0.101686E-02  0.133136E-02  0.158204E-03  0.117747E-02  0.705642E-03  0.203005E+03
  0.100000E+03  0.562367E+01 -0.160947E+02  0.156114E-02  0.925329E-03  0.943046E-03  0.661303E-03  0.101686E-02  0.133136E-02  0.245557E-03  0.117747E-02  0.705642E-03  0.201547E+03
  0.100000E+03  0.562367E+01 -0.960960E+01  0.156114E-02  0.925329E-03  0.943046E-03  0.661303E-03  0.101686E-02  0.133136E-02  0.245557E-03  0.117747E-02  0.705642E-03  0.203249E+03
  0.100000E+03  0.562367E+01 -0.960960E+01  0.156114E-02  0.925329E-03  0.943046E-03  0.661303E-03  0.101686E-02  0.133136E-02  0.245557E-03  0.117747E-02  0.705642E-03  0.203249E+03
  0.100000E+03  0.562367E+01 -0.960960E+01  0.177478E-02  0.499266E-03  0.943046E-03  0.661303E-03  0.101686E-02  0.133136E-02  0.245557E-03  0.117747E-02  0.705642E-03  0.203656E+03
  0.100000E+03  0.562367E+01 -0.308733E+01  0.177478E-02  0.499266E-03  0.943046E-03  0.661303E-03  0.101686E-02  0.133136E-02  0.245557E-03  0.117747E-02  0.331355E-03  0.204876E+03
  0.100000E+03  0.562367E+01 -0.308733E+01  0.995962E-03  0.499266E-03  0.146968E-02  0.661303E-03  0.101686E-02  0.133136E-02  0.245557E-03  0.117747E-02  0.331355E-03  0.205238E+03
  0.100000E+03  0.562367E+01 -0.308733E+01  0.995962E-03  0.499266E-03  0.146968E-02  0.661303E-03  0.101686E-02  0.133136E-02  0.245557E-03  0.416830E-03  0.331355E-03  0.206602E+03
