a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100842E+03   0.353881E+01   0.744081E+01   0.162259E+02   0.941609E-04   0.816907E-03   0.542956E-04   0.230086E-02   0.185484E+03   0.000000E+00   0.000000E+00   0.185484E+03  -0.370968E+03
   0.100842E+03   0.353881E+01   0.744081E+01   0.620186E+01   0.941609E-04   0.410147E-03   0.702053E-04   0.164669E-02   0.190378E+03   0.000000E+00   0.000000E+00   0.190378E+03  -0.380756E+03
   0.100851E+03   0.386933E+01   0.769648E+01   0.620186E+01   0.941609E-04   0.410147E-03   0.702053E-04   0.164669E-02   0.190244E+03   0.000000E+00   0.000000E+00   0.190244E+03  -0.380488E+03
   0.101852E+03   0.554349E+01   0.769648E+01   0.620186E+01   0.941609E-04   0.410147E-03   0.702053E-04   0.164669E-02   0.190224E+03   0.000000E+00   0.000000E+00   0.190224E+03  -0.380448E+03
   0.101852E+03   0.554349E+01   0.769648E+01   0.120113E+02   0.941609E-04   0.410147E-03   0.161959E-03   0.164669E-02   0.190510E+03   0.000000E+00   0.000000E+00   0.190510E+03  -0.381020E+03
   0.101852E+03   0.554349E+01   0.702203E+01   0.888177E+00   0.941609E-04   0.498175E-03   0.161959E-03   0.164669E-02   0.188440E+03   0.000000E+00   0.000000E+00   0.188440E+03  -0.376880E+03
   0.101852E+03   0.553867E+01   0.677722E+01   0.126645E+02   0.941609E-04   0.498175E-03   0.161959E-03   0.164669E-02   0.190009E+03   0.000000E+00   0.000000E+00   0.190009E+03  -0.380018E+03
   0.101852E+03   0.553867E+01   0.677722E+01   0.672769E+01   0.941609E-04   0.498175E-03   0.161959E-03   0.164669E-02   0.189689E+03   0.000000E+00   0.000000E+00   0.189689E+03  -0.379378E+03
   0.101852E+03   0.442783E+01   0.128337E+02   0.513847E+01   0.941609E-04   0.184432E-03   0.161959E-03   0.164669E-02   0.189278E+03   0.000000E+00   0.000000E+00   0.189278E+03  -0.378556E+03
   0.101852E+03   0.442783E+01   0.128337E+02   0.773154E+01   0.941609E-04   0.184432E-03   0.161959E-03   0.164669E-02   0.189484E+03   0.000000E+00   0.000000E+00   0.189484E+03  -0.378968E+03
   0.101852E+03   0.437099E+01   0.650453E+01   0.773154E+01   0.188357E-03   0.184432E-03   0.161959E-03   0.164669E-02   0.191663E+03   0.000000E+00   0.000000E+00   0.191663E+03  -0.383326E+03
   0.101852E+03   0.711600E+00   0.725434E+01   0.773154E+01   0.158606E-03   0.184432E-03   0.161959E-03   0.144020E-02   0.190798E+03   0.000000E+00   0.000000E+00   0.190798E+03  -0.381596E+03
   0.101852E+03   0.560081E+01   0.725434E+01   0.773154E+01   0.158606E-03   0.371966E-03   0.161959E-03   0.144020E-02   0.190801E+03   0.000000E+00   0.000000E+00   0.190801E+03  -0.381602E+03
   0.101852E+03   0.560081E+01   0.746212E+01   0.647204E+01   0.114451E-03   0.371966E-03   0.161959E-03   0.144020E-02   0.190670E+03   0.000000E+00   0.000000E+00   0.190670E+03  -0.381340E+03
   0.101852E+03   0.560081E+01   0.575974E+01   0.145463E+02   0.328919E-03   0.371966E-03   0.161959E-03   0.144020E-02   0.190519E+03   0.000000E+00   0.000000E+00   0.190519E+03  -0.381038E+03
   0.101852E+03   0.560081E+01   0.575974E+01   0.722503E+01   0.328919E-03   0.371966E-03   0.165689E-03   0.144020E-02   0.190377E+03   0.000000E+00   0.000000E+00   0.190377E+03  -0.380754E+03
   0.100410E+03   0.459141E+01   0.575974E+01   0.676435E+01   0.328919E-03   0.371966E-03   0.165689E-03   0.144020E-02   0.189903E+03   0.000000E+00   0.000000E+00   0.189903E+03  -0.379806E+03
