a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  LogPost       
  0.101210E+03  0.433384E+01 -0.493503E+01  0.878366E-03  0.328021E-03  0.479694E-03  0.145432E+03
  0.101210E+03  0.433384E+01 -0.340144E+01  0.878366E-03  0.337904E-03  0.479694E-03  0.145697E+03
  0.101210E+03  0.433384E+01 -0.340144E+01  0.878366E-03  0.337904E-03  0.479694E-03  0.145697E+03
  0.101210E+03  0.597475E+01 -0.340144E+01  0.139967E-02  0.337904E-03  0.479694E-03  0.142518E+03
  0.101210E+03  0.672937E+01 -0.320926E+01  0.139967E-02  0.337904E-03  0.479694E-03  0.141907E+03
  0.101210E+03  0.672937E+01 -0.468521E+01  0.139967E-02  0.337904E-03  0.479694E-03  0.141547E+03
  0.101210E+03  0.672937E+01  0.333171E+01  0.134945E-02  0.337904E-03  0.479694E-03  0.142555E+03
  0.101210E+03  0.260876E+01  0.333171E+01  0.662774E-03  0.337904E-03  0.479694E-03  0.147208E+03
  0.101210E+03  0.260876E+01 -0.146175E+01  0.662774E-03  0.337904E-03  0.394046E-04  0.148774E+03
  0.101210E+03  0.260876E+01 -0.146175E+01  0.662774E-03  0.337904E-03  0.394046E-04  0.148774E+03
  0.101210E+03  0.260876E+01 -0.279540E-01  0.662774E-03  0.337904E-03  0.394046E-04  0.148997E+03
  0.101210E+03  0.260876E+01 -0.279540E-01  0.662774E-03  0.337904E-03  0.394046E-04  0.148997E+03
  0.101210E+03 -0.509088E-01 -0.279540E-01  0.154962E-03  0.337904E-03  0.394046E-04  0.150594E+03
  0.101210E+03  0.100237E+01 -0.279540E-01  0.154962E-03  0.337904E-03  0.394046E-04  0.150741E+03
  0.101210E+03  0.100237E+01 -0.279540E-01  0.154962E-03  0.337904E-03  0.394046E-04  0.150741E+03
  0.101210E+03  0.100237E+01 -0.279540E-01  0.154962E-03  0.337904E-03  0.394046E-04  0.150741E+03
  0.998410E+02  0.100237E+01 -0.398330E+01  0.154962E-03  0.337904E-03  0.394046E-04  0.149049E+03
  0.998410E+02  0.454053E+01 -0.398330E+01  0.154962E-03  0.337904E-03  0.394046E-04  0.147406E+03
  0.998410E+02  0.454053E+01 -0.118135E+02  0.154962E-03  0.337904E-03  0.394046E-04  0.144101E+03
  0.998410E+02 -0.192867E-01 -0.453506E+01  0.154962E-03  0.337904E-03  0.753873E-04  0.148702E+03
  0.998410E+02  0.172134E+00 -0.137693E+01  0.154962E-03  0.337904E-03  0.753873E-04  0.148653E+03
  0.998410E+02  0.172134E+00 -0.919011E+01  0.154962E-03  0.337904E-03  0.753873E-04  0.147638E+03
  0.998410E+02  0.172134E+00 -0.120699E+02  0.154962E-03  0.337904E-03  0.753873E-04  0.146191E+03
  0.998410E+02  0.172134E+00 -0.120699E+02  0.154962E-03  0.337904E-03  0.753873E-04  0.146191E+03
  0.998410E+02  0.172134E+00 -0.120699E+02  0.154962E-03  0.337904E-03  0.753873E-04  0.146191E+03
  0.998410E+02  0.172134E+00 -0.120699E+02  0.152336E-03  0.337904E-03  0.753873E-04  0.146193E+03
  0.998410E+02  0.172134E+00 -0.120699E+02  0.152336E-03  0.337904E-03  0.753873E-04  0.146193E+03
  0.998410E+02 -0.103839E+01 -0.120699E+02  0.152336E-03  0.337904E-03  0.753873E-04  0.145586E+03
  0.998410E+02 -0.103839E+01  0.534085E+00  0.152336E-03  0.337904E-03  0.753873E-04  0.147488E+03
  0.998410E+02 -0.103839E+01 -0.140208E+01  0.152336E-03  0.337904E-03  0.753873E-04  0.147966E+03
  0.999224E+02 -0.103839E+01 -0.433910E+01  0.152336E-03  0.337904E-03  0.753873E-04  0.148366E+03
  0.999224E+02  0.404332E+01 -0.433910E+01  0.152336E-03  0.337904E-03  0.753873E-04  0.148032E+03
  0.999224E+02 -0.535791E+00 -0.433910E+01  0.152336E-03  0.337904E-03  0.753873E-04  0.148695E+03
  0.999224E+02 -0.535791E+00 -0.433910E+01  0.152336E-03  0.337904E-03  0.753873E-04  0.148695E+03
  0.999224E+02 -0.535791E+00 -0.433910E+01  0.152336E-03  0.337904E-03  0.753873E-04  0.148695E+03
  0.999224E+02 -0.535791E+00 -0.433910E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.148662E+03
  0.999224E+02 -0.535791E+00 -0.433910E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.148662E+03
  0.999224E+02 -0.535791E+00 -0.433910E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.148662E+03
  0.999224E+02 -0.117665E+01 -0.160113E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.148150E+03
  0.102018E+03 -0.146627E+01  0.519105E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.149153E+03
  0.102018E+03  0.299701E+01  0.519105E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.149440E+03
  0.102018E+03  0.299701E+01  0.519105E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.149440E+03
  0.102018E+03  0.131125E+01  0.594976E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.149819E+03
  0.102018E+03  0.242085E+00  0.750985E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.149536E+03
  0.102018E+03  0.141851E+01 -0.909171E+00  0.182889E-03  0.337904E-03  0.753873E-04  0.148847E+03
  0.102018E+03  0.141851E+01  0.189465E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.149558E+03
  0.100844E+03  0.141851E+01  0.189465E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.150542E+03
  0.100844E+03  0.141851E+01 -0.628950E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.149500E+03
  0.100844E+03 -0.395675E+00 -0.628950E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.149339E+03
  0.100844E+03 -0.307460E+01 -0.562393E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.147550E+03
  0.100844E+03 -0.202135E+01 -0.562393E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.148587E+03
  0.100844E+03 -0.202135E+01  0.506890E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.148213E+03
  0.102147E+03 -0.202135E+01  0.506890E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.148615E+03
  0.102147E+03 -0.202135E+01  0.291365E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.148479E+03
  0.102147E+03 -0.321183E+01  0.291365E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.147551E+03
  0.102147E+03  0.407428E+01  0.699042E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.148597E+03
  0.102147E+03  0.407428E+01  0.699042E+01  0.182889E-03  0.337904E-03  0.753873E-04  0.148597E+03
  0.102147E+03  0.407428E+01  0.699042E+01  0.538714E-03  0.337904E-03  0.753873E-04  0.147778E+03
  0.102147E+03 -0.167698E+01  0.610694E+01  0.538714E-03  0.337904E-03  0.753873E-04  0.148126E+03
  0.102147E+03 -0.167698E+01  0.610694E+01  0.538714E-03  0.337904E-03  0.753873E-04  0.148126E+03
  0.102147E+03 -0.167698E+01  0.610694E+01  0.538714E-03  0.337904E-03  0.753873E-04  0.148126E+03
  0.102147E+03 -0.167698E+01  0.610694E+01  0.538714E-03  0.337904E-03  0.753873E-04  0.148126E+03
  0.102147E+03 -0.167698E+01  0.610694E+01  0.538714E-03  0.337904E-03  0.753873E-04  0.148126E+03
  0.102147E+03 -0.167698E+01 -0.323665E+01  0.538714E-03  0.337904E-03  0.753873E-04  0.146383E+03
  0.102147E+03 -0.167698E+01 -0.323665E+01  0.538714E-03  0.337904E-03  0.753873E-04  0.146383E+03
  0.102147E+03 -0.167698E+01 -0.323665E+01  0.538714E-03  0.337904E-03  0.753873E-04  0.146383E+03
  0.996027E+02 -0.167698E+01 -0.323665E+01  0.538714E-03  0.337904E-03  0.753873E-04  0.146057E+03
  0.996027E+02 -0.167698E+01 -0.323665E+01  0.538714E-03  0.337904E-03  0.753873E-04  0.146057E+03
  0.996027E+02  0.437391E+01 -0.323665E+01  0.538714E-03  0.337904E-03  0.753873E-04  0.145952E+03
  0.996027E+02  0.437391E+01 -0.323665E+01  0.538714E-03  0.337904E-03  0.753873E-04  0.145952E+03
  0.996027E+02  0.437391E+01 -0.323665E+01  0.538714E-03  0.196390E-03  0.753873E-04  0.146207E+03
  0.996027E+02  0.437391E+01 -0.323665E+01  0.538714E-03  0.196390E-03  0.753873E-04  0.146207E+03
  0.996027E+02  0.166055E+01 -0.323665E+01  0.538714E-03  0.196390E-03  0.753873E-04  0.147574E+03
  0.996027E+02  0.166055E+01 -0.548990E+01  0.538714E-03  0.196390E-03  0.753873E-04  0.147495E+03
  0.996027E+02  0.166055E+01 -0.548990E+01  0.538714E-03  0.196390E-03  0.753873E-04  0.147495E+03
  0.996027E+02  0.166055E+01 -0.662071E+01  0.515219E-03  0.196390E-03  0.753873E-04  0.147373E+03
  0.996027E+02  0.166055E+01 -0.637085E+01  0.515219E-03  0.196390E-03  0.753873E-04  0.147426E+03
  0.996027E+02  0.166055E+01 -0.637085E+01  0.515219E-03  0.196390E-03  0.753873E-04  0.147426E+03
  0.996027E+02  0.166055E+01 -0.362272E+01  0.515219E-03  0.319832E-03  0.753873E-04  0.147497E+03
  0.100036E+03  0.166055E+01 -0.362272E+01  0.447288E-03  0.319832E-03  0.753873E-04  0.148943E+03
  0.100036E+03  0.166055E+01 -0.362272E+01  0.447288E-03  0.319832E-03  0.753873E-04  0.148943E+03
  0.997512E+02  0.166055E+01 -0.362272E+01  0.447288E-03  0.319832E-03  0.753873E-04  0.148190E+03
  0.997512E+02  0.236368E+00 -0.362272E+01  0.447288E-03  0.319832E-03  0.753873E-04  0.148035E+03
  0.101600E+03  0.236368E+00  0.380091E+01  0.447288E-03  0.319832E-03  0.753873E-04  0.149872E+03
  0.101600E+03 -0.120697E+01  0.380091E+01  0.447288E-03  0.319832E-03  0.753873E-04  0.149359E+03
  0.101600E+03 -0.120697E+01  0.380091E+01  0.447288E-03  0.319832E-03  0.753873E-04  0.149359E+03
  0.101600E+03 -0.120697E+01 -0.297347E+01  0.247288E-03  0.319832E-03  0.753873E-04  0.148986E+03
  0.101600E+03 -0.120697E+01 -0.297347E+01  0.247288E-03  0.319832E-03  0.753873E-04  0.148986E+03
  0.101600E+03 -0.120697E+01 -0.297347E+01  0.247288E-03  0.319832E-03  0.753873E-04  0.148986E+03
  0.101600E+03 -0.120697E+01 -0.297347E+01  0.247288E-03  0.319832E-03  0.753873E-04  0.148986E+03
  0.101600E+03 -0.120697E+01 -0.297347E+01  0.247288E-03  0.319832E-03  0.753873E-04  0.148986E+03
  0.101600E+03 -0.120697E+01 -0.446911E+01  0.247288E-03  0.319832E-03  0.753873E-04  0.148501E+03
  0.101600E+03 -0.120697E+01 -0.446911E+01  0.247288E-03  0.319832E-03  0.753873E-04  0.148501E+03
  0.101600E+03  0.195940E+01 -0.446911E+01  0.247288E-03  0.319832E-03  0.753873E-04  0.148710E+03
  0.101600E+03  0.195940E+01 -0.446911E+01  0.247288E-03  0.319832E-03  0.753873E-04  0.148710E+03
  0.101600E+03  0.195940E+01 -0.446911E+01  0.247288E-03  0.319832E-03  0.753873E-04  0.148710E+03
  0.101600E+03  0.583703E+00 -0.446911E+01  0.247288E-03  0.319832E-03  0.753873E-04  0.148939E+03
  0.101600E+03  0.583703E+00 -0.446911E+01  0.247288E-03  0.319832E-03  0.753873E-04  0.148939E+03
  0.101600E+03  0.583703E+00 -0.446911E+01  0.247288E-03  0.319832E-03  0.753873E-04  0.148939E+03
  0.101600E+03  0.583703E+00 -0.446911E+01  0.247288E-03  0.319832E-03  0.753873E-04  0.148939E+03
  0.101600E+03 -0.550876E+00 -0.446911E+01  0.247288E-03  0.319832E-03  0.753873E-04  0.148757E+03
  0.101600E+03 -0.550876E+00 -0.446911E+01  0.247288E-03  0.319832E-03  0.753873E-04  0.148757E+03
  0.101600E+03 -0.550876E+00 -0.446911E+01  0.455636E-03  0.319832E-03  0.753873E-04  0.148307E+03
  0.101600E+03 -0.550876E+00 -0.467099E+01  0.455636E-03  0.319832E-03  0.753873E-04  0.148234E+03
  0.101600E+03 -0.550876E+00 -0.467099E+01  0.455636E-03  0.319832E-03  0.383761E-03  0.147396E+03
  0.101600E+03  0.325669E+01 -0.467099E+01  0.455636E-03  0.319832E-03  0.383761E-03  0.147358E+03
  0.101600E+03  0.220551E+01 -0.467099E+01  0.455636E-03  0.319832E-03  0.383761E-03  0.147670E+03
  0.101090E+03  0.568728E+01 -0.147855E+01  0.455636E-03  0.319832E-03  0.383761E-03  0.147133E+03
  0.101090E+03  0.568728E+01 -0.147855E+01  0.455636E-03  0.319832E-03  0.383761E-03  0.147133E+03
  0.101090E+03  0.568728E+01  0.697782E+01  0.455636E-03  0.319832E-03  0.383761E-03  0.146165E+03
  0.101090E+03  0.104183E+01  0.697782E+01  0.455636E-03  0.319832E-03  0.383761E-03  0.147337E+03
  0.101090E+03  0.104183E+01  0.379621E+01  0.455636E-03  0.319832E-03  0.244594E-05  0.149975E+03
  0.101090E+03  0.104183E+01  0.379621E+01  0.455636E-03  0.319832E-03  0.244594E-05  0.149975E+03
