a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101382E+03   0.714732E+00  -0.844192E+01   0.783890E-03   0.551525E-04   0.146564E-03   0.146935E+03   0.000000E+00   0.000000E+00   0.146935E+03  -0.293870E+03
   0.101414E+03  -0.593614E+00  -0.100167E+02   0.783890E-03   0.131401E-03   0.146564E-03   0.145707E+03   0.000000E+00   0.000000E+00   0.145707E+03  -0.291414E+03
   0.101414E+03  -0.593614E+00  -0.100167E+02   0.102840E-02   0.131401E-03   0.146564E-03   0.144820E+03   0.000000E+00   0.000000E+00   0.144820E+03  -0.289640E+03
   0.101414E+03  -0.593614E+00  -0.100167E+02   0.102840E-02   0.131401E-03   0.146564E-03   0.144820E+03   0.000000E+00   0.000000E+00   0.144820E+03  -0.289640E+03
   0.101414E+03  -0.593614E+00  -0.293759E+01   0.102840E-02   0.131401E-03   0.146564E-03   0.147655E+03   0.000000E+00   0.000000E+00   0.147655E+03  -0.295310E+03
   0.101414E+03  -0.593614E+00  -0.140670E+01   0.730361E-03   0.131401E-03   0.146564E-03   0.149080E+03   0.000000E+00   0.000000E+00   0.149080E+03  -0.298160E+03
   0.101414E+03  -0.593614E+00  -0.506459E+00   0.728781E-03   0.131401E-03   0.225789E-03   0.148903E+03   0.000000E+00   0.000000E+00   0.148903E+03  -0.297806E+03
   0.101252E+03   0.195308E+01   0.487746E+01   0.728781E-03   0.131401E-03   0.225789E-03   0.148927E+03   0.000000E+00   0.000000E+00   0.148927E+03  -0.297854E+03
   0.101252E+03   0.195308E+01   0.258743E+01   0.190730E-03   0.131401E-03   0.225789E-03   0.150941E+03   0.000000E+00   0.000000E+00   0.150941E+03  -0.301882E+03
   0.101252E+03  -0.776593E+00  -0.308125E+01   0.190730E-03   0.131401E-03   0.225789E-03   0.149989E+03   0.000000E+00   0.000000E+00   0.149989E+03  -0.299978E+03
   0.101252E+03  -0.776593E+00   0.734773E+01   0.190730E-03   0.131401E-03   0.225789E-03   0.148541E+03   0.000000E+00   0.000000E+00   0.148541E+03  -0.297082E+03
   0.101252E+03   0.477664E+01  -0.669104E+01   0.190730E-03   0.131401E-03   0.225789E-03   0.147622E+03   0.000000E+00   0.000000E+00   0.147622E+03  -0.295244E+03
   0.100515E+03   0.471980E+01  -0.669104E+01   0.190730E-03   0.131401E-03   0.225789E-03   0.148197E+03   0.000000E+00   0.000000E+00   0.148197E+03  -0.296394E+03
   0.100515E+03   0.167225E+01  -0.236725E+01   0.190730E-03   0.131401E-03   0.225789E-03   0.150594E+03   0.000000E+00   0.000000E+00   0.150594E+03  -0.301188E+03
