a0_min_r_1     a0_flood_r_1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.113793E+03   0.407690E+02   0.172776E-03   0.118209E+02   0.938555E+01   0.986584E+01   0.114154E+02   0.458766E+02  -0.101976E+02   0.000000E+00   0.560742E+02  -0.112148E+03
   0.112386E+03   0.407690E+02   0.172776E-03   0.110228E+02   0.931391E+01   0.115293E+02   0.114154E+02   0.492345E+02  -0.872888E+01   0.000000E+00   0.579634E+02  -0.115927E+03
   0.112386E+03   0.407690E+02   0.172776E-03   0.106279E+02   0.985952E+01   0.142643E+02   0.133472E+02   0.505735E+02  -0.738982E+01   0.000000E+00   0.579633E+02  -0.115927E+03
   0.112386E+03   0.407690E+02   0.172776E-03   0.106279E+02   0.877535E+01   0.159680E+02   0.119059E+02   0.499666E+02  -0.799673E+01   0.000000E+00   0.579633E+02  -0.115927E+03
   0.112386E+03   0.407690E+02   0.172776E-03   0.104479E+02   0.990802E+01   0.163105E+02   0.119059E+02   0.500369E+02  -0.792646E+01   0.000000E+00   0.579634E+02  -0.115927E+03
   0.112386E+03   0.407690E+02   0.172776E-03   0.124163E+02   0.955425E+01   0.176354E+02   0.119059E+02   0.489963E+02  -0.896701E+01   0.000000E+00   0.579633E+02  -0.115927E+03
   0.112386E+03   0.407690E+02   0.172776E-03   0.119950E+02   0.953288E+01   0.169849E+02   0.121282E+02   0.494584E+02  -0.850492E+01   0.000000E+00   0.579633E+02  -0.115927E+03
   0.112386E+03   0.407690E+02   0.172776E-03   0.119600E+02   0.102800E+02   0.168608E+02   0.121282E+02   0.494476E+02  -0.851575E+01   0.000000E+00   0.579633E+02  -0.115927E+03
   0.112386E+03   0.407690E+02   0.172776E-03   0.123356E+02   0.110353E+02   0.193080E+02   0.158502E+02   0.485813E+02  -0.938211E+01   0.000000E+00   0.579634E+02  -0.115927E+03
   0.112386E+03   0.407690E+02   0.172776E-03   0.123356E+02   0.106786E+02   0.155951E+02   0.129776E+02   0.496487E+02  -0.831465E+01   0.000000E+00   0.579633E+02  -0.115927E+03
   0.112386E+03   0.407690E+02   0.172776E-03   0.109675E+02   0.105492E+02   0.158525E+02   0.127781E+02   0.501615E+02  -0.780185E+01   0.000000E+00   0.579634E+02  -0.115927E+03
   0.112386E+03   0.407690E+02   0.172776E-03   0.100414E+02   0.103368E+02   0.141153E+02   0.127781E+02   0.505065E+02  -0.745682E+01   0.000000E+00   0.579633E+02  -0.115927E+03
   0.112386E+03   0.407690E+02   0.172776E-03   0.120918E+02   0.110758E+02   0.138785E+02   0.127781E+02   0.496717E+02  -0.829160E+01   0.000000E+00   0.579633E+02  -0.115927E+03
