a0_min         a0_flood       a1_flood       a2_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.165136E+03   0.429061E+02   0.120462E+01  -0.230189E+01   0.979360E-02   0.135760E+02   0.120016E+02   0.106408E+02   0.110568E+02   0.683366E+02
   0.174988E+03   0.424133E+02   0.648186E+00  -0.237998E+01   0.638520E-02   0.135760E+02   0.113476E+02   0.107090E+02   0.119863E+02   0.692492E+02
   0.163936E+03   0.437944E+02   0.348414E+00  -0.276644E+01   0.638520E-02   0.131626E+02   0.130576E+02   0.107090E+02   0.115013E+02   0.691920E+02
   0.168645E+03   0.397537E+02   0.309309E+00  -0.268229E+01   0.324466E-02   0.124054E+02   0.119976E+02   0.879335E+01   0.115142E+02   0.710067E+02
   0.164250E+03   0.348475E+02  -0.692207E-01  -0.273738E+01   0.324466E-02   0.121218E+02   0.121937E+02   0.821989E+01   0.104239E+02   0.714993E+02
   0.160778E+03   0.383914E+02   0.957601E-01  -0.293975E+01   0.281665E-02   0.115747E+02   0.110229E+02   0.891617E+01   0.968829E+01   0.725423E+02
   0.157383E+03   0.413128E+02   0.274909E+00  -0.275092E+01   0.323746E-02   0.120764E+02   0.106111E+02   0.984058E+01   0.126155E+02   0.714722E+02
   0.147221E+03   0.346866E+02   0.117244E+00  -0.251336E+01   0.323746E-02   0.112288E+02   0.888832E+01   0.930044E+01   0.126155E+02   0.721876E+02
   0.154571E+03   0.347703E+02  -0.133714E+00  -0.234796E+01   0.243442E-02   0.113711E+02   0.831756E+01   0.791815E+01   0.137259E+02   0.708893E+02
   0.154096E+03   0.315662E+02  -0.196365E+00  -0.260325E+01   0.215366E-02   0.111823E+02   0.789210E+01   0.100988E+02   0.135272E+02   0.713767E+02
   0.165371E+03   0.308845E+02  -0.124880E+00  -0.209166E+01   0.403490E-03   0.112861E+02   0.950898E+01   0.905504E+01   0.123949E+02   0.724779E+02
   0.177031E+03   0.257120E+02  -0.220928E+00  -0.191689E+01   0.157389E-02   0.112861E+02   0.993327E+01   0.905504E+01   0.126989E+02   0.722300E+02
   0.181629E+03   0.276947E+02  -0.208377E+00  -0.186640E+01   0.157389E-02   0.998671E+01   0.109779E+02   0.739609E+01   0.126135E+02   0.714005E+02
   0.183111E+03   0.292553E+02   0.394176E+00  -0.228968E+01   0.157389E-02   0.964725E+01   0.110994E+02   0.739609E+01   0.126135E+02   0.712250E+02
   0.182127E+03   0.334333E+02   0.497514E+00  -0.191256E+01   0.218641E-02   0.964725E+01   0.110994E+02   0.896035E+01   0.120741E+02   0.720174E+02
   0.169260E+03   0.344221E+02   0.595086E+00  -0.176648E+01   0.343495E-02   0.934575E+01   0.114248E+02   0.943275E+01   0.120741E+02   0.720581E+02
   0.174915E+03   0.317327E+02   0.472677E+00  -0.143225E+01   0.233992E-02   0.101938E+02   0.114248E+02   0.106414E+02   0.129316E+02   0.715978E+02
   0.183491E+03   0.299918E+02   0.265227E+00  -0.151128E+01   0.108383E-02   0.105815E+02   0.101793E+02   0.855718E+01   0.121940E+02   0.722160E+02
   0.170944E+03   0.338453E+02   0.582487E+00  -0.157070E+01   0.108383E-02   0.119507E+02   0.793630E+01   0.855718E+01   0.114844E+02   0.717386E+02
   0.170944E+03   0.313737E+02   0.558145E+00  -0.130257E+01   0.246931E-02   0.103202E+02   0.832746E+01   0.855718E+01   0.121239E+02   0.721747E+02
   0.159431E+03   0.299599E+02   0.773353E+00  -0.117303E+01   0.169747E-02   0.117241E+02   0.777135E+01   0.790722E+01   0.112016E+02   0.718573E+02
