a0_min_r_1     a0_flood_r_1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.113269E+03   0.400054E+02   0.218490E-03   0.982475E+01   0.921465E+01   0.171216E+02   0.130201E+02   0.500357E+02
   0.113269E+03   0.400054E+02   0.218490E-03   0.825936E+01   0.109123E+02   0.171216E+02   0.130201E+02   0.495753E+02
   0.113269E+03   0.400054E+02   0.218490E-03   0.103056E+02   0.132324E+02   0.186564E+02   0.130201E+02   0.482598E+02
   0.113269E+03   0.400054E+02   0.218490E-03   0.931334E+01   0.130830E+02   0.195948E+02   0.138305E+02   0.481593E+02
   0.113269E+03   0.400054E+02   0.218490E-03   0.100642E+02   0.146938E+02   0.194069E+02   0.133402E+02   0.470992E+02
   0.113269E+03   0.400054E+02   0.218490E-03   0.103489E+02   0.159075E+02   0.194069E+02   0.127703E+02   0.460273E+02
   0.113269E+03   0.400054E+02   0.218490E-03   0.107133E+02   0.159075E+02   0.206358E+02   0.127703E+02   0.454441E+02
   0.113269E+03   0.396849E+02   0.218490E-03   0.118920E+02   0.142066E+02   0.219933E+02   0.127703E+02   0.457260E+02
   0.113269E+03   0.396849E+02   0.218490E-03   0.115236E+02   0.131738E+02   0.219933E+02   0.127703E+02   0.465482E+02
   0.113269E+03   0.396849E+02   0.218490E-03   0.113715E+02   0.136440E+02   0.219933E+02   0.127703E+02   0.463143E+02
   0.113269E+03   0.396849E+02   0.218490E-03   0.113715E+02   0.108412E+02   0.208320E+02   0.123880E+02   0.481025E+02
   0.113269E+03   0.396849E+02   0.218490E-03   0.113715E+02   0.113506E+02   0.173807E+02   0.124903E+02   0.492261E+02
   0.113269E+03   0.396849E+02   0.218490E-03   0.955787E+01   0.901246E+01   0.173807E+02   0.124903E+02   0.498769E+02
   0.113269E+03   0.396849E+02   0.218490E-03   0.113258E+02   0.893698E+01   0.150933E+02   0.132388E+02   0.501024E+02
