a0_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.100945E+03  0.422575E-04  0.470962E-03  0.613557E-03  0.113177E-02  0.422587E-03  0.616084E-03  0.879227E-03  0.384892E-03  0.185759E+03
  0.100945E+03  0.422575E-04  0.470962E-03  0.613557E-03  0.645914E-03  0.422587E-03  0.616084E-03  0.879227E-03  0.384892E-03  0.186250E+03
  0.100945E+03  0.422575E-04  0.470962E-03  0.613557E-03  0.645914E-03  0.422587E-03  0.616084E-03  0.879227E-03  0.384892E-03  0.186250E+03
  0.100945E+03  0.422575E-04  0.470962E-03  0.613557E-03  0.645914E-03  0.754021E-03  0.616084E-03  0.879227E-03  0.384892E-03  0.185952E+03
  0.100945E+03  0.422575E-04  0.755458E-03  0.613557E-03  0.645914E-03  0.754021E-03  0.616084E-03  0.879227E-03  0.384892E-03  0.185543E+03
  0.100945E+03  0.422575E-04  0.755458E-03  0.112843E-02  0.645914E-03  0.754021E-03  0.616084E-03  0.115097E-02  0.384892E-03  0.184355E+03
  0.100945E+03  0.422575E-04  0.755458E-03  0.112843E-02  0.645914E-03  0.754021E-03  0.186752E-02  0.115097E-02  0.384892E-03  0.182647E+03
  0.100945E+03  0.422575E-04  0.755458E-03  0.112843E-02  0.777850E-03  0.754021E-03  0.186752E-02  0.115097E-02  0.384892E-03  0.182608E+03
  0.100945E+03  0.422575E-04  0.755458E-03  0.112843E-02  0.815105E-03  0.754021E-03  0.186752E-02  0.115097E-02  0.384892E-03  0.182578E+03
  0.100945E+03  0.422575E-04  0.755458E-03  0.112843E-02  0.815105E-03  0.754021E-03  0.186752E-02  0.115097E-02  0.395873E-03  0.182566E+03
  0.100945E+03  0.422575E-04  0.755458E-03  0.112843E-02  0.815105E-03  0.754021E-03  0.186752E-02  0.115097E-02  0.395873E-03  0.182566E+03
  0.100945E+03  0.422575E-04  0.755458E-03  0.112843E-02  0.815105E-03  0.754021E-03  0.186752E-02  0.115097E-02  0.395873E-03  0.182566E+03
  0.101120E+03  0.422575E-04  0.755458E-03  0.112843E-02  0.815105E-03  0.754021E-03  0.186752E-02  0.115097E-02  0.395873E-03  0.182305E+03
  0.101120E+03  0.422575E-04  0.755458E-03  0.112843E-02  0.815105E-03  0.754021E-03  0.321905E-02  0.115097E-02  0.395873E-03  0.180463E+03
  0.101120E+03  0.422575E-04  0.755458E-03  0.112843E-02  0.815105E-03  0.754021E-03  0.321905E-02  0.115097E-02  0.395873E-03  0.180463E+03
  0.101120E+03  0.422575E-04  0.755458E-03  0.112843E-02  0.102874E-02  0.327958E-03  0.321905E-02  0.115097E-02  0.395873E-03  0.180432E+03
  0.101120E+03  0.422575E-04  0.755458E-03  0.112843E-02  0.102874E-02  0.327958E-03  0.321905E-02  0.115097E-02  0.395873E-03  0.180432E+03
  0.101120E+03  0.422575E-04  0.755458E-03  0.112843E-02  0.102874E-02  0.327958E-03  0.321905E-02  0.776683E-03  0.395873E-03  0.181250E+03
