a0_min        a1_min        a2_min        a3_min        a4_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.100313E+03  0.392617E+01 -0.933692E+01  0.161727E+01 -0.173513E+02  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.213532E+03
  0.100313E+03  0.438333E+01 -0.933692E+01 -0.561800E+01 -0.614955E+01  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.213956E+03
  0.100313E+03  0.438333E+01 -0.347348E+01 -0.161699E+00 -0.614955E+01  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.216002E+03
  0.100313E+03  0.438333E+01 -0.934297E+01 -0.161699E+00 -0.119759E+02  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.214128E+03
  0.100313E+03  0.438333E+01 -0.934297E+01 -0.161699E+00 -0.151456E+02  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.213875E+03
  0.100313E+03 -0.585189E+00 -0.934297E+01  0.656384E+00 -0.151456E+02  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.213969E+03
  0.100483E+03 -0.585189E+00 -0.934297E+01  0.237192E+00 -0.141313E+02  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.214255E+03
  0.100483E+03 -0.585189E+00 -0.261752E+01  0.237192E+00 -0.159378E+01  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.216832E+03
  0.100483E+03 -0.585189E+00 -0.261752E+01 -0.565963E+01 -0.159378E+01  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.217536E+03
  0.100483E+03 -0.585189E+00 -0.261752E+01 -0.565963E+01 -0.109374E+02  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.216755E+03
  0.100483E+03 -0.157999E+01 -0.261752E+01 -0.565963E+01 -0.149003E+01  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.217100E+03
  0.100483E+03 -0.157999E+01 -0.544456E+01 -0.103375E+02 -0.149003E+01  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.216574E+03
  0.100483E+03 -0.157999E+01  0.389733E+01 -0.103375E+02 -0.149003E+01  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.215182E+03
  0.100483E+03 -0.157999E+01 -0.233781E+01 -0.674130E+01 -0.149003E+01  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.217150E+03
  0.100483E+03 -0.157999E+01 -0.233781E+01 -0.107433E+02 -0.149003E+01  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.216859E+03
  0.100483E+03  0.961335E+00 -0.233781E+01 -0.107433E+02  0.109691E+02  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.213801E+03
  0.100483E+03  0.961335E+00  0.162760E+01 -0.143115E+02  0.109691E+02  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.211413E+03
  0.100483E+03  0.961335E+00  0.162760E+01 -0.143115E+02  0.106321E+02  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.211548E+03
  0.100687E+03  0.961335E+00  0.903399E+01 -0.143115E+02  0.106321E+02  0.465202E-03  0.131276E-03  0.178668E-03  0.742384E-03  0.208077E+03
  0.100687E+03 -0.902462E+00  0.903399E+01 -0.243168E+00  0.109674E+02  0.465202E-03  0.371773E-03  0.178668E-03  0.742384E-03  0.213339E+03
  0.100687E+03 -0.902462E+00  0.310858E+01 -0.243168E+00  0.109674E+02  0.465202E-03  0.371773E-03  0.178668E-03  0.584354E-03  0.214214E+03
  0.100687E+03 -0.902462E+00  0.310858E+01 -0.123609E+01  0.109674E+02  0.465202E-03  0.371773E-03  0.178668E-03  0.174130E-02  0.213237E+03
  0.100687E+03 -0.902462E+00  0.656936E+01 -0.123609E+01  0.158293E+02  0.465202E-03  0.371773E-03  0.178668E-03  0.174130E-02  0.211054E+03
  0.100687E+03 -0.902462E+00  0.656936E+01 -0.764434E+01  0.158293E+02  0.465202E-03  0.371773E-03  0.178668E-03  0.174130E-02  0.210696E+03
  0.100687E+03 -0.902462E+00  0.410829E+00 -0.813816E+01  0.158293E+02  0.465202E-03  0.371773E-03  0.178668E-03  0.174130E-02  0.211960E+03
  0.100687E+03 -0.902462E+00  0.410829E+00 -0.890247E+01  0.584998E+01  0.465202E-03  0.371773E-03  0.178668E-03  0.174130E-02  0.214304E+03
  0.100687E+03 -0.902462E+00  0.410829E+00 -0.890247E+01  0.584998E+01  0.465202E-03  0.371773E-03  0.178668E-03  0.174130E-02  0.214304E+03
  0.100687E+03 -0.902462E+00 -0.890124E+01 -0.183515E+01  0.330393E+01  0.465202E-03  0.371773E-03  0.178668E-03  0.174130E-02  0.213070E+03
  0.100687E+03 -0.902462E+00 -0.173632E+01 -0.791254E+01  0.330393E+01  0.465202E-03  0.371773E-03  0.178668E-03  0.174130E-02  0.214858E+03
