a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        
   0.992730E+02   0.700821E+01  -0.117840E+02   0.751899E+00   0.544363E-03   0.488226E-03   0.342929E-03   0.598794E-03   0.205369E+03
   0.992730E+02   0.700821E+01  -0.117840E+02   0.346535E-01   0.544363E-03   0.488226E-03   0.342929E-03   0.598794E-03   0.205343E+03
   0.992730E+02   0.700821E+01  -0.117840E+02   0.346535E-01   0.544363E-03   0.488226E-03   0.342929E-03   0.598794E-03   0.205343E+03
   0.992730E+02   0.304805E+01  -0.117840E+02   0.274812E+01   0.544363E-03   0.488226E-03   0.342929E-03   0.598794E-03   0.209830E+03
   0.992730E+02   0.509084E+01  -0.859817E+01   0.274812E+01   0.544363E-03   0.488226E-03   0.342929E-03   0.598794E-03   0.209969E+03
   0.992730E+02   0.677974E+01   0.828316E+01   0.274812E+01   0.415301E-03   0.130326E-02   0.154149E-03   0.598794E-03   0.204528E+03
   0.100923E+03  -0.546206E+00   0.512183E+01  -0.618952E+01   0.415301E-03   0.130326E-02   0.154149E-03   0.598794E-03   0.210228E+03
   0.100923E+03  -0.169369E+01   0.892348E+01  -0.201096E+02   0.415301E-03   0.705370E-03   0.582640E-03   0.598794E-03   0.207376E+03
   0.100468E+03  -0.169369E+01  -0.186069E+01  -0.153036E+01   0.415301E-03   0.100630E-03   0.227314E-03   0.598794E-03   0.215384E+03
   0.100468E+03  -0.169369E+01  -0.696272E+01  -0.551978E+01   0.415301E-03   0.129313E-03   0.227314E-03   0.598794E-03   0.214895E+03
   0.100468E+03  -0.169369E+01   0.231970E+01  -0.473719E+01   0.415301E-03   0.129313E-03   0.227314E-03   0.598794E-03   0.215443E+03
   0.100468E+03  -0.169369E+01  -0.519565E+01  -0.118625E+01   0.415301E-03   0.129313E-03   0.225465E-03   0.655232E-03   0.215208E+03
   0.100468E+03  -0.169369E+01  -0.273060E+01  -0.199831E+01   0.717619E-03   0.129313E-03   0.225465E-03   0.655232E-03   0.214839E+03
   0.997268E+02  -0.169369E+01  -0.212691E+01  -0.630025E+01   0.717619E-03   0.129313E-03   0.225465E-03   0.655232E-03   0.214055E+03
   0.997268E+02   0.313881E+01  -0.212691E+01  -0.714323E+01   0.717619E-03   0.129313E-03   0.225465E-03   0.130526E-02   0.212402E+03
   0.101708E+03   0.581769E+01   0.459711E+00   0.683082E+01   0.717619E-03   0.912855E-04   0.225465E-03   0.130526E-02   0.213143E+03
   0.101708E+03  -0.486826E+00   0.459711E+00   0.683082E+01   0.184347E-03   0.912855E-04   0.225465E-03   0.130526E-02   0.214587E+03
   0.100394E+03  -0.486826E+00  -0.315662E+00   0.246511E+01   0.184347E-03   0.912855E-04   0.225465E-03   0.130526E-02   0.216226E+03
   0.100394E+03  -0.486826E+00  -0.315662E+00  -0.165986E+01   0.184347E-03   0.912855E-04   0.984225E-04   0.130526E-02   0.217670E+03
   0.100394E+03  -0.486826E+00  -0.315662E+00  -0.403140E+01   0.184347E-03   0.912855E-04   0.984225E-04   0.130526E-02   0.217834E+03
   0.101889E+03   0.564677E+00  -0.315662E+00  -0.403140E+01   0.184347E-03   0.912855E-04   0.984225E-04   0.130526E-02   0.217121E+03
   0.101889E+03   0.564677E+00  -0.315662E+00  -0.171435E+02   0.184347E-03   0.912855E-04   0.984225E-04   0.130526E-02   0.215547E+03
   0.101889E+03   0.592282E+00   0.128580E+01  -0.134387E+01   0.545963E-03   0.190953E-04   0.984225E-04   0.130526E-02   0.216244E+03
